x,y,COOLING_DEGREE_DAYS,LOCAL_DAY,SPEED_MAX_GUST,DIRECTION_MAX_GUST,TOTAL_RAIN,MEAN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,PROVINCE_CODE,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND,MIN_TEMPERATURE,LOCAL_MONTH,LOCAL_DATE,TOTAL_PRECIPITATION_FLAG,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,SNOW_ON_GROUND_FLAG,MAX_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,TOTAL_SNOW,LOCAL_YEAR,TOTAL_SNOW_FLAG,ID,STATION_NAME,MIN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG
-122.36,49.02527777777778,0,18,0,0,15,,,BC,15,8.2,,,,0,7.8,3,1972-03-18 00:00:00,,,,1100030,9.8,,,,0,1972,,1100030.1972.3.18,ABBOTSFORD A,,,11.7,
-122.36,49.02527777777778,0,19,37,20,11.4,,,BC,11.4,9.6,,,,0,5.6,3,1972-03-19 00:00:00,,,,1100030,8.4,,,,0,1972,,1100030.1972.3.19,ABBOTSFORD A,,,11.1,
-122.36,49.02527777777778,0,20,0,0,0,,,BC,0,10.5,,,,0,1.1,3,1972-03-20 00:00:00,,,,1100030,7.5,,,,0,1972,,1100030.1972.3.20,ABBOTSFORD A,,,13.9,
-122.36,49.02527777777778,0,21,0,0,3,,,BC,3,10.8,,,,0,6.1,3,1972-03-21 00:00:00,,,,1100030,7.2,,,,0,1972,,1100030.1972.3.21,ABBOTSFORD A,,,8.3,
-122.36,49.02527777777778,0,22,0,0,10.9,,,BC,10.9,10.5,,,,0,6.1,3,1972-03-22 00:00:00,,,,1100030,7.5,,,,0,1972,,1100030.1972.3.22,ABBOTSFORD A,,,8.9,
-122.36,49.02527777777778,0,23,0,0,0,,,BC,0,11.3,,,,0,3.3,3,1972-03-23 00:00:00,T,,,1100030,6.7,,,T,0,1972,,1100030.1972.3.23,ABBOTSFORD A,,,10,
-122.36,49.02527777777778,0,24,40,16,8.1,,,BC,8.1,13.8,,,,0,1.1,3,1972-03-24 00:00:00,,,,1100030,4.2,,,,0,1972,,1100030.1972.3.24,ABBOTSFORD A,,,7.2,
-122.36,49.02527777777778,0,25,0,0,0,,,BC,0,14.9,,,,0,-1.1,3,1972-03-25 00:00:00,T,,,1100030,3.1,,,,0,1972,T,1100030.1972.3.25,ABBOTSFORD A,,,7.2,
-122.36,49.02527777777778,0,26,0,0,0,,,BC,0,14.6,,,,0,0.6,3,1972-03-26 00:00:00,,,,1100030,3.4,,,,0,1972,,1100030.1972.3.26,ABBOTSFORD A,,,6.1,
-122.36,49.02527777777778,0,27,0,0,0,,,BC,0,13,,,,0,2.2,3,1972-03-27 00:00:00,,,,1100030,5,,,,0,1972,,1100030.1972.3.27,ABBOTSFORD A,,,7.8,
-122.36,49.02527777777778,0,28,0,0,0,,,BC,0,13.3,,,,0,-1.7,3,1972-03-28 00:00:00,,,,1100030,4.7,,,,0,1972,,1100030.1972.3.28,ABBOTSFORD A,,,11.1,
-122.36,49.02527777777778,0,29,0,0,0,,,BC,0,12.7,,,,0,-1.7,3,1972-03-29 00:00:00,,,,1100030,5.3,,,,0,1972,,1100030.1972.3.29,ABBOTSFORD A,,,12.2,
-122.36,49.02527777777778,0,30,0,0,0,,,BC,0,10.8,,,,0,1.1,3,1972-03-30 00:00:00,,,,1100030,7.2,,,,0,1972,,1100030.1972.3.30,ABBOTSFORD A,,,13.3,
-122.36,49.02527777777778,0,31,0,0,11.2,,,BC,11.2,8.2,,,,0,3.9,3,1972-03-31 00:00:00,,,,1100030,9.8,,,,0,1972,,1100030.1972.3.31,ABBOTSFORD A,,,15.6,
-122.36,49.02527777777778,0,1,55,23,8.9,,,BC,8.9,11,,,,0,3.3,4,1972-04-01 00:00:00,,,,1100030,7,,,,0,1972,,1100030.1972.4.1,ABBOTSFORD A,,,10.6,
-122.36,49.02527777777778,0,2,0,0,0,,,BC,0,12.4,,,,0,-1.1,4,1972-04-02 00:00:00,,,,1100030,5.6,,,,0,1972,,1100030.1972.4.2,ABBOTSFORD A,,,12.2,
-122.36,49.02527777777778,0,3,0,0,0,,,BC,0,8,,,,0,2.2,4,1972-04-03 00:00:00,,,,1100030,10,,,,0,1972,,1100030.1972.4.3,ABBOTSFORD A,,,17.8,
-122.36,49.02527777777778,0,4,0,0,20.6,,,BC,20.6,9.9,,,,0,5.6,4,1972-04-04 00:00:00,,,,1100030,8.1,,,,0,1972,,1100030.1972.4.4,ABBOTSFORD A,,,10.6,
-122.36,49.02527777777778,0,5,72,16,4.8,,,BC,4.8,5.5,,,,0,8.3,4,1972-04-05 00:00:00,,,,1100030,12.5,,,,0,1972,,1100030.1972.4.5,ABBOTSFORD A,,,16.7,
-122.36,49.02527777777778,0,6,40,16,16.8,,,BC,16.8,10.7,,,,0,3.9,4,1972-04-06 00:00:00,,,,1100030,7.3,,,,0,1972,,1100030.1972.4.6,ABBOTSFORD A,,,10.6,
-122.36,49.02527777777778,0,7,45,18,1.8,,,BC,1.8,13.2,,,,0,0.6,4,1972-04-07 00:00:00,,,,1100030,4.8,,,,0,1972,T,1100030.1972.4.7,ABBOTSFORD A,,,8.9,
-122.36,49.02527777777778,0,8,0,0,9.9,,,BC,9.9,12.7,,,,0,1.7,4,1972-04-08 00:00:00,,,,1100030,5.3,,,,0,1972,T,1100030.1972.4.8,ABBOTSFORD A,,,8.9,
-122.36,49.02527777777778,0,9,0,0,3.6,,,BC,4.8,13.5,,,,0,0,4,1972-04-09 00:00:00,,,,1100030,4.5,T,,,1,1972,,1100030.1972.4.9,ABBOTSFORD A,,,8.9,
-122.36,49.02527777777778,0,10,0,0,9.4,,,BC,9.4,13.8,,,,0,-1.1,4,1972-04-10 00:00:00,,,,1100030,4.2,,,,0,1972,,1100030.1972.4.10,ABBOTSFORD A,,,9.4,
-122.36,49.02527777777778,0,11,40,16,1.5,,,BC,1.5,12.7,,,,0,1.7,4,1972-04-11 00:00:00,,,,1100030,5.3,,,,0,1972,T,1100030.1972.4.11,ABBOTSFORD A,,,8.9,
-122.36,49.02527777777778,0,12,0,0,5.1,,,BC,5.1,12.2,,,,0,3.3,4,1972-04-12 00:00:00,,,,1100030,5.8,,,,0,1972,,1100030.1972.4.12,ABBOTSFORD A,,,8.3,
-122.36,49.02527777777778,0,13,0,0,0.5,,,BC,0.5,10.5,,,,0,4.4,4,1972-04-13 00:00:00,,,,1100030,7.5,,,,0,1972,,1100030.1972.4.13,ABBOTSFORD A,,,10.6,
-122.36,49.02527777777778,0,14,45,18,8.1,,,BC,8.1,11,,,,0,5,4,1972-04-14 00:00:00,,,,1100030,7,,,,0,1972,,1100030.1972.4.14,ABBOTSFORD A,,,8.9,
