x,y,COOLING_DEGREE_DAYS,LOCAL_DAY,SPEED_MAX_GUST,DIRECTION_MAX_GUST,TOTAL_RAIN,MEAN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,PROVINCE_CODE,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND,MIN_TEMPERATURE,LOCAL_MONTH,LOCAL_DATE,TOTAL_PRECIPITATION_FLAG,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,SNOW_ON_GROUND_FLAG,MAX_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,TOTAL_SNOW,LOCAL_YEAR,TOTAL_SNOW_FLAG,ID,STATION_NAME,MIN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG
-122.36,49.02527777777778,0,25,41,23,7,,,BC,7,8.4,,,E,0,6.7,10,1999-10-25 00:00:00,,M,M,1100030,9.6,,,,0,1999,,1100030.1999.10.25,ABBOTSFORD A,,E,12.5,
-122.36,49.02527777777778,0,26,0,0,0,,,BC,0,10.5,,,,0,2.4,10,1999-10-26 00:00:00,,M,M,1100030,7.5,,,,0,1999,,1100030.1999.10.26,ABBOTSFORD A,,,12.5,
-122.36,49.02527777777778,0,27,48,9,10,,,BC,10,10,,,E,0,1.8,10,1999-10-27 00:00:00,,M,M,1100030,8,,,,0,1999,,1100030.1999.10.27,ABBOTSFORD A,,E,14.1,
-122.36,49.02527777777778,0,28,69,19,8.8,,,BC,8.8,7.5,,,,0,7.3,10,1999-10-28 00:00:00,,M,M,1100030,10.5,,,,0,1999,,1100030.1999.10.28,ABBOTSFORD A,,,13.7,
-122.36,49.02527777777778,0,29,44,18,24,,,BC,24,8.9,,,,0,6.8,10,1999-10-29 00:00:00,,M,M,1100030,9.1,,,,0,1999,,1100030.1999.10.29,ABBOTSFORD A,,,11.3,
-122.36,49.02527777777778,0,30,0,0,57.4,,,BC,57.4,10.5,,,,0,7,10,1999-10-30 00:00:00,,M,M,1100030,7.5,,,,0,1999,,1100030.1999.10.30,ABBOTSFORD A,,,8,
-122.36,49.02527777777778,0,31,52,24,15.6,,,BC,15.6,11.7,,,,0,1.2,10,1999-10-31 00:00:00,,M,M,1100030,6.3,,,,0,1999,,1100030.1999.10.31,ABBOTSFORD A,,,11.4,
-122.36,49.02527777777778,0,1,0,0,0,,,BC,0,11.8,,,,0,1.3,11,1999-11-01 00:00:00,,M,M,1100030,6.2,,,,0,1999,,1100030.1999.11.1,ABBOTSFORD A,,,11.1,
-122.36,49.02527777777778,0,2,0,0,0,,,BC,0,12.4,,,,0,1.3,11,1999-11-02 00:00:00,,M,M,1100030,5.6,,,,0,1999,,1100030.1999.11.2,ABBOTSFORD A,,,9.8,
-122.36,49.02527777777778,0,3,57,21,1.8,,,BC,1.8,12.4,,,,0,0.7,11,1999-11-03 00:00:00,,M,M,1100030,5.6,,,,0,1999,,1100030.1999.11.3,ABBOTSFORD A,,,10.5,
