x,y,MIN_TEMPERATURE_FLAG,STATION_NAME,DIRECTION_MAX_GUST,MEAN_TEMPERATURE,SPEED_MAX_GUST,LOCAL_MONTH,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY_FLAG,MAX_TEMPERATURE,LOCAL_YEAR,SNOW_ON_GROUND,MIN_TEMPERATURE,COOLING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,LOCAL_DATE,HEATING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY,PROVINCE_CODE,SNOW_ON_GROUND_FLAG,CLIMATE_IDENTIFIER,TOTAL_RAIN,HEATING_DEGREE_DAYS,TOTAL_RAIN_FLAG,SPEED_MAX_GUST_FLAG,ID,TOTAL_PRECIPITATION,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,LOCAL_DAY,TOTAL_SNOW
-122.36,49.02527777777778,,ABBOTSFORD A,0,17.8,0,6,,,,23.3,2012,,12.2,,,,0,,2012-06-21 00:00:00,,,BC,,1100031,0,0.2,,,1100031.2012.6.21,0,,,21,0
-122.36,49.02527777777778,,ABBOTSFORD A,13,14.6,32,6,,,,18,2012,,11.2,,,,0,,2012-06-22 00:00:00,,,BC,,1100031,13.4,3.4,,,1100031.2012.6.22,13.4,,,22,0
-122.36,49.02527777777778,,ABBOTSFORD A,13,15.2,61,6,,,,19.5,2012,,10.9,,,,0,,2012-06-23 00:00:00,,,BC,,1100031,23.8,2.8,,,1100031.2012.6.23,23.8,,,23,0
-122.36,49.02527777777778,,ABBOTSFORD A,0,12.8,0,6,,,,18.2,2012,,7.4,,,,0,,2012-06-24 00:00:00,,,BC,,1100031,0,5.2,,,1100031.2012.6.24,0,,,24,0
-122.36,49.02527777777778,,ABBOTSFORD A,13,14,33,6,,,,20.5,2012,,7.5,,,,0,,2012-06-25 00:00:00,,,BC,,1100031,0,4,,,1100031.2012.6.25,0,,,25,0
-122.36,49.02527777777778,,ABBOTSFORD A,13,12.6,37,6,,,,14.6,2012,,10.5,,,,0,,2012-06-26 00:00:00,,,BC,,1100031,0.8,5.4,,,1100031.2012.6.26,0.8,,,26,0
-122.36,49.02527777777778,,ABBOTSFORD A,0,15.5,0,6,,,,21,2012,,9.9,,,,0,,2012-06-27 00:00:00,,,BC,,1100031,0,2.5,,,1100031.2012.6.27,0,,,27,0
-122.36,49.02527777777778,,ABBOTSFORD A,0,17.6,0,6,,,,23.6,2012,,11.6,,,,0,,2012-06-28 00:00:00,,,BC,,1100031,1.6,0.4,,,1100031.2012.6.28,1.6,,,28,0
-122.36,49.02527777777778,,ABBOTSFORD A,0,18.2,0,6,,,,22,2012,,14.3,,,,0.2,,2012-06-29 00:00:00,,,BC,,1100031,1.4,0,,,1100031.2012.6.29,1.4,,,29,0
-122.36,49.02527777777778,,ABBOTSFORD A,0,14.8,0,6,,,,23.6,2012,,5.9,,,,0,,2012-06-30 00:00:00,,,BC,,1100031,17.6,3.2,,,1100031.2012.6.30,17.6,,,30,0
-122.36,49.02527777777778,,ABBOTSFORD A,13,15.4,33,7,,,,18.2,2012,,12.6,,,,0,,2012-07-01 00:00:00,,,BC,,1100031,0.4,2.6,,,1100031.2012.7.1,0.4,,,1,0
-122.36,49.02527777777778,,ABBOTSFORD A,0,13.5,0,7,,,,14.9,2012,,12,,,,0,,2012-07-02 00:00:00,,,BC,,1100031,3.6,4.5,,,1100031.2012.7.2,3.6,,,2,0
-122.36,49.02527777777778,,ABBOTSFORD A,13,13.9,44,7,,,,17.2,2012,,10.6,,,,0,,2012-07-03 00:00:00,,,BC,,1100031,16,4.1,,,1100031.2012.7.3,16,,,3,0
-122.36,49.02527777777778,,ABBOTSFORD A,0,14.3,0,7,,,,20,2012,,8.6,,,,0,,2012-07-04 00:00:00,,,BC,,1100031,0,3.7,,,1100031.2012.7.4,0,,,4,0
-122.36,49.02527777777778,,ABBOTSFORD A,0,15.8,0,7,,,,22.9,2012,,8.6,,,,0,,2012-07-05 00:00:00,,,BC,,1100031,0,2.2,,,1100031.2012.7.5,0,,,5,0
-122.36,49.02527777777778,,ABBOTSFORD A,0,17.9,0,7,,,,25.4,2012,,10.4,,,,0,,2012-07-06 00:00:00,,,BC,,1100031,0,0.1,,,1100031.2012.7.6,0,,,6,0
