x,y,COOLING_DEGREE_DAYS,LOCAL_DAY,SPEED_MAX_GUST,DIRECTION_MAX_GUST,TOTAL_RAIN,MEAN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,PROVINCE_CODE,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND,MIN_TEMPERATURE,LOCAL_MONTH,LOCAL_DATE,TOTAL_PRECIPITATION_FLAG,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,SNOW_ON_GROUND_FLAG,MAX_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,TOTAL_SNOW,LOCAL_YEAR,TOTAL_SNOW_FLAG,ID,STATION_NAME,MIN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG
-122.36,49.02527777777778,0,1,,,0.5,,,BC,0.5,6,,,,,6.7,10,1944-10-01 00:00:00,,,,1100030,12,,,,0,1944,,1100030.1944.10.1,ABBOTSFORD A,,,17.2,
-122.36,49.02527777777778,0,2,,,11.7,,,BC,11.7,3.2,,,,,11.7,10,1944-10-02 00:00:00,,,,1100030,14.8,,,,0,1944,,1100030.1944.10.2,ABBOTSFORD A,,,17.8,
-122.36,49.02527777777778,0,3,,,14,,,BC,14,4.3,,,,,11.7,10,1944-10-03 00:00:00,,,,1100030,13.7,,,,0,1944,,1100030.1944.10.3,ABBOTSFORD A,,,15.6,
-122.36,49.02527777777778,0,4,,,11.4,,,BC,11.4,3.2,,,,,10.6,10,1944-10-04 00:00:00,,,,1100030,14.8,,,,0,1944,,1100030.1944.10.4,ABBOTSFORD A,,,18.9,
-122.36,49.02527777777778,0,5,,,0,,,BC,0,6.6,,,,,7.8,10,1944-10-05 00:00:00,,,,1100030,11.4,,,,0,1944,,1100030.1944.10.5,ABBOTSFORD A,,,15,
-122.36,49.02527777777778,0,6,,,0,,,BC,0,6,,,,,5,10,1944-10-06 00:00:00,,,,1100030,12,,,,0,1944,,1100030.1944.10.6,ABBOTSFORD A,,,18.9,
-122.36,49.02527777777778,0,7,,,0,,,BC,0,4.9,,,,,4.4,10,1944-10-07 00:00:00,,,,1100030,13.1,,,,0,1944,,1100030.1944.10.7,ABBOTSFORD A,,,21.7,
-122.36,49.02527777777778,0,8,,,0,,,BC,0,8.5,,,,,3.3,10,1944-10-08 00:00:00,,,,1100030,9.5,,,,0,1944,,1100030.1944.10.8,ABBOTSFORD A,,,15.6,
-122.36,49.02527777777778,0,9,,,0,,,BC,0,6.9,,,,,2.8,10,1944-10-09 00:00:00,,,,1100030,11.1,,,,0,1944,,1100030.1944.10.9,ABBOTSFORD A,,,19.4,
-122.36,49.02527777777778,0,10,,,0,,,BC,0,3.2,,,,,5.6,10,1944-10-10 00:00:00,,,,1100030,14.8,,,,0,1944,,1100030.1944.10.10,ABBOTSFORD A,,,23.9,
-122.36,49.02527777777778,0,11,,,0,,,BC,0,2.1,,,,,6.7,10,1944-10-11 00:00:00,,,,1100030,15.9,,,,0,1944,,1100030.1944.10.11,ABBOTSFORD A,,,25,
-122.36,49.02527777777778,0,12,,,0,,,BC,0,9.4,,,,,2.8,10,1944-10-12 00:00:00,,,,1100030,8.6,,,,0,1944,,1100030.1944.10.12,ABBOTSFORD A,,,14.4,
-122.36,49.02527777777778,0,13,,,0,,,BC,0,7.2,,,,,8.3,10,1944-10-13 00:00:00,T,,,1100030,10.8,,,T,0,1944,,1100030.1944.10.13,ABBOTSFORD A,,,13.3,
-122.36,49.02527777777778,0,14,,,0,,,BC,0,5.8,,,,,10,10,1944-10-14 00:00:00,,,,1100030,12.2,,,,0,1944,,1100030.1944.10.14,ABBOTSFORD A,,,14.4,
-122.36,49.02527777777778,0,15,,,0,,,BC,0,6.9,,,,,3.9,10,1944-10-15 00:00:00,,,,1100030,11.1,,,,0,1944,,1100030.1944.10.15,ABBOTSFORD A,,,18.3,
