Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1961","1961","ha","2800","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1961","1961","100 g/ha","29264","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1961","1961","t","8194","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1962","1962","ha","2750","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1962","1962","100 g/ha","30058","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1962","1962","t","8266","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1963","1963","ha","3900","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1963","1963","100 g/ha","27859","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1963","1963","t","10865","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1964","1964","ha","3260","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1964","1964","100 g/ha","29028","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1964","1964","t","9463","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1965","1965","ha","2840","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1965","1965","100 g/ha","28979","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1965","1965","t","8230","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1966","1966","ha","6100","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1966","1966","100 g/ha","27892","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1966","1966","t","17014","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1967","1967","ha","4900","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1967","1967","100 g/ha","28816","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1967","1967","t","14120","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1968","1968","ha","2860","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1968","1968","100 g/ha","25031","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1968","1968","t","7159","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1969","1969","ha","4650","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1969","1969","100 g/ha","27996","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1969","1969","t","13018","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1970","1970","ha","4470","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1970","1970","100 g/ha","28991","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1970","1970","t","12959","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1971","1971","ha","3500","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1971","1971","100 g/ha","29120","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1971","1971","t","10192","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1972","1972","ha","4100","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1972","1972","100 g/ha","29010","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1972","1972","t","11894","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1973","1973","ha","5830","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1973","1973","100 g/ha","28019","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1973","1973","t","16335","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1974","1974","ha","3050","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1974","1974","100 g/ha","28993","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1974","1974","t","8843","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1975","1975","ha","5140","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1975","1975","100 g/ha","27994","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1975","1975","t","14389","A","Official figure",""
