x,y,SPEED_MAX_GUST_FLAG,LOCAL_DAY,TOTAL_SNOW_FLAG,TOTAL_PRECIPITATION,SPEED_MAX_GUST,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_RAIN,CLIMATE_IDENTIFIER,COOLING_DEGREE_DAYS_FLAG,ID,MEAN_TEMPERATURE,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY_FLAG,STATION_NAME,TOTAL_SNOW,LOCAL_YEAR,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,DIRECTION_MAX_GUST_FLAG,MIN_TEMPERATURE,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_DATE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,LOCAL_MONTH,TOTAL_RAIN_FLAG,PROVINCE_CODE
-122.59722222222223,58.83638888888889,,17,,0,0,,,0,1192940,,1192940.1965.3.17,-14.8,0,,FORT NELSON A,0,1965,-7.8,0,,-21.7,60,,,1965-03-17 00:00:00,,,88,32.8,,15,3,,BC
-122.59722222222223,58.83638888888889,,18,,0,0,,,0,1192940,,1192940.1965.3.18,-15.6,0,,FORT NELSON A,0,1965,-6.1,0,,-25,49,,,1965-03-18 00:00:00,,,87,33.6,,15,3,,BC
-122.59722222222223,58.83638888888889,,19,,0,0,,,0,1192940,,1192940.1965.3.19,-14.8,0,,FORT NELSON A,0,1965,-3.9,0,,-25.6,54,,,1965-03-19 00:00:00,,,83,32.8,,15,3,,BC
-122.59722222222223,58.83638888888889,,20,,0.5,43,,,0,1192940,,1192940.1965.3.20,-6.4,32,,FORT NELSON A,1,1965,0.6,0,,-13.3,60,,,1965-03-20 00:00:00,,,94,24.4,,15,3,,BC
-122.59722222222223,58.83638888888889,,21,,1,0,,,0,1192940,,1192940.1965.3.21,-6.7,0,,FORT NELSON A,1.8,1965,-3.3,0,,-10,64,,,1965-03-21 00:00:00,,,91,24.7,,15,3,,BC
-122.59722222222223,58.83638888888889,,22,T,0,35,,,0,1192940,,1192940.1965.3.22,-13.9,36,,FORT NELSON A,0,1965,-7.8,0,S,-20,57,,,1965-03-22 00:00:00,,T,90,31.9,,18,3,,BC
-122.59722222222223,58.83638888888889,,23,T,0,0,,,0,1192940,,1192940.1965.3.23,-16.2,0,,FORT NELSON A,0,1965,-5.6,0,,-26.7,52,,,1965-03-23 00:00:00,,T,85,34.2,,18,3,,BC
-122.59722222222223,58.83638888888889,,24,,0,0,,,0,1192940,,1192940.1965.3.24,-17.8,0,,FORT NELSON A,0,1965,-13.9,0,,-21.7,61,,,1965-03-24 00:00:00,,,85,35.8,,18,3,,BC
-122.59722222222223,58.83638888888889,,25,T,0,0,,,0,1192940,,1192940.1965.3.25,-17,0,,FORT NELSON A,0,1965,-10,0,,-23.9,73,,,1965-03-25 00:00:00,,T,86,35,,18,3,,BC
-122.59722222222223,58.83638888888889,,26,T,0,0,,,0,1192940,,1192940.1965.3.26,-20.6,0,,FORT NELSON A,0,1965,-15,0,,-26.1,74,,,1965-03-26 00:00:00,,T,85,38.6,,18,3,,BC
