x,y,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,TOTAL_SNOW,MAX_TEMPERATURE,MEAN_TEMPERATURE,SNOW_ON_GROUND,MIN_REL_HUMIDITY,LOCAL_DATE,STATION_NAME,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,MAX_REL_HUMIDITY,TOTAL_RAIN,LOCAL_MONTH,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,LOCAL_YEAR,PROVINCE_CODE,MIN_TEMPERATURE,LOCAL_DAY,ID,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG
-122.59694444444445,58.83638888888889,,29.1,,1192946,0,-5.6,-11.1,48,60,2020-02-26 00:00:00,FORT NELSON A,,,T,,91,0,2,,M,2020,BC,-16.5,26,1192946.2020.2.26,,,0,0,,M,T,,
-122.59694444444445,58.83638888888889,,23.6,,1192946,0,3.4,-5.6,37,50,2020-02-27 00:00:00,FORT NELSON A,,,,,87,0,2,42,,2020,BC,-14.5,27,1192946.2020.2.27,31,,0,0,,,,,
-122.59694444444445,58.83638888888889,,31.3,,1192946,0,-10.3,-13.3,47,54,2020-02-28 00:00:00,FORT NELSON A,,,,,72,0,2,35,,2020,BC,-16.3,28,1192946.2020.2.28,31,,0,0,,,,,
-122.59694444444445,58.83638888888889,,34.1,,1192946,0.2,-11.7,-16.1,47,49,2020-02-29 00:00:00,FORT NELSON A,,,,,76,0,2,,M,2020,BC,-20.4,29,1192946.2020.2.29,32,,0.2,0,,,,,
-122.59694444444445,58.83638888888889,,32.4,,1192946,0,-8,-14.4,47,61,2020-03-01 00:00:00,FORT NELSON A,,,T,,86,0,3,,M,2020,BC,-20.7,1,1192946.2020.3.1,,,0,0,,M,T,,
-122.59694444444445,58.83638888888889,,20.9,,1192946,0,7.1,-2.9,47,29,2020-03-02 00:00:00,FORT NELSON A,,,,,90,0,3,35,,2020,BC,-12.9,2,1192946.2020.3.2,26,,0,0,,,,,
-122.59694444444445,58.83638888888889,,18.8,,1192946,0,6.4,-0.8,47,22,2020-03-03 00:00:00,FORT NELSON A,,,,,61,0,3,45,,2020,BC,-7.9,3,1192946.2020.3.3,27,,0,0,,,,,
-122.59694444444445,58.83638888888889,,30.4,,1192946,0,-8,-12.4,47,51,2020-03-04 00:00:00,FORT NELSON A,,,,,72,0,3,39,,2020,BC,-16.7,4,1192946.2020.3.4,32,,0,0,,,,,
-122.59694444444445,58.83638888888889,,35.5,,1192946,3.4,-13.6,-17.5,47,64,2020-03-05 00:00:00,FORT NELSON A,,,,,77,0,3,37,,2020,BC,-21.4,5,1192946.2020.3.5,30,,3,0,,,,,
-122.59694444444445,58.83638888888889,,40.4,,1192946,0.2,-18.1,-22.4,50,58,2020-03-06 00:00:00,FORT NELSON A,,,,,84,0,3,,M,2020,BC,-26.7,6,1192946.2020.3.6,33,,0.2,0,,,,,
-122.59694444444445,58.83638888888889,,40.9,,1192946,0,-12.6,-22.9,51,55,2020-03-07 00:00:00,FORT NELSON A,,,,,77,0,3,,M,2020,BC,-33.1,7,1192946.2020.3.7,,,0,0,,M,,,
-122.59694444444445,58.83638888888889,,29.5,,1192946,0,-1.4,-11.5,50,46,2020-03-08 00:00:00,FORT NELSON A,,,,,88,0,3,,M,2020,BC,-21.6,8,1192946.2020.3.8,,,0,0,,M,,,
-122.59694444444445,58.83638888888889,,23.4,,1192946,0,5,-5.4,50,28,2020-03-09 00:00:00,FORT NELSON A,,,,,91,0,3,,M,2020,BC,-15.8,9,1192946.2020.3.9,,,0,0,,M,,,
-122.59694444444445,58.83638888888889,,22.3,,1192946,1,0.6,-4.3,48,47,2020-03-10 00:00:00,FORT NELSON A,,,,,89,0,3,33,,2020,BC,-9.2,10,1192946.2020.3.10,32,,0.4,0,,,,,
