x,y,SPEED_MAX_GUST,MIN_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_MONTH,MAX_REL_HUMIDITY_FLAG,PROVINCE_CODE,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,TOTAL_SNOW,LOCAL_DATE,MIN_TEMPERATURE,MEAN_TEMPERATURE,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY,LOCAL_YEAR,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST,MAX_TEMPERATURE,TOTAL_RAIN_FLAG,SNOW_ON_GROUND_FLAG,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION,LOCAL_DAY,HEATING_DEGREE_DAYS_FLAG,ID,TOTAL_RAIN,SPEED_MAX_GUST_FLAG,SNOW_ON_GROUND,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS,STATION_NAME
-122.59722222222223,58.83638888888889,,,M,,9,,BC,,M,0,1937-09-01 00:00:00,,,M,,,1937,,M,,,,,1192940,0,1,M,1192940.1937.9.1,0,,,,,FORT NELSON A
-122.59722222222223,58.83638888888889,,,M,,9,,BC,,M,0,1937-09-02 00:00:00,,,M,,,1937,,M,,,,,1192940,0,2,M,1192940.1937.9.2,0,,,,,FORT NELSON A
-122.59722222222223,58.83638888888889,,,M,,9,,BC,,M,0,1937-09-03 00:00:00,,,M,,,1937,,M,,,,,1192940,0,3,M,1192940.1937.9.3,0,,,,,FORT NELSON A
-122.59722222222223,58.83638888888889,,,M,,9,,BC,,M,0,1937-09-04 00:00:00,,,M,,,1937,,M,,,,,1192940,0,4,M,1192940.1937.9.4,0,,,,,FORT NELSON A
-122.59722222222223,58.83638888888889,,,M,,9,,BC,,M,0,1937-09-05 00:00:00,,,M,,,1937,,M,,,,,1192940,0,5,M,1192940.1937.9.5,0,,,,,FORT NELSON A
-122.59722222222223,58.83638888888889,,,M,,9,,BC,,M,0,1937-09-06 00:00:00,,,M,,,1937,,M,,,,,1192940,0,6,M,1192940.1937.9.6,0,,,,,FORT NELSON A
-122.59722222222223,58.83638888888889,,,M,,9,,BC,,M,0,1937-09-07 00:00:00,,,M,,,1937,,M,,,,,1192940,0,7,M,1192940.1937.9.7,0,,,,,FORT NELSON A
-122.59722222222223,58.83638888888889,,,M,,9,,BC,,M,0,1937-09-08 00:00:00,,,M,,,1937,,M,,,,,1192940,0,8,M,1192940.1937.9.8,0,,,,,FORT NELSON A
-122.59722222222223,58.83638888888889,,,M,,9,,BC,,M,0,1937-09-09 00:00:00,,,M,,,1937,,M,,,,,1192940,0,9,M,1192940.1937.9.9,0,,,,,FORT NELSON A
-122.59722222222223,58.83638888888889,,,M,,9,,BC,,M,0,1937-09-10 00:00:00,,,M,,,1937,,M,,,,,1192940,0,10,M,1192940.1937.9.10,0,,,,,FORT NELSON A
