x,y,LOCAL_DAY,CLIMATE_IDENTIFIER,STATION_NAME,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,SPEED_MAX_GUST,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,TOTAL_SNOW_FLAG,LOCAL_YEAR,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,LOCAL_MONTH,SNOW_ON_GROUND,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,TOTAL_PRECIPITATION_FLAG,ID,HEATING_DEGREE_DAYS,LOCAL_DATE,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS,DIRECTION_MAX_GUST,PROVINCE_CODE
-120.8333333,56.25,1,1182998,FORT ST JOHN,M,M,,0,,0,,,0,M,,,1910,,,,1,,M,,,,1182998.1910.1.1,,1910-01-01 0:00,M,,,,,BC
-120.8333333,56.25,2,1182998,FORT ST JOHN,,,,0,,0,,,0,,-21.7,,1910,-25.9,,,1,,,-30,,,1182998.1910.1.2,43.9,1910-01-02 0:00,,,,0,,BC
-120.8333333,56.25,3,1182998,FORT ST JOHN,,,,0,,0.5,,,0.5,,-18.3,,1910,-21.1,,,1,,,-23.9,,,1182998.1910.1.3,39.1,1910-01-03 0:00,,,,0,,BC
-120.8333333,56.25,4,1182998,FORT ST JOHN,,,,0,,0,,,0,,-12.8,,1910,-17.3,,,1,,,-21.7,,,1182998.1910.1.4,35.3,1910-01-04 0:00,,,,0,,BC
-120.8333333,56.25,5,1182998,FORT ST JOHN,,,,0,,0,,,0,,-6.7,,1910,-14.8,,,1,,,-22.8,,,1182998.1910.1.5,32.8,1910-01-05 0:00,,,,0,,BC
-120.8333333,56.25,6,1182998,FORT ST JOHN,,,,0,,0,,,0,,-13.3,,1910,-16.1,,,1,,,-18.9,,,1182998.1910.1.6,34.1,1910-01-06 0:00,,,,0,,BC
-120.8333333,56.25,7,1182998,FORT ST JOHN,,,,0,,0,,,0,,-9.4,,1910,-15,,,1,,,-20.6,,,1182998.1910.1.7,33,1910-01-07 0:00,,,,0,,BC
-120.8333333,56.25,8,1182998,FORT ST JOHN,,,,0,,0,,,0,,-8.9,,1910,-14.8,,,1,,,-20.6,,,1182998.1910.1.8,32.8,1910-01-08 0:00,,,,0,,BC
-120.8333333,56.25,9,1182998,FORT ST JOHN,,,,0,,0,,,0,,-3.9,,1910,-10.6,,,1,,,-17.2,,,1182998.1910.1.9,28.6,1910-01-09 0:00,,,,0,,BC
-120.8333333,56.25,10,1182998,FORT ST JOHN,,,,0,,0,,,0,,-11.1,,1910,-15.3,,,1,,,-19.4,,,1182998.1910.1.10,33.3,1910-01-10 0:00,,,,0,,BC
-120.8333333,56.25,11,1182998,FORT ST JOHN,,,,0,,0,,,0,,-11.1,,1910,-14.5,,,1,,,-17.8,,,1182998.1910.1.11,32.5,1910-01-11 0:00,,,,0,,BC
