x,y,TOTAL_SNOW,SNOW_ON_GROUND,DIRECTION_MAX_GUST,TOTAL_RAIN,HEATING_DEGREE_DAYS,SNOW_ON_GROUND_FLAG,MIN_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS_FLAG,LOCAL_DATE,MEAN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,ID,LOCAL_DAY,LOCAL_MONTH,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE,STATION_NAME,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW_FLAG,MAX_TEMPERATURE,SPEED_MAX_GUST,MIN_TEMPERATURE,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,LOCAL_YEAR,CLIMATE_IDENTIFIER,COOLING_DEGREE_DAYS
-120.74027777777778,56.238055555555555,0,0,,0,14.1,T,48,,BC,,,T,,1955-10-25 00:00:00,,100,,0,1183000.1955.10.25,25,10,,3.9,FORT ST JOHN A,,,9.4,,-1.7,T,,1955,1183000,0
-120.74027777777778,56.238055555555555,0,0,,0,14.7,,41,,BC,,,,,1955-10-26 00:00:00,,81,,0,1183000.1955.10.26,26,10,,3.3,FORT ST JOHN A,,,7.2,,-0.6,,,1955,1183000,0
-120.74027777777778,56.238055555555555,0,0,,0,18,,48,,BC,,,,,1955-10-27 00:00:00,,88,,0,1183000.1955.10.27,27,10,,0,FORT ST JOHN A,,,5,,-5,,,1955,1183000,0
-120.74027777777778,56.238055555555555,0.3,0,,0,17.7,,59,,BC,,,,,1955-10-28 00:00:00,,88,,0.3,1183000.1955.10.28,28,10,,0.3,FORT ST JOHN A,,,3.3,,-2.8,,,1955,1183000,0
-120.74027777777778,56.238055555555555,18.3,0,,0,22.2,,78,,BC,,,,,1955-10-29 00:00:00,,96,,18.3,1183000.1955.10.29,29,10,,-4.2,FORT ST JOHN A,,,-2.2,,-6.1,,,1955,1183000,0
-120.74027777777778,56.238055555555555,14.5,18,,0,26.7,,68,,BC,,,,,1955-10-30 00:00:00,,96,,14.5,1183000.1955.10.30,30,10,,-8.7,FORT ST JOHN A,,,-6.7,,-10.6,,,1955,1183000,0
-120.74027777777778,56.238055555555555,3,30,,0,28.3,,77,,BC,,,,,1955-10-31 00:00:00,,92,,3,1183000.1955.10.31,31,10,,-10.3,FORT ST JOHN A,,,-8.9,,-11.7,,,1955,1183000,0
-120.74027777777778,56.238055555555555,1.3,32,,0,28,,77,,BC,,,,,1955-11-01 00:00:00,,91,,1.3,1183000.1955.11.1,1,11,,-10,FORT ST JOHN A,,,-8.3,,-11.7,,,1955,1183000,0
-120.74027777777778,56.238055555555555,3.6,34,,0,28.6,,80,,BC,,,,,1955-11-02 00:00:00,,91,,3.6,1183000.1955.11.2,2,11,,-10.6,FORT ST JOHN A,,,-10,,-11.1,,,1955,1183000,0
-120.74027777777778,56.238055555555555,0,36,,0,30,,80,,BC,,,T,,1955-11-03 00:00:00,,87,,0,1183000.1955.11.3,3,11,,-12,FORT ST JOHN A,,T,-10.6,,-13.3,,,1955,1183000,0
-120.74027777777778,56.238055555555555,0,36,,0,30.5,,70,,BC,,,T,,1955-11-04 00:00:00,,87,,0,1183000.1955.11.4,4,11,,-12.5,FORT ST JOHN A,,T,-7.8,,-17.2,,,1955,1183000,0
-120.74027777777778,56.238055555555555,0,34,,0,26.1,,66,,BC,,,,,1955-11-05 00:00:00,,88,,0,1183000.1955.11.5,5,11,,-8.1,FORT ST JOHN A,,,-1.7,,-14.4,,,1955,1183000,0
-120.74027777777778,56.238055555555555,0,32,,0,20.3,,64,,BC,,,,,1955-11-06 00:00:00,,88,,0,1183000.1955.11.6,6,11,,-2.3,FORT ST JOHN A,,,3.3,,-7.8,,,1955,1183000,0
-120.74027777777778,56.238055555555555,0,24,,0,14.7,,65,,BC,,,,,1955-11-07 00:00:00,,82,,0,1183000.1955.11.7,7,11,,3.3,FORT ST JOHN A,,,8.3,,-1.7,,,1955,1183000,0
