x,y,ID,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS_FLAG,CLIMATE_IDENTIFIER,MAX_TEMPERATURE,LOCAL_MONTH,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,PROVINCE_CODE,TOTAL_RAIN_FLAG,LOCAL_YEAR,LOCAL_DATE,SPEED_MAX_GUST_FLAG,SPEED_MAX_GUST,LOCAL_DAY,TOTAL_PRECIPITATION,SNOW_ON_GROUND,MEAN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS,TOTAL_SNOW,TOTAL_RAIN,TOTAL_SNOW_FLAG,MAX_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,TOTAL_PRECIPITATION_FLAG,HEATING_DEGREE_DAYS,STATION_NAME,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG
-120.74027777777778,56.238055555555555,1183000.2010.8.11,,,,,1183000,23.4,8,,M,BC,,2010,2010-08-11 00:00:00,,0,11,0,0,,18.1,,0.1,0,0,,M,,0,,0,FORT ST JOHN A,12.7,
-120.74027777777778,56.238055555555555,1183000.2010.8.12,,,E,,1183000,18.6,8,,M,BC,,2010,2010-08-12 00:00:00,E,46,12,4.4,0,,14.8,,0,0,4.4,,M,,32,,3.2,FORT ST JOHN A,11,
-120.74027777777778,56.238055555555555,1183000.2010.8.13,,,E,,1183000,22.8,8,,M,BC,,2010,2010-08-13 00:00:00,E,32,13,0.2,0,,17.1,,0,0,0.2,,M,,34,,0.9,FORT ST JOHN A,11.4,
-120.74027777777778,56.238055555555555,1183000.2010.8.14,,,,,1183000,25.8,8,,M,BC,,2010,2010-08-14 00:00:00,,0,14,0,0,,18.1,,0.1,0,0,,M,,0,,0,FORT ST JOHN A,10.4,
-120.74027777777778,56.238055555555555,1183000.2010.8.15,,,E,,1183000,24.9,8,,M,BC,,2010,2010-08-15 00:00:00,E,37,15,10,0,,19.2,,1.2,0,10,,M,,8,,0,FORT ST JOHN A,13.5,
-120.74027777777778,56.238055555555555,1183000.2010.8.16,,,,,1183000,21.9,8,,M,BC,,2010,2010-08-16 00:00:00,,0,16,10,0,,17.1,,0,0,10,,M,,0,,0.9,FORT ST JOHN A,12.3,
-120.74027777777778,56.238055555555555,1183000.2010.8.17,,,,,1183000,18.4,8,,M,BC,,2010,2010-08-17 00:00:00,,0,17,0.4,0,,14.1,,0,0,0.4,,M,,0,,3.9,FORT ST JOHN A,9.7,
-120.74027777777778,56.238055555555555,1183000.2010.8.18,,,,,1183000,27.2,8,,M,BC,,2010,2010-08-18 00:00:00,,0,18,0,0,,19.2,,1.2,0,0,,M,,0,,0,FORT ST JOHN A,11.2,
-120.74027777777778,56.238055555555555,1183000.2010.8.19,,,E,,1183000,19.7,8,,M,BC,,2010,2010-08-19 00:00:00,E,65,19,0.4,0,,14.6,,0,0,0.4,,M,,27,,3.4,FORT ST JOHN A,9.4,
-120.74027777777778,56.238055555555555,1183000.2010.8.20,,,,,1183000,13.8,8,,M,BC,,2010,2010-08-20 00:00:00,,0,20,3,0,,10.4,,0,0,3,,M,,0,,7.6,FORT ST JOHN A,7,
