x,y,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,STATION_NAME,MAX_TEMPERATURE,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,LOCAL_DAY,DIRECTION_MAX_GUST,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,LOCAL_DATE,TOTAL_PRECIPITATION_FLAG,TOTAL_PRECIPITATION,LOCAL_YEAR,ID,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,TOTAL_SNOW,DIRECTION_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,TOTAL_RAIN_FLAG,LOCAL_MONTH
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,28.5,0,0,,19,0,,19,6.3,,81,,1163780,0,,,BC,1978-05-19 00:00:00,,0,1978,1163780.1978.5.19,,17.4,0,,0,,0.6,,5
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,30.3,0,0.9,,20,14,,17,7.4,,76,,1163780,0,,,BC,1978-05-20 00:00:00,,0,1978,1163780.1978.5.20,,18.9,54,,0,,0,,5
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,22.6,0,0,,21,25,,15,10.6,,58,,1163780,0,,,BC,1978-05-21 00:00:00,,0,1978,1163780.1978.5.21,,16.6,54,,0,,1.4,,5
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,13.4,0,0,,22,30,,30,4.6,,81,,1163780,1.2,,,BC,1978-05-22 00:00:00,,1.2,1978,1163780.1978.5.22,,9,65,,0,,9,,5
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,16.9,0,0,,23,24,,23,0.5,,87,,1163780,0,,,BC,1978-05-23 00:00:00,,0,1978,1163780.1978.5.23,,8.7,31,,0,,9.3,,5
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,13.6,0,0,,24,30,,41,3.7,,93,,1163780,1.5,,,BC,1978-05-24 00:00:00,,1.5,1978,1163780.1978.5.24,,8.7,54,,0,,9.3,,5
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,19.7,0,0,,25,24,,26,7.9,,93,,1163780,0.2,,,BC,1978-05-25 00:00:00,,0.2,1978,1163780.1978.5.25,,13.8,48,,0,,4.2,,5
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,18.7,0,0,,26,13,,37,4.6,,71,,1163780,0,,,BC,1978-05-26 00:00:00,T,0,1978,1163780.1978.5.26,,11.7,43,,0,,6.3,T,5
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,21.3,0,0,,27,25,,33,10.7,,82,,1163780,0.7,,,BC,1978-05-27 00:00:00,,0.7,1978,1163780.1978.5.27,,16,69,,0,,2,,5
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,19,0,0,,28,29,,26,5.1,,70,,1163780,0,,,BC,1978-05-28 00:00:00,,0,1978,1163780.1978.5.28,,12.1,61,,0,,5.9,,5
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,16.1,0,0,,29,32,,31,6.6,,66,,1163780,1,,,BC,1978-05-29 00:00:00,,1,1978,1163780.1978.5.29,,11.4,61,,0,,6.6,,5
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,23.2,0,0,,30,29,,27,6.9,,71,,1163780,0,,,BC,1978-05-30 00:00:00,,0,1978,1163780.1978.5.30,,15.1,44,,0,,2.9,,5
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,26.3,0,0,,31,0,,20,6,,76,,1163780,0,,,BC,1978-05-31 00:00:00,,0,1978,1163780.1978.5.31,,16.2,0,,0,,1.8,,5
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,28.8,0,0,,1,0,,17,6.7,,76,,1163780,0,,,BC,1978-06-01 00:00:00,,0,1978,1163780.1978.6.1,,17.8,0,,0,,0.2,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,31.8,0,3,,2,0,,14,10.1,,71,,1163780,0,,,BC,1978-06-02 00:00:00,,0,1978,1163780.1978.6.2,,21,0,,0,,0,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,33.9,0,4.2,,3,0,,14,10.4,,71,,1163780,0,,,BC,1978-06-03 00:00:00,,0,1978,1163780.1978.6.3,,22.2,0,,0,,0,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,34.7,0,4.8,,4,0,,13,10.9,,71,,1163780,0,,,BC,1978-06-04 00:00:00,,0,1978,1163780.1978.6.4,,22.8,0,,0,,0,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,32.4,0,5.1,,5,31,,17,13.8,,59,,1163780,0,,,BC,1978-06-05 00:00:00,,0,1978,1163780.1978.6.5,,23.1,48,,0,,0,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,28.2,0,3.6,,6,30,,19,14.9,,51,,1163780,0,,,BC,1978-06-06 00:00:00,,0,1978,1163780.1978.6.6,,21.6,35,,0,,0,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,29.9,0,2.9,,7,24,,22,11.8,,67,,1163780,0,,,BC,1978-06-07 00:00:00,,0,1978,1163780.1978.6.7,,20.9,35,,0,,0,,6
