x,y,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,STATION_NAME,MAX_TEMPERATURE,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,LOCAL_DAY,DIRECTION_MAX_GUST,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,LOCAL_DATE,TOTAL_PRECIPITATION_FLAG,TOTAL_PRECIPITATION,LOCAL_YEAR,ID,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,TOTAL_SNOW,DIRECTION_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,TOTAL_RAIN_FLAG,LOCAL_MONTH
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,2.8,,0,,1,,,,-2.8,,,,1163780,0,,,BC,1951-01-01 00:00:00,,2.5,1951,1163780.1951.1.1,,0,,,2.5,,18,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,0.6,,0,,2,,,,-2.8,,,,1163780,0,,,BC,1951-01-02 00:00:00,,15.2,1951,1163780.1951.1.2,,-1.1,,,15.2,,19.1,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-3.3,,0,,3,,,,-7.8,,,,1163780,0,,,BC,1951-01-03 00:00:00,,0,1951,1163780.1951.1.3,,-5.6,,,0,,23.6,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-11.1,,0,,4,,,,-14.4,,,,1163780,0,,,BC,1951-01-04 00:00:00,,0,1951,1163780.1951.1.4,,-12.8,,,0,,30.8,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-6.1,,0,,5,,,,-14.4,,,,1163780,0,,,BC,1951-01-05 00:00:00,,0,1951,1163780.1951.1.5,,-10.3,,,0,,28.3,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-3.9,,0,,6,,,,-13.3,,,,1163780,0,,,BC,1951-01-06 00:00:00,,0,1951,1163780.1951.1.6,,-8.6,,,0,,26.6,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-1.1,,0,,7,,,,-12.2,,,,1163780,0,,,BC,1951-01-07 00:00:00,,0,1951,1163780.1951.1.7,,-6.7,,,0,,24.7,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-1.1,,0,,8,,,,-7.8,,,,1163780,0,,,BC,1951-01-08 00:00:00,,0,1951,1163780.1951.1.8,,-4.5,,,0,,22.5,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,1.1,,0,,9,,,,-6.1,,,,1163780,0,,,BC,1951-01-09 00:00:00,T,0,1951,1163780.1951.1.9,T,-2.5,,,0,,20.5,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,2.2,,0,,10,,,,-6.7,,,,1163780,0,,,BC,1951-01-10 00:00:00,T,0,1951,1163780.1951.1.10,T,-2.3,,,0,,20.3,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,2.2,,0,,11,,,,-4.4,,,,1163780,0,,,BC,1951-01-11 00:00:00,,0,1951,1163780.1951.1.11,,-1.1,,,0,,19.1,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,0,,0,,12,,,,-7.2,,,,1163780,0,,,BC,1951-01-12 00:00:00,,0,1951,1163780.1951.1.12,,-3.6,,,0,,21.6,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,5.6,,0,,13,,,,-3.3,,,,1163780,0,,,BC,1951-01-13 00:00:00,T,0,1951,1163780.1951.1.13,T,1.2,,,0,,16.8,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,3.3,,0,,14,,,,-2.8,,,,1163780,0,,,BC,1951-01-14 00:00:00,,0,1951,1163780.1951.1.14,,0.3,,,0,,17.7,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,7.2,,0,,15,,,,-5,,,,1163780,0,,,BC,1951-01-15 00:00:00,,3.8,1951,1163780.1951.1.15,,1.1,,,3.8,,16.9,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,4.4,,0,,16,,,,-11.7,,,,1163780,0,,,BC,1951-01-16 00:00:00,,5.1,1951,1163780.1951.1.16,,-3.7,,,5.1,,21.7,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,3.3,,0,,17,,,,-5,,,,1163780,0,,,BC,1951-01-17 00:00:00,,0,1951,1163780.1951.1.17,,-0.9,,,0,,18.9,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-5.6,,0,,18,,,,-7.8,,,,1163780,0,,,BC,1951-01-18 00:00:00,,0,1951,1163780.1951.1.18,,-6.7,,,0,,24.7,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-6.1,,0,,19,,,,-10.6,,,,1163780,0,,,BC,1951-01-19 00:00:00,,2,1951,1163780.1951.1.19,,-8.4,,,2,,26.4,,1
