x,y,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,STATION_NAME,MAX_TEMPERATURE,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,LOCAL_DAY,DIRECTION_MAX_GUST,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,LOCAL_DATE,TOTAL_PRECIPITATION_FLAG,TOTAL_PRECIPITATION,LOCAL_YEAR,ID,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,TOTAL_SNOW,DIRECTION_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,TOTAL_RAIN_FLAG,LOCAL_MONTH
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,6.7,0,0,,3,0,,,-2.8,,,M,1163780,0,M,,BC,2006-03-03 00:00:00,,0,2006,1163780.2006.3.3,,2,0,,0,,16,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,7.6,0,0,,4,0,,,-4.8,,,M,1163780,0,M,,BC,2006-03-04 00:00:00,,0,2006,1163780.2006.3.4,,1.4,0,,0,,16.6,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,9.3,0,0,,5,11,,,-2.8,,,M,1163780,0,M,,BC,2006-03-05 00:00:00,,0,2006,1163780.2006.3.5,,3.3,57,E,0,E,14.7,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,9.8,0,0,,6,12,,,-1.2,,,M,1163780,0,M,,BC,2006-03-06 00:00:00,,0,2006,1163780.2006.3.6,,4.3,35,E,0,E,13.7,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,10.4,0,0,,7,10,,,1.9,,,M,1163780,0,M,,BC,2006-03-07 00:00:00,T,0,2006,1163780.2006.3.7,,6.2,41,E,0,E,11.8,T,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,6,0,0,,8,9,,,0.7,,,M,1163780,0.6,M,,BC,2006-03-08 00:00:00,,0.6,2006,1163780.2006.3.8,T,3.4,59,E,0,E,14.6,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,5.3,4,0,,9,30,,,-4.9,,,M,1163780,0.4,M,,BC,2006-03-09 00:00:00,,4.8,2006,1163780.2006.3.9,,0.2,37,E,4.4,E,17.8,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,5.8,0,0,,10,0,,,-5.4,T,,M,1163780,0,M,,BC,2006-03-10 00:00:00,,0,2006,1163780.2006.3.10,,0.2,0,,0,,17.8,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,6.8,0,0,,11,0,,,-5.6,,,M,1163780,0,M,,BC,2006-03-11 00:00:00,,0,2006,1163780.2006.3.11,,0.6,0,,0,,17.4,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,6.9,0,0,,12,0,,,-6.1,,,M,1163780,0,M,,BC,2006-03-12 00:00:00,,0,2006,1163780.2006.3.12,,0.4,0,,0,,17.6,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,8.9,0,0,,13,10,,,-7.9,,,M,1163780,0,M,,BC,2006-03-13 00:00:00,,0,2006,1163780.2006.3.13,,0.5,39,E,0,E,17.5,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,9.7,0,0,,14,10,,,0.3,,,M,1163780,0,M,,BC,2006-03-14 00:00:00,,0,2006,1163780.2006.3.14,,5,48,E,0,E,13,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,10.2,0,0,,15,14,,,-0.1,,,M,1163780,0,M,,BC,2006-03-15 00:00:00,,0,2006,1163780.2006.3.15,,5.1,41,E,0,E,12.9,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,9.4,0,0,,16,9,,,0.2,,,M,1163780,0,M,,BC,2006-03-16 00:00:00,,0,2006,1163780.2006.3.16,,4.8,52,E,0,E,13.2,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,10.6,0,0,,17,11,,,1.9,,,M,1163780,6.8,M,,BC,2006-03-17 00:00:00,,6.8,2006,1163780.2006.3.17,,6.3,41,E,0,E,11.7,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,7.5,0,0,,18,36,,,-1.2,,,M,1163780,0.2,M,,BC,2006-03-18 00:00:00,,0.2,2006,1163780.2006.3.18,,3.2,33,E,0,E,14.8,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,9.5,0,0,,19,0,,,-1.9,,,M,1163780,0,M,,BC,2006-03-19 00:00:00,,0,2006,1163780.2006.3.19,,3.8,0,,0,,14.2,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,5.8,0,0,,20,0,,,-4.5,,,M,1163780,0,M,,BC,2006-03-20 00:00:00,,0,2006,1163780.2006.3.20,,0.7,0,,0,,17.3,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,12.5,0,0,,21,31,,,1.6,,,M,1163780,0,M,,BC,2006-03-21 00:00:00,,0,2006,1163780.2006.3.21,,7.1,32,E,0,E,10.9,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,15.6,0,0,,22,12,,,2.5,,,M,1163780,0,M,,BC,2006-03-22 00:00:00,,0,2006,1163780.2006.3.22,,9.1,46,E,0,E,8.9,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,18.6,0,0,,23,9,,,4.1,,,M,1163780,0,M,,BC,2006-03-23 00:00:00,,0,2006,1163780.2006.3.23,,11.4,44,E,0,E,6.6,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,14,0,0,,24,22,,,4.8,,,M,1163780,1.4,M,,BC,2006-03-24 00:00:00,,1.4,2006,1163780.2006.3.24,,9.4,65,,0,,8.6,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,13.2,0,0,,25,0,,,-0.2,,,M,1163780,0,M,,BC,2006-03-25 00:00:00,,0,2006,1163780.2006.3.25,,6.5,0,,0,,11.5,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,12,0,0,,26,21,,,-2.9,,,M,1163780,0,M,,BC,2006-03-26 00:00:00,,0,2006,1163780.2006.3.26,,4.6,37,E,0,E,13.4,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,11.8,0,0,,27,0,,,3.6,,,M,1163780,0,M,,BC,2006-03-27 00:00:00,,0,2006,1163780.2006.3.27,,7.7,0,,0,,10.3,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,11.7,0,0,,28,0,,,3.1,,,M,1163780,0,M,,BC,2006-03-28 00:00:00,,0,2006,1163780.2006.3.28,,7.4,0,,0,,10.6,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,17.4,0,0,,29,0,,,4.7,,,M,1163780,0.2,M,,BC,2006-03-29 00:00:00,,0.2,2006,1163780.2006.3.29,,11.1,0,,0,,6.9,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,16.3,0,0,,30,0,,,1.5,,,M,1163780,0,M,,BC,2006-03-30 00:00:00,,0,2006,1163780.2006.3.30,,8.9,0,,0,,9.1,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,13.4,0,0,,31,0,,,5.4,,,M,1163780,0.8,M,,BC,2006-03-31 00:00:00,,0.8,2006,1163780.2006.3.31,,9.4,0,,0,,8.6,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,14.7,0,0,,1,0,,,2.5,,,M,1163780,0,M,,BC,2006-04-01 00:00:00,,0,2006,1163780.2006.4.1,,8.6,0,,0,,9.4,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,15.4,0,0,,2,13,,,5.7,,,M,1163780,0,M,,BC,2006-04-02 00:00:00,,0,2006,1163780.2006.4.2,,10.6,39,E,0,E,7.4,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,13,0,0,,3,0,,,2.8,,,M,1163780,0,M,,BC,2006-04-03 00:00:00,,0,2006,1163780.2006.4.3,,7.9,0,,0,,10.1,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,15.1,0,0,,4,0,,,4.8,,,M,1163780,1.2,M,,BC,2006-04-04 00:00:00,,1.2,2006,1163780.2006.4.4,,10,0,,0,,8,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,20,0,0,,5,0,,,1.3,,,M,1163780,0,M,,BC,2006-04-05 00:00:00,,0,2006,1163780.2006.4.5,,10.7,0,,0,,7.3,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,18.9,0,0,,6,18,,,9.5,,,M,1163780,0,M,,BC,2006-04-06 00:00:00,,0,2006,1163780.2006.4.6,,14.2,46,E,0,E,3.8,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,18.4,0,0,,7,0,,,0.7,,,M,1163780,0,M,,BC,2006-04-07 00:00:00,,0,2006,1163780.2006.4.7,,9.6,0,,0,,8.4,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,17.6,0,0,,8,11,,,4.5,,,M,1163780,0,M,,BC,2006-04-08 00:00:00,,0,2006,1163780.2006.4.8,,11.1,33,E,0,E,6.9,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,18.4,0,0,,9,0,,,6.3,,,M,1163780,0,M,,BC,2006-04-09 00:00:00,,0,2006,1163780.2006.4.9,,12.4,0,,0,,5.6,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,16.8,0,0,,10,10,,,6,,,M,1163780,0.8,M,,BC,2006-04-10 00:00:00,,0.8,2006,1163780.2006.4.10,,11.4,32,E,0,E,6.6,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,15.3,0,0,,11,23,,,1,,,M,1163780,2,M,,BC,2006-04-11 00:00:00,,2,2006,1163780.2006.4.11,,8.2,41,E,0,E,9.8,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,17.9,0,0,,12,22,,,7.5,,,M,1163780,0,M,,BC,2006-04-12 00:00:00,,0,2006,1163780.2006.4.12,,12.7,59,E,0,E,5.3,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,12.5,0,0,,13,18,,,0.7,,,M,1163780,0,M,,BC,2006-04-13 00:00:00,T,0,2006,1163780.2006.4.13,,6.6,50,E,0,E,11.4,T,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,14.3,0,0,,14,22,,,4.6,,,M,1163780,0,M,,BC,2006-04-14 00:00:00,,0,2006,1163780.2006.4.14,,9.5,56,E,0,E,8.5,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,11.4,0,0,,15,9,,,-0.5,,,M,1163780,1,M,,BC,2006-04-15 00:00:00,,1,2006,1163780.2006.4.15,,5.5,39,E,0,E,12.5,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,14,0,0,,16,10,,,3.1,,,M,1163780,0,M,,BC,2006-04-16 00:00:00,T,0,2006,1163780.2006.4.16,,8.6,46,E,0,E,9.4,T,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,14.6,0,0,,17,22,,,-3.2,,,M,1163780,0,M,,BC,2006-04-17 00:00:00,,0,2006,1163780.2006.4.17,,5.7,35,E,0,E,12.3,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,17.1,0,0,,18,10,,,1.1,,,M,1163780,0,M,,BC,2006-04-18 00:00:00,,0,2006,1163780.2006.4.18,,9.1,35,E,0,E,8.9,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,20.2,0,0,,19,10,,,7.1,,,M,1163780,0,M,,BC,2006-04-19 00:00:00,,0,2006,1163780.2006.4.19,,13.7,44,E,0,E,4.3,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,22.5,0,0,,20,0,,,10.6,,,M,1163780,0,M,,BC,2006-04-20 00:00:00,,0,2006,1163780.2006.4.20,,16.6,0,,0,,1.4,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,14.9,0,0,,21,28,,,3.1,,,M,1163780,0.2,M,,BC,2006-04-21 00:00:00,,0.2,2006,1163780.2006.4.21,,9,63,E,0,E,9,,4
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,16.3,0,0,,22,27,,,1.1,,,M,1163780,0,M,,BC,2006-04-22 00:00:00,,0,2006,1163780.2006.4.22,,8.7,46,E,0,E,9.3,,4
