x,y,COOLING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,TOTAL_RAIN,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION_FLAG,STATION_NAME,TOTAL_PRECIPITATION,TOTAL_SNOW,MIN_REL_HUMIDITY_FLAG,MIN_REL_HUMIDITY,MAX_TEMPERATURE,TOTAL_RAIN_FLAG,MIN_TEMPERATURE,SNOW_ON_GROUND,SPEED_MAX_GUST,LOCAL_YEAR,MEAN_TEMPERATURE,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,PROVINCE_CODE,HEATING_DEGREE_DAYS_FLAG,LOCAL_MONTH,MAX_REL_HUMIDITY,ID,SNOW_ON_GROUND_FLAG,LOCAL_DAY,DIRECTION_MAX_GUST,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,LOCAL_DATE,MIN_TEMPERATURE_FLAG
-120.35,50.68333333,M,,0,,T,KAMLOOPS MISSION FLATS,0,0,,,,T,,,,1939,,,M,,BC,M,5,,1163840.1939.5.1,,1,,1163840,M,,,1939-05-01 0:00,M
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,24.4,,4.4,,,1939,14.4,,,,BC,,5,,1163840.1939.5.2,,2,,1163840,,0,3.6,1939-05-02 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,27.8,,6.7,,,1939,17.3,,,,BC,,5,,1163840.1939.5.3,,3,,1163840,,0,0.7,1939-05-03 0:00,
-120.35,50.68333333,,,1.5,,,KAMLOOPS MISSION FLATS,1.5,0,,,14.4,,10,,,1939,12.2,,,,BC,,5,,1163840.1939.5.4,,4,,1163840,,0,5.8,1939-05-04 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,20,,6.7,,,1939,13.4,,,,BC,,5,,1163840.1939.5.5,,5,,1163840,,0,4.6,1939-05-05 0:00,
-120.35,50.68333333,,,1.8,,,KAMLOOPS MISSION FLATS,1.8,0,,,19.4,,8.9,,,1939,14.2,,,,BC,,5,,1163840.1939.5.6,,6,,1163840,,0,3.8,1939-05-06 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,20.6,,7.8,,,1939,14.2,,,,BC,,5,,1163840.1939.5.7,,7,,1163840,,0,3.8,1939-05-07 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,20,,10.6,,,1939,15.3,,,,BC,,5,,1163840.1939.5.8,,8,,1163840,,0,2.7,1939-05-08 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,17.8,,2.2,,,1939,10,,,,BC,,5,,1163840.1939.5.9,,9,,1163840,,0,8,1939-05-09 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,22.2,,-0.6,,,1939,10.8,,,,BC,,5,,1163840.1939.5.10,,10,,1163840,,0,7.2,1939-05-10 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,24.4,,1.1,,,1939,12.8,,,,BC,,5,,1163840.1939.5.11,,11,,1163840,,0,5.2,1939-05-11 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,28.9,,3.3,,,1939,16.1,,,,BC,,5,,1163840.1939.5.12,,12,,1163840,,0,1.9,1939-05-12 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,30.6,,6.7,,,1939,18.7,,,,BC,,5,,1163840.1939.5.13,,13,,1163840,,0.7,0,1939-05-13 0:00,
-120.35,50.68333333,,,0,,T,KAMLOOPS MISSION FLATS,0,0,,,31.7,T,10,,,1939,20.9,,,,BC,,5,,1163840.1939.5.14,,14,,1163840,,2.9,0,1939-05-14 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,30.6,,8.3,,,1939,19.5,,,,BC,,5,,1163840.1939.5.15,,15,,1163840,,1.5,0,1939-05-15 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,26.1,,15.6,,,1939,20.9,,,,BC,,5,,1163840.1939.5.16,,16,,1163840,,2.9,0,1939-05-16 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,21.7,,12.2,,,1939,17,,,,BC,,5,,1163840.1939.5.17,,17,,1163840,,0,1,1939-05-17 0:00,
-120.35,50.68333333,,,2.3,,,KAMLOOPS MISSION FLATS,2.3,0,,,18.3,,6.7,,,1939,12.5,,,,BC,,5,,1163840.1939.5.18,,18,,1163840,,0,5.5,1939-05-18 0:00,
-120.35,50.68333333,,,1,,,KAMLOOPS MISSION FLATS,1,0,,,16.7,,5.6,,,1939,11.2,,,,BC,,5,,1163840.1939.5.19,,19,,1163840,,0,6.8,1939-05-19 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,20.6,,2.8,,,1939,11.7,,,,BC,,5,,1163840.1939.5.20,,20,,1163840,,0,6.3,1939-05-20 0:00,
-120.35,50.68333333,,,5.6,,,KAMLOOPS MISSION FLATS,5.6,0,,,18.3,,6.7,,,1939,12.5,,,,BC,,5,,1163840.1939.5.21,,21,,1163840,,0,5.5,1939-05-21 0:00,
-120.35,50.68333333,,,3.3,,,KAMLOOPS MISSION FLATS,3.3,0,,,19.4,,9.4,,,1939,14.4,,,,BC,,5,,1163840.1939.5.22,,22,,1163840,,0,3.6,1939-05-22 0:00,
-120.35,50.68333333,,,2.3,,,KAMLOOPS MISSION FLATS,2.3,0,,,19.4,,11.7,,,1939,15.6,,,,BC,,5,,1163840.1939.5.23,,23,,1163840,,0,2.4,1939-05-23 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,24.4,,6.7,,,1939,15.6,,,,BC,,5,,1163840.1939.5.24,,24,,1163840,,0,2.4,1939-05-24 0:00,
-120.35,50.68333333,,,1,,,KAMLOOPS MISSION FLATS,1,0,,,19.4,,11.7,,,1939,15.6,,,,BC,,5,,1163840.1939.5.25,,25,,1163840,,0,2.4,1939-05-25 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,22.2,,7.2,,,1939,14.7,,,,BC,,5,,1163840.1939.5.26,,26,,1163840,,0,3.3,1939-05-26 0:00,
-120.35,50.68333333,,,0.8,,,KAMLOOPS MISSION FLATS,0.8,0,,,19.4,,5,,,1939,12.2,,,,BC,,5,,1163840.1939.5.27,,27,,1163840,,0,5.8,1939-05-27 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,26.7,,12.2,,,1939,19.5,,,,BC,,5,,1163840.1939.5.28,,28,,1163840,,1.5,0,1939-05-28 0:00,
-120.35,50.68333333,,,0,,T,KAMLOOPS MISSION FLATS,0,0,,,22.8,T,12.2,,,1939,17.5,,,,BC,,5,,1163840.1939.5.29,,29,,1163840,,0,0.5,1939-05-29 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,15,,8.9,,,1939,12,,,,BC,,5,,1163840.1939.5.30,,30,,1163840,,0,6,1939-05-30 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,17.2,,3.9,,,1939,10.6,,,,BC,,5,,1163840.1939.5.31,,31,,1163840,,0,7.4,1939-05-31 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,18.3,,7.2,,,1939,12.8,,,,BC,,6,,1163840.1939.6.1,,1,,1163840,,0,5.2,1939-06-01 0:00,
-120.35,50.68333333,,,0,,,KAMLOOPS MISSION FLATS,0,0,,,21.1,,3.9,,,1939,12.5,,,,BC,,6,,1163840.1939.6.2,,2,,1163840,,0,5.5,1939-06-02 0:00,
-120.35,50.68333333,,,7.1,,,KAMLOOPS MISSION FLATS,7.1,0,,,17.8,,6.1,,,1939,12,,,,BC,,6,,1163840.1939.6.3,,3,,1163840,,0,6,1939-06-03 0:00,
-120.35,50.68333333,,,0.3,,,KAMLOOPS MISSION FLATS,0.3,0,,,15.6,,8.3,,,1939,12,,,,BC,,6,,1163840.1939.6.4,,4,,1163840,,0,6,1939-06-04 0:00,
-120.35,50.68333333,,,0,,T,KAMLOOPS MISSION FLATS,0,0,,,18.9,T,6.1,,,1939,12.5,,,,BC,,6,,1163840.1939.6.5,,5,,1163840,,0,5.5,1939-06-05 0:00,
-120.35,50.68333333,,,12.4,,,KAMLOOPS MISSION FLATS,12.4,0,,,20.6,,9.4,,,1939,15,,,,BC,,6,,1163840.1939.6.6,,6,,1163840,,0,3,1939-06-06 0:00,
-120.35,50.68333333,,,1.3,,,KAMLOOPS MISSION FLATS,1.3,0,,,18.9,,10,,,1939,14.5,,,,BC,,6,,1163840.1939.6.7,,7,,1163840,,0,3.5,1939-06-07 0:00,
-120.35,50.68333333,,,3.8,,,KAMLOOPS MISSION FLATS,3.8,0,,,17.2,,7.2,,,1939,12.2,,,,BC,,6,,1163840.1939.6.8,,8,,1163840,,0,5.8,1939-06-08 0:00,
-120.35,50.68333333,,,4.1,,,KAMLOOPS MISSION FLATS,4.1,0,,,21.1,,7.8,,,1939,14.5,,,,BC,,6,,1163840.1939.6.9,,9,,1163840,,0,3.5,1939-06-09 0:00,
-120.35,50.68333333,,,0.3,,,KAMLOOPS MISSION FLATS,0.3,0,,,23.9,,11.1,,,1939,17.5,,,,BC,,6,,1163840.1939.6.10,,10,,1163840,,0,0.5,1939-06-10 0:00,
