x,y,TOTAL_RAIN,MIN_REL_HUMIDITY,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,LOCAL_DAY,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,CLIMATE_IDENTIFIER,MIN_TEMPERATURE,LOCAL_YEAR,MAX_REL_HUMIDITY,LOCAL_DATE,MEAN_TEMPERATURE_FLAG,LOCAL_MONTH,TOTAL_RAIN_FLAG,MEAN_TEMPERATURE,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,MIN_TEMPERATURE_FLAG,SPEED_MAX_GUST,ID,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,PROVINCE_CODE,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS,STATION_NAME
-119.60222222222222,49.463055555555556,0.8,,,19,23,E,,1126150,8.7,1996,,1996-04-23 00:00:00,,4,,12.1,E,M,,15.4,0.8,,0,M,0,,65,1126150.1996.4.23,,0,BC,,5.9,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,19,24,E,T,1126150,6.1,1996,,1996-04-24 00:00:00,,4,T,10.8,E,M,,15.4,0,,0,M,0,,37,1126150.1996.4.24,,0,BC,,7.2,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,18,25,E,T,1126150,1.4,1996,,1996-04-25 00:00:00,,4,T,6.6,E,M,,11.8,0,,0,M,0,,67,1126150.1996.4.25,,0,BC,,11.4,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,26,,,1126150,4.6,1996,,1996-04-26 00:00:00,,4,,9.2,,M,,13.8,0,,0,M,0,,0,1126150.1996.4.26,,0,BC,,8.8,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,27,,,1126150,-0.5,1996,,1996-04-27 00:00:00,,4,,7.2,,M,,14.9,0,,0,M,0,,0,1126150.1996.4.27,,0,BC,,10.8,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,17,28,E,T,1126150,-3.1,1996,,1996-04-28 00:00:00,,4,T,5.6,E,M,,14.2,0,,0,M,0,,43,1126150.1996.4.28,,0,BC,,12.4,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,29,,,1126150,5.3,1996,,1996-04-29 00:00:00,,4,,12.5,,M,,19.7,0,,0,M,0,,0,1126150.1996.4.29,,0,BC,,5.5,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,30,,,1126150,-0.2,1996,,1996-04-30 00:00:00,,4,,8.6,,M,,17.3,0,,0,M,0,,0,1126150.1996.4.30,,0,BC,,9.4,PENTICTON A
-119.60222222222222,49.463055555555556,2.2,,,0,1,,,1126150,4.6,1996,,1996-05-01 00:00:00,,5,,9.3,,M,,14,2.2,,0,M,0,,0,1126150.1996.5.1,,0,BC,T,8.7,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,2,,T,1126150,0.3,1996,,1996-05-02 00:00:00,,5,T,6.5,,M,,12.7,0,,0,M,0,,0,1126150.1996.5.2,,0,BC,,11.5,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,3,,,1126150,-3.1,1996,,1996-05-03 00:00:00,,5,,5.8,,M,,14.6,0,,0,M,0,,0,1126150.1996.5.3,,0,BC,,12.2,PENTICTON A
-119.60222222222222,49.463055555555556,1.6,,,29,4,E,,1126150,6.9,1996,,1996-05-04 00:00:00,,5,,11.3,E,M,,15.7,1.6,,0,M,0,,41,1126150.1996.5.4,,0,BC,,6.7,PENTICTON A
-119.60222222222222,49.463055555555556,1.4,,,0,5,,,1126150,4.7,1996,,1996-05-05 00:00:00,,5,,11.1,,M,,17.4,1.4,,0,M,0,,0,1126150.1996.5.5,,0,BC,,6.9,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,16,6,E,,1126150,1.5,1996,,1996-05-06 00:00:00,,5,,9.2,E,M,,16.9,0,,0,M,0,,41,1126150.1996.5.6,,0,BC,,8.8,PENTICTON A
-119.60222222222222,49.463055555555556,1.2,,,0,7,,,1126150,5.5,1996,,1996-05-07 00:00:00,,5,,8.5,,M,,11.5,1.2,,0,M,0,,0,1126150.1996.5.7,,0,BC,,9.5,PENTICTON A
-119.60222222222222,49.463055555555556,0.8,,,25,8,E,,1126150,3.7,1996,,1996-05-08 00:00:00,,5,,7.7,E,M,,11.7,0.8,,0,M,0,,37,1126150.1996.5.8,,0,BC,,10.3,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,9,,,1126150,-2.8,1996,,1996-05-09 00:00:00,,5,,6.1,,M,,15,0,,0,M,0,,0,1126150.1996.5.9,,0,BC,,11.9,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,10,,T,1126150,6.9,1996,,1996-05-10 00:00:00,,5,T,10.8,,M,,14.7,0,,0,M,0,,0,1126150.1996.5.10,,0,BC,,7.2,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,11,,T,1126150,3.4,1996,,1996-05-11 00:00:00,,5,T,8.3,,M,,13.2,0,,0,M,0,,0,1126150.1996.5.11,,0,BC,,9.7,PENTICTON A
-119.60222222222222,49.463055555555556,2.6,,,0,12,,,1126150,6.2,1996,,1996-05-12 00:00:00,,5,,11,,M,,15.8,2.6,,0,M,0,,0,1126150.1996.5.12,,0,BC,,7,PENTICTON A
-119.60222222222222,49.463055555555556,1.6,,,0,13,,,1126150,10.2,1996,,1996-05-13 00:00:00,,5,,14.7,,M,,19.1,1.6,,0,M,0,,0,1126150.1996.5.13,,0,BC,,3.3,PENTICTON A
-119.60222222222222,49.463055555555556,2.2,,,0,14,,,1126150,8.6,1996,,1996-05-14 00:00:00,,5,,14.4,,M,,20.2,2.2,,0,M,0,,0,1126150.1996.5.14,,0,BC,,3.6,PENTICTON A
-119.60222222222222,49.463055555555556,3.6,,,18,15,E,,1126150,8,1996,,1996-05-15 00:00:00,,5,,13.3,E,M,,18.5,3.6,,0,M,0,,33,1126150.1996.5.15,,0,BC,,4.7,PENTICTON A
-119.60222222222222,49.463055555555556,1.8,,,0,16,,,1126150,8.8,1996,,1996-05-16 00:00:00,,5,,14,,M,,19.2,1.8,,0,M,0,,0,1126150.1996.5.16,,0,BC,,4,PENTICTON A
-119.60222222222222,49.463055555555556,7.4,,,18,17,E,,1126150,8,1996,,1996-05-17 00:00:00,,5,,12.6,E,M,,17.2,7.4,,0,M,0,,41,1126150.1996.5.17,,0,BC,,5.4,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,18,18,E,,1126150,7.9,1996,,1996-05-18 00:00:00,,5,,12.9,E,M,,17.8,0,,0,M,0,,46,1126150.1996.5.18,,0,BC,,5.1,PENTICTON A
-119.60222222222222,49.463055555555556,4.8,,,0,19,,,1126150,5.9,1996,,1996-05-19 00:00:00,,5,,11.2,,M,,16.5,4.8,,0,M,0,,0,1126150.1996.5.19,,0,BC,,6.8,PENTICTON A
-119.60222222222222,49.463055555555556,0.4,,,0,20,,,1126150,3.1,1996,,1996-05-20 00:00:00,,5,,10.6,,M,,18,0.4,,0,M,0,,0,1126150.1996.5.20,,0,BC,,7.4,PENTICTON A
-119.60222222222222,49.463055555555556,3.8,,,0,21,,,1126150,5.1,1996,,1996-05-21 00:00:00,,5,,9.9,,M,,14.7,3.8,,0,M,0,,0,1126150.1996.5.21,,0,BC,,8.1,PENTICTON A
-119.60222222222222,49.463055555555556,13,,,0,22,,,1126150,8.6,1996,,1996-05-22 00:00:00,,5,,10.4,,M,,12.2,13,,0,M,0,,0,1126150.1996.5.22,,0,BC,,7.6,PENTICTON A
-119.60222222222222,49.463055555555556,0.2,,,0,23,,,1126150,6,1996,,1996-05-23 00:00:00,,5,,12.7,,M,,19.3,0.2,,0,M,0,,0,1126150.1996.5.23,,0,BC,,5.3,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,24,,,1126150,6.4,1996,,1996-05-24 00:00:00,,5,,15.1,,M,,23.7,0,,0,M,0,,0,1126150.1996.5.24,,0,BC,,2.9,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,25,,,1126150,7.8,1996,,1996-05-25 00:00:00,,5,,16.5,,M,,25.2,0,,0,M,0,,0,1126150.1996.5.25,,0,BC,,1.5,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,26,,,1126150,6.5,1996,,1996-05-26 00:00:00,,5,,15.4,,M,,24.2,0,,0,M,0,,0,1126150.1996.5.26,,0,BC,,2.6,PENTICTON A
-119.60222222222222,49.463055555555556,0.4,,,28,27,E,,1126150,7.2,1996,,1996-05-27 00:00:00,,5,,13.3,E,M,,19.4,0.4,,0,M,0,,48,1126150.1996.5.27,,0,BC,,4.7,PENTICTON A
-119.60222222222222,49.463055555555556,2,,,16,28,E,,1126150,7.2,1996,,1996-05-28 00:00:00,,5,,13.3,E,M,,19.3,2,,0,M,0,,43,1126150.1996.5.28,,0,BC,,4.7,PENTICTON A
-119.60222222222222,49.463055555555556,6,,,0,29,,,1126150,7.2,1996,,1996-05-29 00:00:00,,5,,11.5,,M,,15.8,6,,0,M,0,,0,1126150.1996.5.29,,0,BC,,6.5,PENTICTON A
-119.60222222222222,49.463055555555556,11,,,21,30,E,,1126150,8.6,1996,,1996-05-30 00:00:00,,5,,12.3,E,M,,16,11,,0,M,0,,37,1126150.1996.5.30,,0,BC,,5.7,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,31,,T,1126150,8.2,1996,,1996-05-31 00:00:00,,5,T,14.6,,M,,21,0,,0,M,0,,0,1126150.1996.5.31,,0,BC,,3.4,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,1,,,1126150,5,1996,,1996-06-01 00:00:00,,6,,13.4,,M,,21.8,0,,0,M,0,,0,1126150.1996.6.1,,0,BC,,4.6,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,2,,,1126150,13.1,1996,,1996-06-02 00:00:00,,6,,18.2,,M,,23.3,0,,0,M,0,,0,1126150.1996.6.2,,0.2,BC,,0,PENTICTON A
-119.60222222222222,49.463055555555556,2.6,,,0,3,,,1126150,13.6,1996,,1996-06-03 00:00:00,,6,,18.7,,M,,23.7,2.6,,0,M,0,,0,1126150.1996.6.3,,0.7,BC,,0,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,4,,,1126150,12.2,1996,,1996-06-04 00:00:00,,6,,17.7,,M,,23.2,0,,0,M,0,,0,1126150.1996.6.4,,0,BC,,0.3,PENTICTON A
-119.60222222222222,49.463055555555556,0.2,,,0,5,,,1126150,8.8,1996,,1996-06-05 00:00:00,,6,,16,,M,,23.1,0.2,,0,M,0,,0,1126150.1996.6.5,,0,BC,,2,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,18,6,E,,1126150,9.4,1996,,1996-06-06 00:00:00,,6,,17.7,E,M,,25.9,0,,0,M,0,,41,1126150.1996.6.6,,0,BC,,0.3,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,7,,,1126150,11.8,1996,,1996-06-07 00:00:00,,6,,21.1,,M,,30.3,0,,0,M,0,,0,1126150.1996.6.7,,3.1,BC,,0,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,8,,,1126150,10.2,1996,,1996-06-08 00:00:00,,6,,18.7,,M,,27.2,0,,0,M,0,,0,1126150.1996.6.8,,0.7,BC,,0,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,9,,,1126150,9.7,1996,,1996-06-09 00:00:00,,6,,16.2,,M,,22.7,0,,0,M,0,,0,1126150.1996.6.9,,0,BC,,1.8,PENTICTON A
-119.60222222222222,49.463055555555556,0.4,,,18,10,E,,1126150,7.3,1996,,1996-06-10 00:00:00,,6,,15.2,E,M,,23.1,0.4,,0,M,0,,41,1126150.1996.6.10,,0,BC,,2.8,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,11,,,1126150,7.5,1996,,1996-06-11 00:00:00,,6,,15.3,,M,,23,0,,0,M,0,,0,1126150.1996.6.11,,0,BC,,2.7,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,12,,,1126150,6.4,1996,,1996-06-12 00:00:00,,6,,16.3,,M,,26.2,0,,0,M,0,,0,1126150.1996.6.12,,0,BC,,1.7,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,13,,,1126150,9.2,1996,,1996-06-13 00:00:00,,6,,17.5,,M,,25.8,0,,0,M,0,,0,1126150.1996.6.13,,0,BC,,0.5,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,14,,,1126150,6.7,1996,,1996-06-14 00:00:00,,6,,17.5,,M,,28.2,0,,0,M,0,,0,1126150.1996.6.14,,0,BC,,0.5,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,15,,,1126150,8.2,1996,,1996-06-15 00:00:00,,6,,17,,M,,25.7,0,,0,M,0,,0,1126150.1996.6.15,,0,BC,,1,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,0,16,,,1126150,7.6,1996,,1996-06-16 00:00:00,,6,,14.8,,M,,22,0,,0,M,0,,0,1126150.1996.6.16,,0,BC,,3.2,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,27,17,E,,1126150,13.7,1996,,1996-06-17 00:00:00,,6,,17.3,E,M,,20.9,0,,0,M,0,,46,1126150.1996.6.17,,0,BC,,0.7,PENTICTON A
-119.60222222222222,49.463055555555556,4,,,0,18,,,1126150,7.8,1996,,1996-06-18 00:00:00,,6,,13.3,,M,,18.8,4,,0,M,0,,0,1126150.1996.6.18,,0,BC,,4.7,PENTICTON A
