x,y,TOTAL_RAIN,MIN_REL_HUMIDITY,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,LOCAL_DAY,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,CLIMATE_IDENTIFIER,MIN_TEMPERATURE,LOCAL_YEAR,MAX_REL_HUMIDITY,LOCAL_DATE,MEAN_TEMPERATURE_FLAG,LOCAL_MONTH,TOTAL_RAIN_FLAG,MEAN_TEMPERATURE,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,MIN_TEMPERATURE_FLAG,SPEED_MAX_GUST,ID,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,PROVINCE_CODE,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS,STATION_NAME
-119.60222222222222,49.463055555555556,0,,,,1,,,1126150,3.9,1941,,1941-04-01 00:00:00,,4,,11.1,,,,18.3,0,,0,,,,,1126150.1941.4.1,,0,BC,,6.9,PENTICTON A
-119.60222222222222,49.463055555555556,6.1,,,,2,,,1126150,6.1,1941,,1941-04-02 00:00:00,,4,,10.3,,,,14.4,6.1,,0,,,,,1126150.1941.4.2,,0,BC,,7.7,PENTICTON A
-119.60222222222222,49.463055555555556,3.6,,,,3,,,1126150,5.6,1941,,1941-04-03 00:00:00,,4,,9.2,,,,12.8,3.6,,0,,,,,1126150.1941.4.3,,0,BC,,8.8,PENTICTON A
-119.60222222222222,49.463055555555556,9.1,,,,4,,,1126150,0.6,1941,,1941-04-04 00:00:00,,4,,4.2,,,,7.8,9.1,,0,,,,,1126150.1941.4.4,,0,BC,,13.8,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,5,,T,1126150,3.9,1941,,1941-04-05 00:00:00,,4,T,9.2,,,,14.4,0,,0,,,,,1126150.1941.4.5,,0,BC,,8.8,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,6,,,1126150,1.7,1941,,1941-04-06 00:00:00,,4,,9.2,,,,16.7,0,,0,,,,,1126150.1941.4.6,,0,BC,,8.8,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,7,,,1126150,2.2,1941,,1941-04-07 00:00:00,,4,,10.3,,,,18.3,0,,0,,,,,1126150.1941.4.7,,0,BC,,7.7,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,8,,,1126150,0.6,1941,,1941-04-08 00:00:00,,4,,9.2,,,,17.8,0,,0,,,,,1126150.1941.4.8,,0,BC,,8.8,PENTICTON A
-119.60222222222222,49.463055555555556,3.6,,,,9,,,1126150,5.6,1941,,1941-04-09 00:00:00,,4,,10.6,,,,15.6,3.6,,0,,,,,1126150.1941.4.9,,0,BC,,7.4,PENTICTON A
-119.60222222222222,49.463055555555556,9.1,,,,10,,,1126150,5,1941,,1941-04-10 00:00:00,,4,,11.1,,,,17.2,9.1,,0,,,,,1126150.1941.4.10,,0,BC,,6.9,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,11,,,1126150,6.7,1941,,1941-04-11 00:00:00,,4,,11.4,,,,16.1,0,,0,,,,,1126150.1941.4.11,,0,BC,,6.6,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,12,,,1126150,1.1,1941,,1941-04-12 00:00:00,,4,,9.7,,,,18.3,0,,0,,,,,1126150.1941.4.12,,0,BC,,8.3,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,13,,,1126150,2.8,1941,,1941-04-13 00:00:00,,4,,10,,,,17.2,0,,0,,,,,1126150.1941.4.13,,0,BC,,8,PENTICTON A
-119.60222222222222,49.463055555555556,1.8,,,,14,,,1126150,-0.6,1941,,1941-04-14 00:00:00,,4,,9.7,,,,20,1.8,,0,,,,,1126150.1941.4.14,,0,BC,,8.3,PENTICTON A
-119.60222222222222,49.463055555555556,0.3,,,,15,,,1126150,8.9,1941,,1941-04-15 00:00:00,,4,,10.3,,,,11.7,0.3,,0,,,,,1126150.1941.4.15,,0,BC,,7.7,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,16,,T,1126150,3.3,1941,,1941-04-16 00:00:00,,4,T,7.8,,,,12.2,0,,0,,,,,1126150.1941.4.16,,0,BC,,10.2,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,17,,,1126150,3.3,1941,,1941-04-17 00:00:00,,4,,9.5,,,,15.6,0,,0,,,,,1126150.1941.4.17,,0,BC,,8.5,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,18,,,1126150,-2.2,1941,,1941-04-18 00:00:00,,4,,7.3,,,,16.7,0,,0,,,,,1126150.1941.4.18,,0,BC,,10.7,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,19,,,1126150,-0.6,1941,,1941-04-19 00:00:00,,4,,9.4,,,,19.4,0,,0,,,,,1126150.1941.4.19,,0,BC,,8.6,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,20,,,1126150,1.1,1941,,1941-04-20 00:00:00,,4,,12,,,,22.8,0,,0,,,,,1126150.1941.4.20,,0,BC,,6,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,21,,,1126150,2.2,1941,,1941-04-21 00:00:00,,4,,13.3,,,,24.4,0,,0,,,,,1126150.1941.4.21,,0,BC,,4.7,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,22,,,1126150,1.1,1941,,1941-04-22 00:00:00,,4,,13.1,,,,25,0,,0,,,,,1126150.1941.4.22,,0,BC,,4.9,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,23,,,1126150,5.6,1941,,1941-04-23 00:00:00,,4,,14.2,,,,22.8,0,,0,,,,,1126150.1941.4.23,,0,BC,,3.8,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,24,,,1126150,0.6,1941,,1941-04-24 00:00:00,,4,,10.6,,,,20.6,0,,0,,,,,1126150.1941.4.24,,0,BC,,7.4,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,25,,,1126150,3.9,1941,,1941-04-25 00:00:00,,4,,12.5,,,,21.1,0,,0,,,,,1126150.1941.4.25,,0,BC,,5.5,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,26,,,1126150,2.2,1941,,1941-04-26 00:00:00,,4,,13.6,,,,25,0,,0,,,,,1126150.1941.4.26,,0,BC,,4.4,PENTICTON A
-119.60222222222222,49.463055555555556,4.1,,,,27,,,1126150,5,1941,,1941-04-27 00:00:00,,4,,13.6,,,,22.2,4.1,,0,,,,,1126150.1941.4.27,,0,BC,,4.4,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,28,,,1126150,3.3,1941,,1941-04-28 00:00:00,,4,,13.9,,,,24.4,0,,0,,,,,1126150.1941.4.28,,0,BC,,4.1,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,29,,T,1126150,5,1941,,1941-04-29 00:00:00,,4,T,12.8,,,,20.6,0,,0,,,,,1126150.1941.4.29,,0,BC,,5.2,PENTICTON A
-119.60222222222222,49.463055555555556,18.8,,,,30,,,1126150,8.9,1941,,1941-04-30 00:00:00,,4,,14.8,,,,20.6,18.8,,0,,,,,1126150.1941.4.30,,0,BC,,3.2,PENTICTON A
-119.60222222222222,49.463055555555556,0.8,,,,1,,,1126150,11.1,1941,,1941-05-01 00:00:00,,5,,15.3,,,,19.4,0.8,,0,,,,,1126150.1941.5.1,,0,BC,,2.7,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,2,,T,1126150,9.4,1941,,1941-05-02 00:00:00,,5,T,14.4,,,,19.4,0,,0,,,,,1126150.1941.5.2,,0,BC,,3.6,PENTICTON A
-119.60222222222222,49.463055555555556,2.8,,,,3,,,1126150,8.3,1941,,1941-05-03 00:00:00,,5,,11.4,,,,14.4,2.8,,0,,,,,1126150.1941.5.3,,0,BC,,6.6,PENTICTON A
-119.60222222222222,49.463055555555556,2,,,,4,,,1126150,2.8,1941,,1941-05-04 00:00:00,,5,,9.8,,,,16.7,2,,0,,,,,1126150.1941.5.4,,0,BC,,8.2,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,5,,T,1126150,6.7,1941,,1941-05-05 00:00:00,,5,T,11.4,,,,16.1,0,,0,,,,,1126150.1941.5.5,,0,BC,,6.6,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,6,,,1126150,6.1,1941,,1941-05-06 00:00:00,,5,,12,,,,17.8,0,,0,,,,,1126150.1941.5.6,,0,BC,,6,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,7,,T,1126150,0,1941,,1941-05-07 00:00:00,,5,T,8.4,,,,16.7,0,,0,,,,,1126150.1941.5.7,,0,BC,,9.6,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,8,,,1126150,5.6,1941,,1941-05-08 00:00:00,,5,,11.7,,,,17.8,0,,0,,,,,1126150.1941.5.8,,0,BC,,6.3,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,9,,,1126150,0,1941,,1941-05-09 00:00:00,,5,,10.6,,,,21.1,0,,0,,,,,1126150.1941.5.9,,0,BC,,7.4,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,10,,,1126150,3.3,1941,,1941-05-10 00:00:00,,5,,11.4,,,,19.4,0,,0,,,,,1126150.1941.5.10,,0,BC,,6.6,PENTICTON A
-119.60222222222222,49.463055555555556,2,,,,11,,,1126150,3.9,1941,,1941-05-11 00:00:00,,5,,14.2,,,,24.4,2,,0,,,,,1126150.1941.5.11,,0,BC,,3.8,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,12,,T,1126150,11.1,1941,,1941-05-12 00:00:00,,5,T,16.4,,,,21.7,0,,0,,,,,1126150.1941.5.12,,0,BC,,1.6,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,13,,,1126150,7.2,1941,,1941-05-13 00:00:00,,5,,14.2,,,,21.1,0,,0,,,,,1126150.1941.5.13,,0,BC,,3.8,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,14,,,1126150,10.6,1941,,1941-05-14 00:00:00,,5,,16.2,,,,21.7,0,,0,,,,,1126150.1941.5.14,,0,BC,,1.8,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,15,,T,1126150,3.3,1941,,1941-05-15 00:00:00,,5,T,11.4,,,,19.4,0,,0,,,,,1126150.1941.5.15,,0,BC,,6.6,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,16,,T,1126150,12.8,1941,,1941-05-16 00:00:00,,5,T,16.1,,,,19.4,0,,0,,,,,1126150.1941.5.16,,0,BC,,1.9,PENTICTON A
-119.60222222222222,49.463055555555556,5.3,,,,17,,,1126150,8.3,1941,,1941-05-17 00:00:00,,5,,13.1,,,,17.8,5.3,,0,,,,,1126150.1941.5.17,,0,BC,,4.9,PENTICTON A
