x,y,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN_FLAG,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,COOLING_DEGREE_DAYS,MAX_TEMPERATURE,TOTAL_SNOW_FLAG,SPEED_MAX_GUST,SNOW_ON_GROUND,MIN_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,CLIMATE_IDENTIFIER,SPEED_MAX_GUST_FLAG,DIRECTION_MAX_GUST_FLAG,STATION_NAME,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN,SNOW_ON_GROUND_FLAG,ID,LOCAL_DATE,MIN_TEMPERATURE_FLAG,LOCAL_MONTH,MIN_REL_HUMIDITY,PROVINCE_CODE,LOCAL_YEAR,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,TOTAL_SNOW,LOCAL_DAY,HEATING_DEGREE_DAYS_FLAG
-119.60222222222222,49.4625,,M,E,-0.8,0,14.7,M,35,,,7,M,1126146,,,PENTICTON A,E,,,1,,,1126146.2012.5.10,2012-05-10 00:00:00,E,5,,BC,2012,11,,,10,E
-119.60222222222222,49.4625,,,,-0.6,0,18.2,,0,,,8.8,,1126146,,,PENTICTON A,,0,,0,0,,1126146.2012.5.11,2012-05-11 00:00:00,,5,,BC,2012,9.2,,0,11,
-119.60222222222222,49.4625,,,,0.2,0,24.3,,37,,,12.3,,1126146,,,PENTICTON A,,0,,17,0,,1126146.2012.5.12,2012-05-12 00:00:00,,5,,BC,2012,5.7,,0,12,
-119.60222222222222,49.4625,,,,5.6,0,27.1,,35,,,16.4,,1126146,,,PENTICTON A,,0,,17,0,,1126146.2012.5.13,2012-05-13 00:00:00,,5,,BC,2012,1.6,,0,13,
-119.60222222222222,49.4625,,,,4.9,0,26.5,,0,,,15.7,,1126146,,,PENTICTON A,,0,,0,0,,1126146.2012.5.14,2012-05-14 00:00:00,,5,,BC,2012,2.3,,0,14,
-119.60222222222222,49.4625,,,,7.4,0.4,29.3,,39,,,18.4,,1126146,,,PENTICTON A,,0,,1,0,,1126146.2012.5.15,2012-05-15 00:00:00,,5,,BC,2012,0,,0,15,
-119.60222222222222,49.4625,,T,,11.1,0,23.1,,50,,,17.1,T,1126146,,,PENTICTON A,,0,,1,0,,1126146.2012.5.16,2012-05-16 00:00:00,,5,,BC,2012,0.9,,0,16,
-119.60222222222222,49.4625,,,,2.8,0,20.3,,69,,,11.6,,1126146,,,PENTICTON A,,0,,36,0,,1126146.2012.5.17,2012-05-17 00:00:00,,5,,BC,2012,6.4,,0,17,
-119.60222222222222,49.4625,,,,9.3,0,20.7,,50,,,15,,1126146,,,PENTICTON A,,0.2,,17,0.2,,1126146.2012.5.20,2012-05-20 00:00:00,,5,,BC,2012,3,,0,20,
-119.60222222222222,49.4625,,,,7.6,0,19.5,,41,,,13.6,,1126146,,,PENTICTON A,,0.4,,27,0.4,,1126146.2012.5.22,2012-05-22 00:00:00,,5,,BC,2012,4.4,,0,22,
-119.60222222222222,49.4625,,,,7.1,0,20,,0,,,13.6,,1126146,,,PENTICTON A,,0.2,,0,0.2,,1126146.2012.5.23,2012-05-23 00:00:00,,5,,BC,2012,4.4,,0,23,
-119.60222222222222,49.4625,,T,,0.4,0,19.6,,35,,,10,T,1126146,,,PENTICTON A,,0,,11,0,,1126146.2012.5.24,2012-05-24 00:00:00,,5,,BC,2012,8,,0,24,
-119.60222222222222,49.4625,,,,4.8,0,25.3,,33,,,15.1,,1126146,,,PENTICTON A,,0,,1,0,,1126146.2012.5.26,2012-05-26 00:00:00,,5,,BC,2012,2.9,,0,26,
-119.60222222222222,49.4625,,,,3.8,0,26.7,,50,,,15.3,,1126146,,,PENTICTON A,,0,,23,0,,1126146.2012.5.27,2012-05-27 00:00:00,,5,,BC,2012,2.7,,0,27,
-119.60222222222222,49.4625,,T,,4.8,0,24.6,,43,,,14.7,T,1126146,,,PENTICTON A,,0,,2,0,,1126146.2012.5.28,2012-05-28 00:00:00,,5,,BC,2012,3.3,,0,28,
-119.60222222222222,49.4625,,T,,11.6,0,20.5,,43,,,16.1,T,1126146,,,PENTICTON A,,0,,3,0,,1126146.2012.5.29,2012-05-29 00:00:00,,5,,BC,2012,1.9,,0,29,
