x,y,MIN_REL_HUMIDITY,MAX_TEMPERATURE,STATION_NAME,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS,TOTAL_SNOW,LOCAL_DAY,DIRECTION_MAX_GUST,MIN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY,ID,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,TOTAL_RAIN_FLAG,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,PROVINCE_CODE,SNOW_ON_GROUND,MIN_TEMPERATURE,SPEED_MAX_GUST,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE,LOCAL_DATE,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN,TOTAL_PRECIPITATION,LOCAL_MONTH
-122.6775,53.88416667,,10.2,PRINCE GEORGE,,0,0,22,0,,,,,1096439.2009.10.22,2009,,,,11.5,,1096439,BC,,2.8,0,,,,,6.5,2009-10-22 0:00,,0,0,10
-122.6775,53.88416667,,10.7,PRINCE GEORGE,,0,0,23,18,,,,,1096439.2009.10.23,2009,,,,10.3,,1096439,BC,,4.6,54,,,,,7.7,2009-10-23 0:00,,6.2,6.2,10
-122.6775,53.88416667,,9,PRINCE GEORGE,,0,0,24,0,,,,,1096439.2009.10.24,2009,,,,13.4,,1096439,BC,,0.1,0,,,,,4.6,2009-10-24 0:00,,0,0,10
-122.6775,53.88416667,,2.7,PRINCE GEORGE,,0,17,25,18,,,,,1096439.2009.10.25,2009,,,,18.5,,1096439,BC,,-3.7,48,,,,,-0.5,2009-10-25 0:00,,0,17,10
-122.6775,53.88416667,,6.8,PRINCE GEORGE,T,0,0,26,19,,,,,1096439.2009.10.26,2009,,,,15.1,,1096439,BC,2,-1,52,,,,,2.9,2009-10-26 0:00,,0.2,0.2,10
-122.6775,53.88416667,,5.5,PRINCE GEORGE,,0,0,27,0,,,,,1096439.2009.10.27,2009,,,,16.1,,1096439,BC,,-1.8,0,,,,,1.9,2009-10-27 0:00,,0,0,10
-122.6775,53.88416667,,3.9,PRINCE GEORGE,,0,0,28,0,,,,,1096439.2009.10.28,2009,,,,18,,1096439,BC,,-3.9,0,,,,,0,2009-10-28 0:00,,0,0,10
-122.6775,53.88416667,,2.4,PRINCE GEORGE,,0,12.1,29,19,,,,,1096439.2009.10.29,2009,,,,17.3,,1096439,BC,1,-1,52,,,,,0.7,2009-10-29 0:00,,0.2,12,10
-122.6775,53.88416667,,9.6,PRINCE GEORGE,,0,0,30,0,,,,,1096439.2009.10.30,2009,,,,13,,1096439,BC,7,0.3,0,,,,,5,2009-10-30 0:00,,30.4,30.4,10
-122.6775,53.88416667,,9.1,PRINCE GEORGE,,0,0,31,0,,,,,1096439.2009.10.31,2009,,,,13.2,,1096439,BC,,0.4,0,,,,,4.8,2009-10-31 0:00,,2.2,2.2,10
-122.6775,53.88416667,,6.4,PRINCE GEORGE,M,0,,1,,,,,,1096439.2009.11.1,2009,,M,,15.3,,1096439,BC,,-1.1,48,,,M,,2.7,2009-11-01 0:00,,,0,11
-122.6775,53.88416667,,6.3,PRINCE GEORGE,M,0,,2,,,,,,1096439.2009.11.2,2009,,M,,15.5,,1096439,BC,,-1.3,57,,,M,,2.5,2009-11-02 0:00,,,0.8,11
-122.6775,53.88416667,,5.4,PRINCE GEORGE,M,0,,3,,,,,,1096439.2009.11.3,2009,,M,,17.8,,1096439,BC,,-5,32,,,M,,0.2,2009-11-03 0:00,,,0,11
-122.6775,53.88416667,,2.4,PRINCE GEORGE,M,0,,4,0,,,,,1096439.2009.11.4,2009,,M,,19.6,,1096439,BC,,-5.6,0,,,,,-1.6,2009-11-04 0:00,,,0,11
-122.6775,53.88416667,,14.7,PRINCE GEORGE,M,0,,5,,,,,,1096439.2009.11.5,2009,,M,,10.1,,1096439,BC,,1,85,,,M,,7.9,2009-11-05 0:00,,,1.8,11
-122.6775,53.88416667,,6.2,PRINCE GEORGE,M,0,,6,,,,,,1096439.2009.11.6,2009,,M,,14.9,,1096439,BC,,-0.1,44,,,M,,3.1,2009-11-06 0:00,,,2.5,11
-122.6775,53.88416667,,4.5,PRINCE GEORGE,M,0,,7,,,,,,1096439.2009.11.7,2009,,M,,16.6,,1096439,BC,,-1.7,43,,,M,,1.4,2009-11-07 0:00,,,0,11
-122.6775,53.88416667,,4.3,PRINCE GEORGE,M,0,,8,,,,,,1096439.2009.11.8,2009,,M,,18.1,,1096439,BC,,-4.5,46,,,M,,-0.1,2009-11-08 0:00,,,0,11
-122.6775,53.88416667,,9.8,PRINCE GEORGE,M,0,,9,,,,,,1096439.2009.11.9,2009,,M,,13.5,,1096439,BC,,-0.9,74,,,M,,4.5,2009-11-09 0:00,,,1.6,11
