x,y,HEATING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE,HEATING_DEGREE_DAYS,LOCAL_DAY,TOTAL_PRECIPITATION,LOCAL_MONTH,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST,ID,MEAN_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,TOTAL_SNOW,STATION_NAME,MIN_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MEAN_TEMPERATURE,SPEED_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,MAX_TEMPERATURE,SNOW_ON_GROUND,MAX_TEMPERATURE_FLAG,TOTAL_SNOW_FLAG,PROVINCE_CODE,LOCAL_DATE,LOCAL_YEAR,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN,COOLING_DEGREE_DAYS,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST_FLAG,DIRECTION_MAX_GUST
-122.67888888888889,53.89083333333333,,6.1,0,1,0,7,,,1096450.1942.7.1,,1096450,0,PRINCE GEORGE A,,,,19.5,,,32.8,,,,BC,1942-07-01 00:00:00,1942,,,,0,1.5,,,
-122.67888888888889,53.89083333333333,,6.1,0,2,0,7,,,1096450.1942.7.2,,1096450,0,PRINCE GEORGE A,,,,18.6,,,31.1,,,,BC,1942-07-02 00:00:00,1942,,,,0,0.6,,,
-122.67888888888889,53.89083333333333,,5.6,0,3,0,7,,,1096450.1942.7.3,,1096450,0,PRINCE GEORGE A,,,,18.1,,,30.6,,,,BC,1942-07-03 00:00:00,1942,,,,0,0.1,,,
-122.67888888888889,53.89083333333333,,8.9,0,4,0,7,,,1096450.1942.7.4,,1096450,0,PRINCE GEORGE A,,,,21.1,,,33.3,,,,BC,1942-07-04 00:00:00,1942,,,,0,3.1,,,
-122.67888888888889,53.89083333333333,,11.1,0,5,0,7,,,1096450.1942.7.5,,1096450,0,PRINCE GEORGE A,,,,18.6,,,26.1,,,,BC,1942-07-05 00:00:00,1942,,,,0,0.6,,,
-122.67888888888889,53.89083333333333,,3.9,2.4,6,0,7,T,,1096450.1942.7.6,,1096450,0,PRINCE GEORGE A,,,,15.6,,,27.2,,,,BC,1942-07-06 00:00:00,1942,,,,0,0,T,,
-122.67888888888889,53.89083333333333,,-0.6,7.7,7,1,7,,,1096450.1942.7.7,,1096450,0,PRINCE GEORGE A,,,,10.3,,,21.1,,,,BC,1942-07-07 00:00:00,1942,,,,1,0,,,
-122.67888888888889,53.89083333333333,,8.9,2.7,8,4.8,7,,,1096450.1942.7.8,,1096450,0,PRINCE GEORGE A,,,,15.3,,,21.7,,,,BC,1942-07-08 00:00:00,1942,,,,4.8,0,,,
-122.67888888888889,53.89083333333333,,7.8,4.4,9,4.1,7,,,1096450.1942.7.9,,1096450,0,PRINCE GEORGE A,,,,13.6,,,19.4,,,,BC,1942-07-09 00:00:00,1942,,,,4.1,0,,,
-122.67888888888889,53.89083333333333,,6.1,3.5,10,1.8,7,,,1096450.1942.7.10,,1096450,0,PRINCE GEORGE A,,,,14.5,,,22.8,,,,BC,1942-07-10 00:00:00,1942,,,,1.8,0,,,
-122.67888888888889,53.89083333333333,,9.4,3.6,11,0.3,7,,,1096450.1942.7.11,,1096450,0,PRINCE GEORGE A,,,,14.4,,,19.4,,,,BC,1942-07-11 00:00:00,1942,,,,0.3,0,,,
-122.67888888888889,53.89083333333333,,8.3,4.1,12,4.8,7,,,1096450.1942.7.12,,1096450,0,PRINCE GEORGE A,,,,13.9,,,19.4,,,,BC,1942-07-12 00:00:00,1942,,,,4.8,0,,,
-122.67888888888889,53.89083333333333,,5.6,4.3,13,3.8,7,,,1096450.1942.7.13,,1096450,0,PRINCE GEORGE A,,,,13.7,,,21.7,,,,BC,1942-07-13 00:00:00,1942,,,,3.8,0,,,
-122.67888888888889,53.89083333333333,,10.6,2.4,14,2,7,,,1096450.1942.7.14,,1096450,0,PRINCE GEORGE A,,,,15.6,,,20.6,,,,BC,1942-07-14 00:00:00,1942,,,,2,0,,,
-122.67888888888889,53.89083333333333,,8.9,3.5,15,5.1,7,,,1096450.1942.7.15,,1096450,0,PRINCE GEORGE A,,,,14.5,,,20,,,,BC,1942-07-15 00:00:00,1942,,,,5.1,0,,,
-122.67888888888889,53.89083333333333,,8.9,3.8,16,0,7,T,,1096450.1942.7.16,,1096450,0,PRINCE GEORGE A,,,,14.2,,,19.4,,,,BC,1942-07-16 00:00:00,1942,,,,0,0,T,,
-122.67888888888889,53.89083333333333,,6.1,4.4,17,9.9,7,,,1096450.1942.7.17,,1096450,0,PRINCE GEORGE A,,,,13.6,,,21.1,,,,BC,1942-07-17 00:00:00,1942,,,,9.9,0,,,
-122.67888888888889,53.89083333333333,,10,0.8,18,0,7,,,1096450.1942.7.18,,1096450,0,PRINCE GEORGE A,,,,17.2,,,24.4,,,,BC,1942-07-18 00:00:00,1942,,,,0,0,,,
-122.67888888888889,53.89083333333333,M,,,19,0,7,,,1096450.1942.7.19,M,1096450,0,PRINCE GEORGE A,,M,,,,,27.2,,,,BC,1942-07-19 00:00:00,1942,,M,,0,,,,
-122.67888888888889,53.89083333333333,M,,,20,0,7,,,1096450.1942.7.20,M,1096450,0,PRINCE GEORGE A,,M,,,,,30,,,,BC,1942-07-20 00:00:00,1942,,M,,0,,,,
-122.67888888888889,53.89083333333333,M,,,21,0,7,T,,1096450.1942.7.21,M,1096450,0,PRINCE GEORGE A,,M,,,,,29.4,,,,BC,1942-07-21 00:00:00,1942,,M,,0,,T,,
-122.67888888888889,53.89083333333333,,4.4,2.7,22,0.3,7,,,1096450.1942.7.22,,1096450,0,PRINCE GEORGE A,,,,15.3,,,26.1,,,,BC,1942-07-22 00:00:00,1942,,,,0.3,0,,,
-122.67888888888889,53.89083333333333,,2.8,4.1,23,0,7,,,1096450.1942.7.23,,1096450,0,PRINCE GEORGE A,,,,13.9,,,25,,,,BC,1942-07-23 00:00:00,1942,,,,0,0,,,
-122.67888888888889,53.89083333333333,,5,4.4,24,0,7,,,1096450.1942.7.24,,1096450,0,PRINCE GEORGE A,,,,13.6,,,22.2,,,,BC,1942-07-24 00:00:00,1942,,,,0,0,,,
-122.67888888888889,53.89083333333333,,10,0,25,0,7,,,1096450.1942.7.25,,1096450,0,PRINCE GEORGE A,,,,18.1,,,26.1,,,,BC,1942-07-25 00:00:00,1942,,,,0,0.1,,,
-122.67888888888889,53.89083333333333,,13.9,0,26,0,7,,,1096450.1942.7.26,,1096450,0,PRINCE GEORGE A,,,,20.6,,,27.2,,,,BC,1942-07-26 00:00:00,1942,,,,0,2.6,,,
-122.67888888888889,53.89083333333333,,5,1.9,27,0,7,T,,1096450.1942.7.27,,1096450,0,PRINCE GEORGE A,,,,16.1,,,27.2,,,,BC,1942-07-27 00:00:00,1942,,,,0,0,T,,
-122.67888888888889,53.89083333333333,,4.4,3,28,1,7,,,1096450.1942.7.28,,1096450,0,PRINCE GEORGE A,,,,15,,,25.6,,,,BC,1942-07-28 00:00:00,1942,,,,1,0,,,
-122.67888888888889,53.89083333333333,,10,2.4,29,0.3,7,,,1096450.1942.7.29,,1096450,0,PRINCE GEORGE A,,,,15.6,,,21.1,,,,BC,1942-07-29 00:00:00,1942,,,,0.3,0,,,
-122.67888888888889,53.89083333333333,,6.7,1.8,30,4.1,7,,,1096450.1942.7.30,,1096450,0,PRINCE GEORGE A,,,,16.2,,,25.6,,,,BC,1942-07-30 00:00:00,1942,,,,4.1,0,,,
-122.67888888888889,53.89083333333333,,9.4,3,31,0,7,T,,1096450.1942.7.31,,1096450,0,PRINCE GEORGE A,,,,15,,,20.6,,,,BC,1942-07-31 00:00:00,1942,,,,0,0,T,,
