x,y,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,ID,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS_FLAG,LOCAL_YEAR,HEATING_DEGREE_DAYS,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN,LOCAL_DAY,MAX_REL_HUMIDITY_FLAG,STATION_NAME,CLIMATE_IDENTIFIER,SNOW_ON_GROUND,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,MIN_TEMPERATURE,LOCAL_MONTH,SPEED_MAX_GUST,TOTAL_PRECIPITATION_FLAG,SNOW_ON_GROUND_FLAG,PROVINCE_CODE,DIRECTION_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,TOTAL_SNOW_FLAG,LOCAL_DATE,TOTAL_SNOW,MIN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MIN_REL_HUMIDITY,SPEED_MAX_GUST_FLAG
-120.4486111111111,50.7025,15.5,,1163781.2013.6.13,1,,,2013,2.5,,11,1,13,,KAMLOOPS A,1163781,,23.2,0,7.8,6,41,,,BC,,,,2013-06-13 00:00:00,0,,,,,
-120.4486111111111,50.7025,17.2,,1163781.2013.6.14,1,,,2013,0.8,,29,1,14,,KAMLOOPS A,1163781,,22.1,0,12.3,6,48,,,BC,,,,2013-06-14 00:00:00,0,,,,,
-120.4486111111111,50.7025,17.7,,1163781.2013.6.15,0,,,2013,0.3,,0,0,15,,KAMLOOPS A,1163781,,26.4,0,9,6,0,,,BC,,,,2013-06-15 00:00:00,0,,,,,
-120.4486111111111,50.7025,20.6,,1163781.2013.6.16,0,,,2013,0,T,17,0,16,,KAMLOOPS A,1163781,,29,2.6,12.1,6,76,T,,BC,,,,2013-06-16 00:00:00,0,,,,,
-120.4486111111111,50.7025,21.2,,1163781.2013.6.17,0.6,,,2013,0,,11,0.6,17,,KAMLOOPS A,1163781,,29.1,3.2,13.2,6,63,,,BC,,,,2013-06-17 00:00:00,0,,,,,
-120.4486111111111,50.7025,18.5,,1163781.2013.6.18,1.8,,,2013,0,,7,1.8,18,,KAMLOOPS A,1163781,,23.3,0.5,13.7,6,44,,,BC,,,,2013-06-18 00:00:00,0,,,,,
-120.4486111111111,50.7025,14.4,,1163781.2013.6.19,12.3,,,2013,3.6,,8,12.3,19,,KAMLOOPS A,1163781,,15.5,0,13.2,6,33,,,BC,,,,2013-06-19 00:00:00,0,,,,,
-120.4486111111111,50.7025,15.2,,1163781.2013.6.20,13,,,2013,2.8,,28,13,20,,KAMLOOPS A,1163781,,18.1,0,12.3,6,43,,,BC,,,,2013-06-20 00:00:00,0,,,,,
-120.4486111111111,50.7025,19.4,,1163781.2013.6.21,0,,,2013,0,T,11,0,21,,KAMLOOPS A,1163781,,25.4,1.4,13.3,6,35,T,,BC,,,,2013-06-21 00:00:00,0,,,,,
-120.4486111111111,50.7025,18.3,,1163781.2013.6.22,1,,,2013,0,,10,1,22,,KAMLOOPS A,1163781,,24,0.3,12.6,6,35,,,BC,,,,2013-06-22 00:00:00,0,,,,,
