x,y,HEATING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE,HEATING_DEGREE_DAYS,LOCAL_DAY,TOTAL_PRECIPITATION,LOCAL_MONTH,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST,ID,MEAN_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,TOTAL_SNOW,STATION_NAME,MIN_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MEAN_TEMPERATURE,SPEED_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,MAX_TEMPERATURE,SNOW_ON_GROUND,MAX_TEMPERATURE_FLAG,TOTAL_SNOW_FLAG,PROVINCE_CODE,LOCAL_DATE,LOCAL_YEAR,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN,COOLING_DEGREE_DAYS,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST_FLAG,DIRECTION_MAX_GUST
-122.67888888888889,53.89083333333333,,-11.7,25.8,16,4.6,11,,32,1096450.1969.11.16,,1096450,6.4,PRINCE GEORGE A,,,77,-7.8,,,-3.9,13,,,BC,1969-11-16 00:00:00,1969,94,,,0,0,,,36
-122.67888888888889,53.89083333333333,,-10.6,23.3,17,1.8,11,,35,1096450.1969.11.17,,1096450,2,PRINCE GEORGE A,,,82,-5.3,,,0,15,,,BC,1969-11-17 00:00:00,1969,95,,,0,0,,,18
-122.67888888888889,53.89083333333333,,-1.7,17.2,18,9.9,11,,55,1096450.1969.11.18,,1096450,7.9,PRINCE GEORGE A,,,80,0.8,,,3.3,18,,,BC,1969-11-18 00:00:00,1969,99,,,4.1,0,,,18
-122.67888888888889,53.89083333333333,,2.2,14.1,19,7.6,11,,61,1096450.1969.11.19,,1096450,0,PRINCE GEORGE A,,,75,3.9,,,5.6,5,,,BC,1969-11-19 00:00:00,1969,95,,,7.6,0,,,18
-122.67888888888889,53.89083333333333,,1.7,13,20,5.8,11,,53,1096450.1969.11.20,,1096450,0,PRINCE GEORGE A,,,49,5,,T,8.3,0,,,BC,1969-11-20 00:00:00,1969,100,,,5.8,0,,,18
-122.67888888888889,53.89083333333333,,3.9,12.4,21,0,11,T,50,1096450.1969.11.21,,1096450,0,PRINCE GEORGE A,,,45,5.6,,,7.2,0,,T,BC,1969-11-21 00:00:00,1969,65,,,0,0,T,,18
-122.67888888888889,53.89083333333333,,2.2,14.1,22,0,11,T,68,1096450.1969.11.22,,1096450,0,PRINCE GEORGE A,,,56,3.9,,,5.6,0,,T,BC,1969-11-22 00:00:00,1969,87,,,0,0,T,,18
-122.67888888888889,53.89083333333333,,0,14.6,23,1,11,,71,1096450.1969.11.23,,1096450,0,PRINCE GEORGE A,,,44,3.4,,,6.7,0,,,BC,1969-11-23 00:00:00,1969,92,,,1,0,,,18
-122.67888888888889,53.89083333333333,,-1.1,17.1,24,0,11,,0,1096450.1969.11.24,,1096450,0,PRINCE GEORGE A,,,60,0.9,,,2.8,0,,,BC,1969-11-24 00:00:00,1969,94,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-4.4,18.6,25,1,11,,32,1096450.1969.11.25,,1096450,2,PRINCE GEORGE A,,,69,-0.6,,T,3.3,0,,,BC,1969-11-25 00:00:00,1969,94,,,0,0,,,18
-122.67888888888889,53.89083333333333,,-3.3,18,26,0,11,,64,1096450.1969.11.26,,1096450,0,PRINCE GEORGE A,,,56,0,,T,3.3,0,,,BC,1969-11-26 00:00:00,1969,87,,,0,0,,,18
-122.67888888888889,53.89083333333333,,0,16.3,27,6.6,11,,51,1096450.1969.11.27,,1096450,1,PRINCE GEORGE A,,,53,1.7,,T,3.3,0,,,BC,1969-11-27 00:00:00,1969,97,,,5.6,0,,,18
-122.67888888888889,53.89083333333333,,0,14.4,28,0,11,T,50,1096450.1969.11.28,,1096450,0,PRINCE GEORGE A,,,52,3.6,,,7.2,0,,,BC,1969-11-28 00:00:00,1969,97,,,0,0,T,,18
-122.67888888888889,53.89083333333333,,2.2,13,29,1.5,11,,63,1096450.1969.11.29,,1096450,0,PRINCE GEORGE A,,,46,5,,,7.8,0,,,BC,1969-11-29 00:00:00,1969,97,,,1.5,0,,,18
-122.67888888888889,53.89083333333333,,5,11.6,30,0,11,,72,1096450.1969.11.30,,1096450,0,PRINCE GEORGE A,,,35,6.4,,,7.8,0,,,BC,1969-11-30 00:00:00,1969,53,,,0,0,,,18
-122.67888888888889,53.89083333333333,,-2.8,16,1,0,12,,0,1096450.1969.12.1,,1096450,0,PRINCE GEORGE A,,,45,2,,,6.7,0,,,BC,1969-12-01 00:00:00,1969,94,,,0,0,,,0
