x,y,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,ID,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS_FLAG,LOCAL_YEAR,HEATING_DEGREE_DAYS,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN,LOCAL_DAY,MAX_REL_HUMIDITY_FLAG,STATION_NAME,CLIMATE_IDENTIFIER,SNOW_ON_GROUND,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,MIN_TEMPERATURE,LOCAL_MONTH,SPEED_MAX_GUST,TOTAL_PRECIPITATION_FLAG,SNOW_ON_GROUND_FLAG,PROVINCE_CODE,DIRECTION_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,TOTAL_SNOW_FLAG,LOCAL_DATE,TOTAL_SNOW,MIN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MIN_REL_HUMIDITY,SPEED_MAX_GUST_FLAG
-122.6775,53.884166666666665,6.5,,1096439.2009.10.22,0,,,2009,11.5,,0,0,22,,PRINCE GEORGE,1096439,,10.2,0,2.8,10,0,,,BC,,,,2009-10-22 00:00:00,0,,,,,
-122.6775,53.884166666666665,7.7,,1096439.2009.10.23,6.2,,,2009,10.3,,18,6.2,23,,PRINCE GEORGE,1096439,,10.7,0,4.6,10,54,,,BC,,,,2009-10-23 00:00:00,0,,,,,
-122.6775,53.884166666666665,4.6,,1096439.2009.10.24,0,,,2009,13.4,,0,0,24,,PRINCE GEORGE,1096439,,9,0,0.1,10,0,,,BC,,,,2009-10-24 00:00:00,0,,,,,
-122.6775,53.884166666666665,-0.5,,1096439.2009.10.25,17,,,2009,18.5,,18,0,25,,PRINCE GEORGE,1096439,,2.7,0,-3.7,10,48,,,BC,,,,2009-10-25 00:00:00,17,,,,,
-122.6775,53.884166666666665,2.9,,1096439.2009.10.26,0.2,,,2009,15.1,,19,0.2,26,,PRINCE GEORGE,1096439,2,6.8,0,-1,10,52,,,BC,,,T,2009-10-26 00:00:00,0,,,,,
-122.6775,53.884166666666665,1.9,,1096439.2009.10.27,0,,,2009,16.1,,0,0,27,,PRINCE GEORGE,1096439,,5.5,0,-1.8,10,0,,,BC,,,,2009-10-27 00:00:00,0,,,,,
-122.6775,53.884166666666665,0,,1096439.2009.10.28,0,,,2009,18,,0,0,28,,PRINCE GEORGE,1096439,,3.9,0,-3.9,10,0,,,BC,,,,2009-10-28 00:00:00,0,,,,,
-122.6775,53.884166666666665,0.7,,1096439.2009.10.29,12,,,2009,17.3,,19,0.2,29,,PRINCE GEORGE,1096439,1,2.4,0,-1,10,52,,,BC,,,,2009-10-29 00:00:00,12.1,,,,,
-122.6775,53.884166666666665,5,,1096439.2009.10.30,30.4,,,2009,13,,0,30.4,30,,PRINCE GEORGE,1096439,7,9.6,0,0.3,10,0,,,BC,,,,2009-10-30 00:00:00,0,,,,,
-122.6775,53.884166666666665,4.8,,1096439.2009.10.31,2.2,,,2009,13.2,,0,2.2,31,,PRINCE GEORGE,1096439,,9.1,0,0.4,10,0,,,BC,,,,2009-10-31 00:00:00,0,,,,,
-122.6775,53.884166666666665,2.7,,1096439.2009.11.1,0,,,2009,15.3,M,,,1,,PRINCE GEORGE,1096439,,6.4,0,-1.1,11,48,,,BC,M,,M,2009-11-01 00:00:00,,,,,,
-122.6775,53.884166666666665,2.5,,1096439.2009.11.2,0.8,,,2009,15.5,M,,,2,,PRINCE GEORGE,1096439,,6.3,0,-1.3,11,57,,,BC,M,,M,2009-11-02 00:00:00,,,,,,
-122.6775,53.884166666666665,0.2,,1096439.2009.11.3,0,,,2009,17.8,M,,,3,,PRINCE GEORGE,1096439,,5.4,0,-5,11,32,,,BC,M,,M,2009-11-03 00:00:00,,,,,,
-122.6775,53.884166666666665,-1.6,,1096439.2009.11.4,0,,,2009,19.6,M,0,,4,,PRINCE GEORGE,1096439,,2.4,0,-5.6,11,0,,,BC,,,M,2009-11-04 00:00:00,,,,,,
-122.6775,53.884166666666665,7.9,,1096439.2009.11.5,1.8,,,2009,10.1,M,,,5,,PRINCE GEORGE,1096439,,14.7,0,1,11,85,,,BC,M,,M,2009-11-05 00:00:00,,,,,,
-122.6775,53.884166666666665,3.1,,1096439.2009.11.6,2.5,,,2009,14.9,M,,,6,,PRINCE GEORGE,1096439,,6.2,0,-0.1,11,44,,,BC,M,,M,2009-11-06 00:00:00,,,,,,
-122.6775,53.884166666666665,1.4,,1096439.2009.11.7,0,,,2009,16.6,M,,,7,,PRINCE GEORGE,1096439,,4.5,0,-1.7,11,43,,,BC,M,,M,2009-11-07 00:00:00,,,,,,
-122.6775,53.884166666666665,-0.1,,1096439.2009.11.8,0,,,2009,18.1,M,,,8,,PRINCE GEORGE,1096439,,4.3,0,-4.5,11,46,,,BC,M,,M,2009-11-08 00:00:00,,,,,,
-122.6775,53.884166666666665,4.5,,1096439.2009.11.9,1.6,,,2009,13.5,M,,,9,,PRINCE GEORGE,1096439,,9.8,0,-0.9,11,74,,,BC,M,,M,2009-11-09 00:00:00,,,,,,
-122.6775,53.884166666666665,-1.2,,1096439.2009.11.10,0,,,2009,19.2,M,,,10,,PRINCE GEORGE,1096439,,2.7,0,-5,11,32,,,BC,M,,M,2009-11-10 00:00:00,,,,,,
-122.6775,53.884166666666665,-1.1,,1096439.2009.11.11,0,,,2009,19.1,M,0,,11,,PRINCE GEORGE,1096439,,3.1,0,-5.2,11,0,,,BC,,,M,2009-11-11 00:00:00,,,,,,
-122.6775,53.884166666666665,-2.8,,1096439.2009.11.12,0,,,2009,20.8,M,,,12,,PRINCE GEORGE,1096439,,1.1,0,-6.7,11,43,,,BC,M,,M,2009-11-12 00:00:00,,,,,,
-122.6775,53.884166666666665,-3.9,,1096439.2009.11.13,0.3,,,2009,21.9,M,,,13,,PRINCE GEORGE,1096439,,1,0,-8.7,11,65,,,BC,M,,M,2009-11-13 00:00:00,,,,,,
