x,y,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY,MAX_TEMPERATURE,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,LOCAL_MONTH,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS,DIRECTION_MAX_GUST,MIN_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,LOCAL_DAY,ID,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,LOCAL_YEAR,STATION_NAME,TOTAL_SNOW_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN,LOCAL_DATE,PROVINCE_CODE,TOTAL_PRECIPITATION_FLAG,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,SNOW_ON_GROUND
-122.8,53.833333333333336,1096436,,13.9,,0,,,,4,5.3,12.7,,-3.3,,19,1096436.1940.4.19,,,1,1940,PRINCE GEORGE,,,1,1940-04-19 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,14.4,,0,,,,4,8.3,9.7,,2.2,,20,1096436.1940.4.20,,,0.5,1940,PRINCE GEORGE,,,0.5,1940-04-20 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,18.9,,0,,,,4,7.5,10.5,,-3.9,,21,1096436.1940.4.21,,,0,1940,PRINCE GEORGE,,,0,1940-04-21 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,17.2,,0,,,,4,7.8,10.2,,-1.7,,22,1096436.1940.4.22,,,0,1940,PRINCE GEORGE,,,0,1940-04-22 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,16.7,,0,,,,4,8.4,9.6,,0,,23,1096436.1940.4.23,,,0,1940,PRINCE GEORGE,,,0,1940-04-23 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,15,,0,,,,4,6.7,11.3,,-1.7,,24,1096436.1940.4.24,,,0,1940,PRINCE GEORGE,,,0,1940-04-24 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,15.6,,0,,,,4,7,11,,-1.7,,25,1096436.1940.4.25,,,0.5,1940,PRINCE GEORGE,,,0.5,1940-04-25 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,11.1,,0,,,,4,6.4,11.6,,1.7,,26,1096436.1940.4.26,,,8.9,1940,PRINCE GEORGE,,,8.9,1940-04-26 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,13.9,,0,,,,4,7.3,10.7,,0.6,,27,1096436.1940.4.27,,,2.5,1940,PRINCE GEORGE,,,2.5,1940-04-27 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,10,,0,,,,4,5.6,12.4,,1.1,,28,1096436.1940.4.28,,,7.1,1940,PRINCE GEORGE,,,7.1,1940-04-28 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,13.3,,0,,,,4,7.5,10.5,,1.7,,29,1096436.1940.4.29,,,0,1940,PRINCE GEORGE,,,0,1940-04-29 0:00,BC,,,,,,,0,
