x,y,LOCAL_YEAR,TOTAL_RAIN,MAX_TEMPERATURE_FLAG,SPEED_MAX_GUST,STATION_NAME,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_MONTH,SNOW_ON_GROUND_FLAG,ID,MIN_TEMPERATURE,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,TOTAL_RAIN_FLAG,COOLING_DEGREE_DAYS,CLIMATE_IDENTIFIER,HEATING_DEGREE_DAYS,LOCAL_DATE,TOTAL_PRECIPITATION,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,LOCAL_DAY,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,MAX_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,TOTAL_SNOW,PROVINCE_CODE
-123.18388888888889,49.194722222222225,2013,0,,33,VANCOUVER INTL A,,,,6,,1108395.2013.6.13,8.9,14.1,,20,,,,,0,1108395,3.9,2013-06-13 00:00:00,0,,,13,,,,19.3,,0,BC
-123.18388888888889,49.194722222222225,2013,0.4,,35,VANCOUVER INTL A,,,,6,,1108395.2013.6.14,11.5,14.9,,12,,,,,0,1108395,3.1,2013-06-14 00:00:00,0.4,,,14,,,,18.3,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,6,,1108395.2013.6.15,7.8,13.9,,0,,,,,0,1108395,4.1,2013-06-15 00:00:00,0,,,15,,,,19.9,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,39,VANCOUVER INTL A,,,,6,,1108395.2013.6.16,13.2,17.8,,20,,,,,0,1108395,0.2,2013-06-16 00:00:00,0,,,16,,,,22.4,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,44,VANCOUVER INTL A,,,,6,,1108395.2013.6.17,14.1,18.5,,21,,,,,0.5,1108395,0,2013-06-17 00:00:00,0,,,17,,,,22.8,,0,BC
-123.18388888888889,49.194722222222225,2013,0.4,,35,VANCOUVER INTL A,,,,6,,1108395.2013.6.18,13,16.5,,22,,,,,0,1108395,1.5,2013-06-18 00:00:00,0.4,,,18,,,,19.9,,0,BC
-123.18388888888889,49.194722222222225,2013,13.4,,39,VANCOUVER INTL A,,,,6,,1108395.2013.6.20,12.5,14.2,,29,,,,,0,1108395,3.8,2013-06-20 00:00:00,13.4,,,20,,,,15.9,,0,BC
-123.18388888888889,49.194722222222225,2013,0.4,,33,VANCOUVER INTL A,,,,6,,1108395.2013.6.21,11.8,15.9,,21,,,,,0,1108395,2.1,2013-06-21 00:00:00,0.4,,,21,,,,20,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,6,,1108395.2013.6.22,13.8,17.9,,0,,,,,0,1108395,0.1,2013-06-22 00:00:00,0,,,22,,,,22,,0,BC
-123.18388888888889,49.194722222222225,2013,14.6,,35,VANCOUVER INTL A,,,,6,,1108395.2013.6.24,14.4,16.2,,18,,,,,0,1108395,1.8,2013-06-24 00:00:00,14.6,,,24,,,,18,,0,BC
-123.18388888888889,49.194722222222225,2013,3.2,,39,VANCOUVER INTL A,,,,6,,1108395.2013.6.25,13.6,16.7,,14,,,,,0,1108395,1.3,2013-06-25 00:00:00,3.2,,,25,,,,19.7,,0,BC
-123.18388888888889,49.194722222222225,2013,3.8,,41,VANCOUVER INTL A,,,,6,,1108395.2013.6.26,13.9,17.3,,13,,,,,0,1108395,0.7,2013-06-26 00:00:00,3.8,,,26,,,,20.6,,0,BC
-123.18388888888889,49.194722222222225,2013,5.6,,32,VANCOUVER INTL A,,,,6,,1108395.2013.6.27,15.4,17.8,,8,,,,,0,1108395,0.2,2013-06-27 00:00:00,5.6,,,27,,,,20.1,,0,BC
-123.18388888888889,49.194722222222225,2013,,,0,VANCOUVER INTL A,,,,6,,1108395.2013.6.28,15.2,17.8,,0,,,,M,0,1108395,0.2,2013-06-28 00:00:00,,,,28,,,M,20.4,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,6,,1108395.2013.6.29,16.5,20.5,,0,,,,,2.5,1108395,0,2013-06-29 00:00:00,0,,,29,,,,24.4,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,6,,1108395.2013.6.30,15.2,23.2,,0,,,,,5.2,1108395,0,2013-06-30 00:00:00,0,,,30,,,,31.2,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,37,VANCOUVER INTL A,,,,7,,1108395.2013.7.1,17,22.5,,21,,,,,4.5,1108395,0,2013-07-01 00:00:00,0,,,1,,,,28,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,32,VANCOUVER INTL A,,,,7,,1108395.2013.7.2,15.4,20.5,,13,,,,,2.5,1108395,0,2013-07-02 00:00:00,0,,,2,,,,25.6,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,37,VANCOUVER INTL A,,,,7,,1108395.2013.7.3,14.9,18.5,,30,,,,,0.5,1108395,0,2013-07-03 00:00:00,0,,,3,,,,22.1,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,37,VANCOUVER INTL A,,,,7,,1108395.2013.7.4,13.1,16.9,,20,,,,,0,1108395,1.1,2013-07-04 00:00:00,0,,,4,,,,20.6,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,33,VANCOUVER INTL A,,,,7,,1108395.2013.7.5,12.7,17.1,,31,,,,,0,1108395,0.9,2013-07-05 00:00:00,0,,,5,,,,21.4,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,41,VANCOUVER INTL A,,,,7,,1108395.2013.7.6,13.9,18.1,,31,,,,,0.1,1108395,0,2013-07-06 00:00:00,0,,,6,,,,22.3,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,33,VANCOUVER INTL A,,,,7,,1108395.2013.7.7,13.9,17.5,,29,,,,,0,1108395,0.5,2013-07-07 00:00:00,0,,,7,,,,21,,0,BC
