x,y,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,TOTAL_RAIN_FLAG,MIN_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_SNOW,ID,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,LOCAL_MONTH,LOCAL_YEAR,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY,MAX_TEMPERATURE,MIN_TEMPERATURE_FLAG,SNOW_ON_GROUND,SPEED_MAX_GUST,LOCAL_DAY,HEATING_DEGREE_DAYS,PROVINCE_CODE,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE,COOLING_DEGREE_DAYS_FLAG,STATION_NAME,MEAN_TEMPERATURE_FLAG,LOCAL_DATE,TOTAL_RAIN,TOTAL_SNOW_FLAG
-123.18194444444444,49.195,,0,,5.7,,0,1108447.1991.10.5,0,56,,0,,10,1991,1108447,100,18,,0,0,5,6.1,BC,,,,,11.9,,VANCOUVER INT'L A,,1991-10-05 00:00:00,0,
-123.18194444444444,49.195,,0,,6.3,,0,1108447.1991.10.6,0,68,,0,,10,1991,1108447,100,15.8,,0,0,6,6.9,BC,,,,,11.1,,VANCOUVER INT'L A,,1991-10-06 00:00:00,0,
-123.18194444444444,49.195,,0,,7.1,,0,1108447.1991.10.7,0,67,,0,,10,1991,1108447,100,15.5,,0,0,7,6.7,BC,,,,,11.3,,VANCOUVER INT'L A,,1991-10-07 00:00:00,0,
-123.18194444444444,49.195,,0,,4.6,,0,1108447.1991.10.8,0,63,,0,,10,1991,1108447,100,16.1,,0,0,8,7.6,BC,,,,,10.4,,VANCOUVER INT'L A,,1991-10-08 00:00:00,0,
-123.18194444444444,49.195,,0,,7.3,,0,1108447.1991.10.9,0,63,,0,,10,1991,1108447,100,17,,0,0,9,5.8,BC,,,,,12.2,,VANCOUVER INT'L A,,1991-10-09 00:00:00,0,
-123.18194444444444,49.195,,0,,9.3,,0,1108447.1991.10.10,0,72,,0,,10,1991,1108447,100,17.8,,0,0,10,4.4,BC,,,,,13.6,,VANCOUVER INT'L A,,1991-10-10 00:00:00,0,
-123.18194444444444,49.195,,0,,8.9,,0,1108447.1991.10.11,0,56,,0,,10,1991,1108447,100,23.7,,0,0,11,1.7,BC,,,,,16.3,,VANCOUVER INT'L A,,1991-10-11 00:00:00,0,
-123.18194444444444,49.195,,0,,9.2,,0,1108447.1991.10.12,28,59,,0,,10,1991,1108447,94,16.3,,0,46,12,5.2,BC,,,,,12.8,,VANCOUVER INT'L A,,1991-10-12 00:00:00,0,
-123.18194444444444,49.195,,0,,6.2,,0,1108447.1991.10.13,0,63,,0,,10,1991,1108447,100,15.9,,0,0,13,6.9,BC,,,,,11.1,,VANCOUVER INT'L A,,1991-10-13 00:00:00,0,
-123.18194444444444,49.195,,0,,7.6,,0,1108447.1991.10.14,0,68,,0,,10,1991,1108447,100,16.6,,0,0,14,5.9,BC,,,,,12.1,,VANCOUVER INT'L A,,1991-10-14 00:00:00,0,
-123.18194444444444,49.195,,0,,7.8,,0,1108447.1991.10.15,0,56,,0,,10,1991,1108447,100,19.7,,0,0,15,4.2,BC,,,,,13.8,,VANCOUVER INT'L A,,1991-10-15 00:00:00,0,
-123.18194444444444,49.195,,0,,7.5,,0,1108447.1991.10.16,28,54,,5.8,,10,1991,1108447,94,15.1,,0,85,16,6.7,BC,,,,,11.3,,VANCOUVER INT'L A,,1991-10-16 00:00:00,5.8,
-123.18194444444444,49.195,,0,,3.2,,0,1108447.1991.10.17,30,58,,0,,10,1991,1108447,87,11.5,,0,32,17,10.6,BC,,,,,7.4,,VANCOUVER INT'L A,,1991-10-17 00:00:00,0,
-123.18194444444444,49.195,,0,,5,,0,1108447.1991.10.18,0,66,,0.2,,10,1991,1108447,87,11.7,,0,0,18,9.6,BC,,,,,8.4,,VANCOUVER INT'L A,,1991-10-18 00:00:00,0.2,
-123.18194444444444,49.195,,0,T,8.7,,0,1108447.1991.10.19,0,72,,0,T,10,1991,1108447,93,13.4,,0,0,19,6.9,BC,,,,,11.1,,VANCOUVER INT'L A,,1991-10-19 00:00:00,0,
-123.18194444444444,49.195,,0,T,8.7,,0,1108447.1991.10.20,0,77,,0,T,10,1991,1108447,93,13.3,,0,0,20,7,BC,,,,,11,,VANCOUVER INT'L A,,1991-10-20 00:00:00,0,
-123.18194444444444,49.195,,0,,8.4,,0,1108447.1991.10.21,28,58,,0.7,,10,1991,1108447,94,13.5,,0,67,21,7,BC,,,,,11,,VANCOUVER INT'L A,,1991-10-21 00:00:00,0.7,
-123.18194444444444,49.195,,0,,3.7,,0,1108447.1991.10.22,0,71,,9.3,,10,1991,1108447,93,10.7,,0,0,22,10.8,BC,,,,,7.2,,VANCOUVER INT'L A,,1991-10-22 00:00:00,9.3,
-123.18194444444444,49.195,,0,T,1.1,,0,1108447.1991.10.23,0,70,,0,T,10,1991,1108447,93,8.8,,0,0,23,13,BC,,,,,5,,VANCOUVER INT'L A,,1991-10-23 00:00:00,0,
-123.18194444444444,49.195,,0,,4.7,,0,1108447.1991.10.24,0,76,,4,,10,1991,1108447,100,9.3,,0,0,24,11,BC,,,,,7,,VANCOUVER INT'L A,,1991-10-24 00:00:00,4,
-123.18194444444444,49.195,,0,,3.8,,0,1108447.1991.10.25,0,76,,0.6,,10,1991,1108447,93,8.3,,0,0,25,11.9,BC,,,,,6.1,,VANCOUVER INT'L A,,1991-10-25 00:00:00,0.6,
-123.18194444444444,49.195,,0,,-0.4,,0,1108447.1991.10.26,0,46,,0,,10,1991,1108447,93,9.1,,0,0,26,13.6,BC,,,,,4.4,,VANCOUVER INT'L A,,1991-10-26 00:00:00,0,
-123.18194444444444,49.195,,0,T,-1.5,,0,1108447.1991.10.27,0,41,,0,T,10,1991,1108447,75,7.7,,0,0,27,14.9,BC,,,,,3.1,,VANCOUVER INT'L A,,1991-10-27 00:00:00,0,
-123.18194444444444,49.195,,0,,-3.5,,2,1108447.1991.10.28,0,44,,2.9,,10,1991,1108447,100,3,,0,0,28,18.3,BC,,,,,-0.3,,VANCOUVER INT'L A,,1991-10-28 00:00:00,0,
-123.18194444444444,49.195,,0,,-4.7,,0,1108447.1991.10.29,0,61,,0,,10,1991,1108447,100,6.5,,1,0,29,17.1,BC,,,,,0.9,,VANCOUVER INT'L A,,1991-10-29 00:00:00,0,
-123.18194444444444,49.195,,0,T,-0.7,,0,1108447.1991.10.30,0,60,,0,T,10,1991,1108447,86,5.7,,0,0,30,15.5,BC,,,,,2.5,,VANCOUVER INT'L A,,1991-10-30 00:00:00,0,
-123.18194444444444,49.195,,0,,3.6,,0,1108447.1991.10.31,0,61,,3.6,,10,1991,1108447,93,5.8,,0,0,31,13.3,BC,,,,,4.7,,VANCOUVER INT'L A,,1991-10-31 00:00:00,3.6,
-123.18194444444444,49.195,,0,,-1,,0,1108447.1991.11.1,0,76,,0,,11,1991,1108447,100,7.5,,0,0,1,14.7,BC,,,,,3.3,,VANCOUVER INT'L A,,1991-11-01 00:00:00,0,
