"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","100200","","","","0"
"1992","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","53300","","","","0"
"1993","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","84900","","","","0"
"1994","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","55500","","","","0"
"1995","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","93600","","","","0"
"1996","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","79500","","","","0"
"1997","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","84900","","","","0"
"1998","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","103400","","","","0"
"1999","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","89300","","","","0"
"2000","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","88800","","","","0"
"2001","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","100700","","","","0"
"2002","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","126300","","","","0"
"2003","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","139300","","","","0"
"2004","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","90400","","","","0"
"2005","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","72100","","","","0"
"2006","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","31400","","","","0"
"2007","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","75100","","","","0"
"2008","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","50900","","","","0"
"2009","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","45700","","","","0"
"2010","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","30200","","","","0"
"2011","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","64200","","","","0"
"2012","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","55800","","","","0"
"2013","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","85800","","","","0"
"2014","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","42700","","","","0"
"2015","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","67500","","","","0"
"2016","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","58800","","","","0"
"2017","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","37600","","","","0"
"2018","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","60400","","","","0"
"2019","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","63000","","","","0"
"2020","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","61800","","","","0"
"2021","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","63289","","","","0"
"2022","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","76964","","","","0"
"2023","British Columbia","2016A000259","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489810","62.10.1","64143","","","","0"
"1991","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","27100","","","","0"
"1992","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","26700","","","","0"
"1993","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","18900","","","","0"
"1994","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","18900","","","","0"
"1995","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","22800","","","","0"
"1996","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","30900","","","","0"
"1997","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","31500","","","","0"
"1998","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","37000","","","","0"
"1999","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","38100","","","","0"
"2000","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","27800","","","","0"
"2001","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","31500","","","","0"
"2002","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","20800","","","","0"
"2003","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","36900","","","","0"
"2004","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","60900","","","","0"
"2005","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","9000","","","","0"
"2006","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","16800","","","","0"
"2007","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","6200","","","","0"
"2008","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","19300","","","","0"
"2009","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","12000","","","","0"
"2010","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","7700","","","","0"
"2011","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","19600","","","","0"
"2012","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","8700","","","","0"
"2013","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","29200","","","","0"
"2014","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","14300","","","","0"
"2015","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","26600","","","","0"
"2016","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","25500","","","","0"
"2017","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","10900","","","","0"
"2018","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","19300","","","","0"
"2019","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","19000","","","","0"
"2020","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","25100","","","","0"
"2021","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","12500","","","","0"
"2022","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","26375","","","","0"
"2023","Non Peace, 1 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489860","63.10.1","15050","","","","0"
"1991","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","73100","","","","0"
"1992","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","26700","","","","0"
"1993","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","66000","","","","0"
"1994","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","36600","","","","0"
"1995","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","70800","","","","0"
"1996","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","48600","","","","0"
"1997","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","53400","","","","0"
"1998","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","66400","","","","0"
"1999","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","51100","","","","0"
"2000","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","61000","","","","0"
"2001","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","69200","","","","0"
"2002","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","105500","","","","0"
"2003","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","102400","","","","0"
"2004","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","29500","","","","0"
"2005","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","63100","","","","0"
"2006","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","14600","","","","0"
"2007","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","68900","","","","0"
"2008","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","31600","","","","0"
"2009","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","33800","","","","0"
"2010","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","22400","","","","0"
"2011","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","44600","","","","0"
"2012","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","47100","","","","0"
"2013","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","56600","","","","0"
"2014","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","28300","","","","0"
"2015","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","40900","","","","0"
"2016","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","33300","","","","0"
"2017","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","26700","","","","0"
"2018","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","41100","","","","0"
"2019","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","43900","","","","0"
"2020","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","36700","","","","0"
"2021","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","50789","","","","0"
"2022","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","50589","","","","0"
"2023","Peace River, 8 - British Columbia","","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v80489910","64.10.1","49093","","","","0"


