"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","British Columbia","2016A000259","Production (metric tonnes)","Canola","Metric tonnes","214","units","0","v80489811","62.10.3","37400","","","","0"
"1992","British Columbia","2016A000259","Production (metric tonnes)","Canola","Metric tonnes","214","units","0","v80489811","62.10.3","32700","","","","0"
"1993","British Columbia","2016A000259","Production (metric tonnes)","Canola","Metric tonnes","214","units","0","v80489811","62.10.3","43100","","","","0"
"1994","British Columbia","2016A000259","Production (metric tonnes)","Canola","Metric tonnes","214","units","0","v80489811","62.10.3","54400","","","","0"
"1995","British Columbia","2016A000259","Production (metric tonnes)","Canola","Metric tonnes","214","units","0","v80489811","62.10.3","61200","","","","0"
"1996","British Columbia","2016A000259","Production (metric tonnes)","Canola","Metric tonnes","214","units","0","v80489811","62.10.3","19100","","","","0"
"1997","British Columbia","2016A000259","Production (metric tonnes)","Canola","Metric tonnes","214","units","0","v80489811","62.10.3","22700","","","","0"
"1998","British Columbia","2016A000259","Production (metric tonnes)","Canola","Metric tonnes","214","units","0","v80489811","62.10.3","61200","","","","0"
"1999","British Columbia","2016A000259","Production (metric tonnes)","Canola","Metric tonnes","214","units","0","v80489811","62.10.3","62400","","","","0"
"2000","British Columbia","2016A000259","Production (metric tonnes)","Canola","Metric tonnes","214","units","0","v80489811","62.10.3","55200","","","","0"
"2001","British Columbia","2016A000259","Production (metric tonnes)","Canola","Metric tonnes","214","units","0","v80489811","62.10.3","34000","","","","0"
"2002","British Columbia","2016A000259","Production (metric tonnes)","Canola","Metric tonnes","214","units","0","v80489811","62.10.3","18100","","","","0"
"2003","British Columbia","2016A000259","Production (metric tonnes)","Canola","Metric tonnes","214","units","0","v80489811","62.10.3","38600","","","","0"
"2004","British Columbia","2016A000259","Production (metric tonnes)","Canola","Metric tonnes","214","units","0","v80489811","62.10.3","43800","","","","0"
"2005","British Columbia","2016A000259","Production (metric tonnes)","Canola","Metric tonnes","214","units","0","v80489811","62.10.3","63500","","","","0"
