"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","43200","","","","0"
"1992","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","38400","","","","0"
"1993","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","32400","","","","0"
"1994","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","26300","","","","0"
"1995","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","28300","","","","0"
"1996","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","44500","","","","0"
"1997","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","38400","","","","0"
"1998","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","40500","","","","0"
"1999","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","34400","","","","0"
"2000","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","34400","","","","0"
"2001","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","36400","","","","0"
"2002","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","54600","","","","0"
"2003","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","46500","","","","0"
"2004","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","38400","","","","0"
"2005","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","36400","","","","0"
"2006","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","24600","","","","0"
"2007","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","34400","","","","0"
"2008","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","32400","","","","0"
"2009","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","26300","","","","0"
"2010","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","24300","","","","0"
"2011","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","26500","","","","0"
"2012","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","28300","","","","0"
"2013","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","26300","","","","0"
"2014","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","21900","","","","0"
"2015","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","24300","","","","0"
"2016","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","23100","","","","0"
"2017","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","17000","","","","0"
"2018","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","20200","","","","0"
"2019","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","25300","","","","0"
"2020","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","29900","","","","0"
"2021","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","30239","","","","0"
"2022","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","26300","","","","0"
"2023","British Columbia","2016A000259","Seeded area (hectares)","Barley","Hectares","149","units","0","v80489773","62.2.1","26700","","","","0"
"1991","British Columbia","2016A000259","Seeded area (hectares)","Canola","Hectares","149","units","0","v80489774","62.2.3","40500","","","","0"
"1992","British Columbia","2016A000259","Seeded area (hectares)","Canola","Hectares","149","units","0","v80489774","62.2.3","44500","","","","0"
"1993","British Columbia","2016A000259","Seeded area (hectares)","Canola","Hectares","149","units","0","v80489774","62.2.3","40500","","","","0"
