"REF_DATE","GEO","DGUID","Estimates","Commodity","Farm area, production, value","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","5868","","","","0"
"2003","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","5868","","","","0"
"2004","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","5666","","","","0"
"2005","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","4654","","","","0"
"2006","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","4209","","","","0"
"2007","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","4654","","","","0"
"2008","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","3845","","","","0"
"2009","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","3794","","","","0"
"2010","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","3550","","","","0"
"2011","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","3904","","","","0"
"2012","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","3907","","","","0"
"2013","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","3910","","","","0"
"2014","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","3914","","","","0"
"2015","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","3917","","","","0"
"2016","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","3921","","","","0"
"2017","British Columbia","2021A000259","Cultivated area, total","Fresh apples [114114111]","Hectares","Hectares","149","units","0","v52151337","13.6.1.8","3845","","","","0"
