REF_DATE,GEO,DGUID,Estimates,Commodity,"Farm area, production, value",UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1926,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,92430,,,,0
1927,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,76612,,,,0
1928,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,103545,,,,0
1929,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,78300,,,,0
1930,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,100890,,,,0
1931,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,79718,,,,0
1932,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,116685,,,,0
1933,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,108248,,,,0
1934,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,121478,,,,0
1935,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,115560,,,,0
1936,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,103882,,,,0
1937,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,130230,,,,0
1938,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,135922,,,,0
1939,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,139388,,,,0
1940,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,133448,,,,0
1941,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,100530,,,,0
1942,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,130432,,,,0
1943,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,98888,,,,0
1944,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,196875,,,,0
