"REF_DATE","GEO","DGUID","Estimates","Commodity","Farm area, production, value","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","British Columbia","2021A000259","Total production","Fresh apples [114114111]","Tons","Tons","291","units","0","v1086224204","13.8.1.4","110349","","","","0"
"2012","British Columbia","2021A000259","Total production","Fresh apples [114114111]","Tons","Tons","291","units","0","v1086224204","13.8.1.4","112239","","","","0"
"2013","British Columbia","2021A000259","Total production","Fresh apples [114114111]","Tons","Tons","291","units","0","v1086224204","13.8.1.4","95217","","","","0"
"2014","British Columbia","2021A000259","Total production","Fresh apples [114114111]","Tons","Tons","291","units","0","v1086224204","13.8.1.4","113396","","","","0"
"2015","British Columbia","2021A000259","Total production","Fresh apples [114114111]","Tons","Tons","291","units","0","v1086224204","13.8.1.4","112039","","","","0"
"2016","British Columbia","2021A000259","Total production","Fresh apples [114114111]","Tons","Tons","291","units","0","v1086224204","13.8.1.4","117753","","","","0"
"2018","British Columbia","2021A000259","Total production","Fresh apples [114114111]","Tons","Tons","291","units","0","v1086224204","13.8.1.4","114755","","","","0"
"2019","British Columbia","2021A000259","Total production","Fresh apples [114114111]","Tons","Tons","291","units","0","v1086224204","13.8.1.4","116398","","","","0"
"2020","British Columbia","2021A000259","Total production","Fresh apples [114114111]","Tons","Tons","291","units","0","v1086224204","13.8.1.4","102326","","","","0"
"2021","British Columbia","2021A000259","Total production","Fresh apples [114114111]","Tons","Tons","291","units","0","v1086224204","13.8.1.4","92616","","","","0"
"2022","British Columbia","2021A000259","Total production","Fresh apples [114114111]","Tons","Tons","291","units","0","v1086224204","13.8.1.4","84289","","","","0"
"2023","British Columbia","2021A000259","Total production","Fresh apples [114114111]","Tons","Tons","291","units","0","v1086224204","13.8.1.4","72352","","","","0"
"2011","British Columbia","2021A000259","Total production","Fresh apricots [114114431]","Tons","Tons","291","units","0","v1086224220","13.8.9.4","444","","","","0"
"2012","British Columbia","2021A000259","Total production","Fresh apricots [114114431]","Tons","Tons","291","units","0","v1086224220","13.8.9.4","714","","","","0"
"2013","British Columbia","2021A000259","Total production","Fresh apricots [114114431]","Tons","Tons","291","units","0","v1086224220","13.8.9.4","476","","","","0"
"2014","British Columbia","2021A000259","Total production","Fresh apricots [114114431]","Tons","Tons","291","units","0","v1086224220","13.8.9.4","903","","","","0"
"2015","British Columbia","2021A000259","Total production","Fresh apricots [114114431]","Tons","Tons","291","units","0","v1086224220","13.8.9.4","1084","","","","0"
"2016","British Columbia","2021A000259","Total production","Fresh apricots [114114431]","Tons","Tons","291","units","0","v1086224220","13.8.9.4","1127","","","","0"
"2018","British Columbia","2021A000259","Total production","Fresh apricots [114114431]","Tons","Tons","291","units","0","v1086224220","13.8.9.4","999","","","","0"
"2019","British Columbia","2021A000259","Total production","Fresh apricots [114114431]","Tons","Tons","291","units","0","v1086224220","13.8.9.4","901","","","","0"
