"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1940","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","400","","","","0"
"1941","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","400","","","","0"
"1942","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","400","","","","0"
"1943","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","410","","","","0"
"1944","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","410","","","","0"
"1945","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","290","","","","0"
"1946","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","300","","","","0"
"1947","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","240","","","","0"
"1948","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","220","","","","0"
"1949","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","300","","","","0"
"1950","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","290","","","","0"
"1951","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","180","","","","0"
"1952","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","190","","","","0"
"1953","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","180","","","","0"
"1954","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","440","","","","0"
"1955","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","460","","","","0"
"1956","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","470","","","","0"
"1957","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","500","","","","0"
