"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1940","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","2800","","","t","0"
"1941","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","2600","","","t","0"
"1942","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","2300","","","t","0"
"1943","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","3000","","","t","0"
"1944","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1600","","","t","0"
"1945","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","2200","","","t","0"
"1946","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1700","","","t","0"
"1947","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","2500","","","t","0"
"1948","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","2800","","","t","0"
"1949","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1700","","","t","0"
"1950","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1300","","","t","0"
"1951","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1800","","","t","0"
"1952","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","2600","","","t","0"
"1953","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","3300","","","t","0"
"1954","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1600","","","t","0"
"1955","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1600","","","t","0"
"1956","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1300","","","t","0"
"1957","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1600","","","t","0"
"1958","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1800","","","t","0"
"1959","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1700","","","t","0"
"1960","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1700","","","t","0"
"1961","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","2300","","","t","0"
"1962","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","2000","","","t","0"
"1963","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1900","","","t","0"
"1964","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1900","","","t","0"
"1965","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","2200","","","t","0"
"1966","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","2500","","","t","0"
"1967","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","2000","","","t","0"
"1968","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1400","","","t","0"
"1969","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1200","","","t","0"
"1970","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1100","","","t","0"
"1971","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1600","","","t","0"
"1972","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1400","","","t","0"
"1973","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1400","","","t","0"
"1974","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1400","","","t","0"
"1975","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1600","","","t","0"
"1976","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1800","","","t","0"
"1977","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1500","","","t","0"
"1978","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1300","","","t","0"
"1979","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1500","","","t","0"
"1980","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1400","","","t","0"
"1981","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1000","","","t","0"
"1982","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1800","","","t","0"
"1983","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1600","","","t","0"
"1984","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","900","","","t","0"
"1985","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1200","","","t","0"
"1986","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","900","","","t","0"
"1987","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","900","","","t","0"
"1988","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1000","","","t","0"
"1989","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1000","","","t","0"
"1990","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","900","","","t","0"
"1991","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","700","","","t","0"
"1992","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1200","","","t","0"
"1993","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1400","","","t","0"
"1994","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1800","","","t","0"
"1995","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1800","","","t","0"
"1996","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1000","","","t","0"
"1997","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1600","","","t","0"
"1998","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1100","","","t","0"
"1999","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1500","","","t","0"
"2000","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh asparagus [114221351]","Pounds","254","units","0","v72843","14.2.1","1700","","","t","0"
