x,y,LOCAL_DAY,PROVINCE_CODE,CLIMATE_IDENTIFIER,MIN_TEMPERATURE_FLAG,ID,TOTAL_PRECIPITATION_FLAG,TOTAL_SNOW,MAX_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_RAIN,DIRECTION_MAX_GUST,MAX_TEMPERATURE,LOCAL_YEAR,TOTAL_PRECIPITATION,LOCAL_DATE,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY,SPEED_MAX_GUST,MEAN_TEMPERATURE,TOTAL_RAIN_FLAG,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,TOTAL_SNOW_FLAG,LOCAL_MONTH,STATION_NAME,MIN_TEMPERATURE,SNOW_ON_GROUND
-122.59694444444445,58.83638888888889,9,BC,1192946,,1192946.2012.11.9,T,0,,,0,0,-9.4,2012,0,2012-11-09 00:00:00,,0,,,33.2,,,0,-15.2,,,,,,T,11,FORT NELSON A,-20.9,27
-122.59694444444445,58.83638888888889,10,BC,1192946,,1192946.2012.11.10,,0,,,0,0,-14,2012,0,2012-11-10 00:00:00,,0,,,37.3,,,0,-19.3,,,,,,,11,FORT NELSON A,-24.6,27
-122.59694444444445,58.83638888888889,12,BC,1192946,,1192946.2012.11.12,,6,,,,0,-8.1,2012,3,2012-11-12 00:00:00,,0,,,28.2,,,0,-10.2,M,,,,,,11,FORT NELSON A,-12.3,27
-122.59694444444445,58.83638888888889,14,BC,1192946,,1192946.2012.11.14,T,0,,,0,32,-11.3,2012,0,2012-11-14 00:00:00,,0,,,35.9,,,35,-17.9,,,,,,T,11,FORT NELSON A,-24.4,31
-122.59694444444445,58.83638888888889,16,BC,1192946,,1192946.2012.11.16,,2,,,0,0,-15.5,2012,2,2012-11-16 00:00:00,,0,,,35.4,,,0,-17.4,,,,,,,11,FORT NELSON A,-19.2,28
-122.59694444444445,58.83638888888889,17,BC,1192946,,1192946.2012.11.17,,10.8,,,0,0,-16.2,2012,6.6,2012-11-17 00:00:00,,0,,,35.2,,,0,-17.2,,,,,,,11,FORT NELSON A,-18.1,29
-122.59694444444445,58.83638888888889,18,BC,1192946,,1192946.2012.11.18,T,0,,,0,0,-17.9,2012,0,2012-11-18 00:00:00,,0,,,38.6,,,0,-20.6,,,,,,T,11,FORT NELSON A,-23.3,39
-122.59694444444445,58.83638888888889,19,BC,1192946,,1192946.2012.11.19,,8.4,,,0,0,-17.2,2012,4.8,2012-11-19 00:00:00,,0,,,36,,,0,-18,,,,,,,11,FORT NELSON A,-18.8,39
-122.59694444444445,58.83638888888889,20,BC,1192946,,1192946.2012.11.20,,1.2,,,0,0,-17.1,2012,0.4,2012-11-20 00:00:00,,0,,,36.5,,,0,-18.5,,,,,,,11,FORT NELSON A,-19.9,44
-122.59694444444445,58.83638888888889,21,BC,1192946,,1192946.2012.11.21,T,0,,,0,0,-19.9,2012,0,2012-11-21 00:00:00,,0,,,43,,,0,-25,,,,,,T,11,FORT NELSON A,-30.1,44
-122.59694444444445,58.83638888888889,22,BC,1192946,,1192946.2012.11.22,T,0,,,0,0,-24.2,2012,0,2012-11-22 00:00:00,,0,,,46.1,,,0,-28.1,,,,,,T,11,FORT NELSON A,-31.9,44
-122.59694444444445,58.83638888888889,23,BC,1192946,,1192946.2012.11.23,,6.4,,,0,31,-18.2,2012,5,2012-11-23 00:00:00,,0,,,39.7,,,32,-21.7,,,,,,,11,FORT NELSON A,-25.1,44
-122.59694444444445,58.83638888888889,24,BC,1192946,,1192946.2012.11.24,,0.4,,,0,0,-17.2,2012,0.2,2012-11-24 00:00:00,,0,,,35.8,,,0,-17.8,,,,,,,11,FORT NELSON A,-18.4,45
-122.59694444444445,58.83638888888889,26,BC,1192946,,1192946.2012.11.26,T,0,,,0,0,-16.5,2012,0,2012-11-26 00:00:00,,0,,,38.7,,,0,-20.7,,,,,,T,11,FORT NELSON A,-24.8,46
-122.59694444444445,58.83638888888889,27,BC,1192946,,1192946.2012.11.27,,1.2,,,0,0,-15.4,2012,0.8,2012-11-27 00:00:00,,0,,,38.9,,,0,-20.9,,,,,,,11,FORT NELSON A,-26.3,46
-122.59694444444445,58.83638888888889,28,BC,1192946,,1192946.2012.11.28,T,0,,,0,0,-17.4,2012,0,2012-11-28 00:00:00,,0,,,39.5,,,0,-21.5,,,,,,T,11,FORT NELSON A,-25.5,47
-122.59694444444445,58.83638888888889,29,BC,1192946,,1192946.2012.11.29,,5.4,,,,0,-23.4,2012,3.6,2012-11-29 00:00:00,,0,,,45.1,,,0,-27.1,M,,,,,,11,FORT NELSON A,-30.7,47
-122.59694444444445,58.83638888888889,30,BC,1192946,,1192946.2012.11.30,,5.2,,,,0,-20.1,2012,4,2012-11-30 00:00:00,,0,,,39.9,,,0,-21.9,M,,,,,,11,FORT NELSON A,-23.7,51
-122.59694444444445,58.83638888888889,1,BC,1192946,,1192946.2012.12.1,,4,,,0,0,-20.8,2012,2.8,2012-12-01 00:00:00,,0,,,40.1,,,0,-22.1,,,,,,,12,FORT NELSON A,-23.4,52
-122.59694444444445,58.83638888888889,2,BC,1192946,,1192946.2012.12.2,,3.6,,,0,0,-21,2012,2.6,2012-12-02 00:00:00,,0,,,40.1,,,0,-22.1,,,,,,,12,FORT NELSON A,-23.1,53
-122.59694444444445,58.83638888888889,5,BC,1192946,,1192946.2012.12.5,T,0.2,,,0,0,-20.5,2012,0,2012-12-05 00:00:00,,0,,,43.3,,,0,-25.3,,,,,,,12,FORT NELSON A,-30,63
-122.59694444444445,58.83638888888889,6,BC,1192946,,1192946.2012.12.6,,0,,,0,0,-27.4,2012,0,2012-12-06 00:00:00,,0,,,48,,,0,-30,,,,,,,12,FORT NELSON A,-32.5,63
-122.59694444444445,58.83638888888889,7,BC,1192946,,1192946.2012.12.7,T,0,,,0,0,-22.9,2012,0,2012-12-07 00:00:00,,0,,,44.9,,,0,-26.9,,,,,,T,12,FORT NELSON A,-30.9,63
-122.59694444444445,58.83638888888889,8,BC,1192946,E,1192946.2012.12.8,M,,,M,,,,2012,,2012-12-08 00:00:00,,,M,,,M,,,,M,,M,M,M,,12,FORT NELSON A,-34.9,63
-122.59694444444445,58.83638888888889,9,BC,1192946,,1192946.2012.12.9,T,0,,,0,0,-21.9,2012,0,2012-12-09 00:00:00,,0,,,46.8,,,0,-28.8,,,,,,T,12,FORT NELSON A,-35.7,63
-122.59694444444445,58.83638888888889,10,BC,1192946,,1192946.2012.12.10,,3.2,,,0,0,-17.5,2012,2,2012-12-10 00:00:00,,0,,,38.7,,,0,-20.7,,,,,,,12,FORT NELSON A,-23.8,64
-122.59694444444445,58.83638888888889,11,BC,1192946,,1192946.2012.12.11,,4,,,0,32,-17.4,2012,2.8,2012-12-11 00:00:00,,0,,,39.9,,,35,-21.9,,,,,,,12,FORT NELSON A,-26.4,61
-122.59694444444445,58.83638888888889,12,BC,1192946,,1192946.2012.12.12,T,0,,,0,0,-22.4,2012,0,2012-12-12 00:00:00,,0,,,43.2,,,0,-25.2,,,,,,T,12,FORT NELSON A,-27.9,56
-122.59694444444445,58.83638888888889,13,BC,1192946,,1192946.2012.12.13,M,0,,,,0,-17.2,2012,,2012-12-13 00:00:00,,0,,,37.8,,,0,-19.8,M,,,,,,12,FORT NELSON A,-22.4,57
