x,y,STATION_NAME,COOLING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,SPEED_MAX_GUST,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_MONTH,COOLING_DEGREE_DAYS,DIRECTION_MAX_GUST,LOCAL_DATE,MIN_REL_HUMIDITY,TOTAL_SNOW,DIRECTION_MAX_GUST_FLAG,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS,LOCAL_YEAR,LOCAL_DAY,TOTAL_RAIN_FLAG,MIN_REL_HUMIDITY_FLAG,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,HEATING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY,ID,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN,SNOW_ON_GROUND,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG
-119.46666666666667,49.9,KELOWNA,,0.6,,,,,3,0,,1899-03-01 00:00:00,,0,,1123930,-1.1,0,,19.1,1899,1,,,,BC,,,1123930.1899.3.1,,0,,-2.8,,
-119.46666666666667,49.9,KELOWNA,,10,,,,,3,0,,1899-03-02 00:00:00,,0,,1123930,2.5,0,,15.5,1899,2,,,,BC,,,1123930.1899.3.2,,0,,-5,,
-119.46666666666667,49.9,KELOWNA,,6.7,,,,,3,0,,1899-03-03 00:00:00,,0,,1123930,1.2,0,,16.8,1899,3,,,,BC,,,1123930.1899.3.3,,0,,-4.4,,
-119.46666666666667,49.9,KELOWNA,,6.1,,,,,3,0,,1899-03-04 00:00:00,,0,,1123930,1.1,0,,16.9,1899,4,,,,BC,,,1123930.1899.3.4,,0,,-3.9,,
-119.46666666666667,49.9,KELOWNA,,10.6,,,,,3,0,,1899-03-05 00:00:00,,0,,1123930,5,0,,13,1899,5,,,,BC,,,1123930.1899.3.5,,0,,-0.6,,
-119.46666666666667,49.9,KELOWNA,,9.4,,,,,3,0,,1899-03-06 00:00:00,,0,,1123930,5,0,,13,1899,6,,,,BC,,,1123930.1899.3.6,,0,,0.6,,
-119.46666666666667,49.9,KELOWNA,,8.3,,,,,3,0,,1899-03-07 00:00:00,,0,,1123930,4.7,0,,13.3,1899,7,,,,BC,,,1123930.1899.3.7,,0,,1.1,,
-119.46666666666667,49.9,KELOWNA,,8.3,,,,,3,0,,1899-03-08 00:00:00,,0,,1123930,4.2,0,,13.8,1899,8,,,,BC,,,1123930.1899.3.8,,0,,0,,
-119.46666666666667,49.9,KELOWNA,,10.6,,,,,3,0,,1899-03-09 00:00:00,,0,,1123930,4.8,0,,13.2,1899,9,,,,BC,,,1123930.1899.3.9,,0,,-1.1,,
-119.46666666666667,49.9,KELOWNA,,8.3,,,,,3,0,,1899-03-10 00:00:00,,0,,1123930,3.9,0,,14.1,1899,10,,,,BC,,,1123930.1899.3.10,,0,,-0.6,,
-119.46666666666667,49.9,KELOWNA,,8.9,,,,,3,0,,1899-03-11 00:00:00,,0,,1123930,4.5,0,,13.5,1899,11,,,,BC,,,1123930.1899.3.11,,0,,0,,
-119.46666666666667,49.9,KELOWNA,,6.7,,,,,3,0,,1899-03-12 00:00:00,,0,,1123930,2,1.3,,16,1899,12,,,,BC,,,1123930.1899.3.12,,1.3,,-2.8,,
-119.46666666666667,49.9,KELOWNA,,7.2,,,,,3,0,,1899-03-13 00:00:00,,0,,1123930,2.5,0,,15.5,1899,13,,,,BC,,,1123930.1899.3.13,,0,,-2.2,,
-119.46666666666667,49.9,KELOWNA,,9.4,,,,,3,0,,1899-03-14 00:00:00,,0,,1123930,2.8,0,,15.2,1899,14,,,,BC,,,1123930.1899.3.14,,0,,-3.9,,
-119.46666666666667,49.9,KELOWNA,,7.8,,,,,3,0,,1899-03-15 00:00:00,,0,,1123930,1.7,0,,16.3,1899,15,,,,BC,,,1123930.1899.3.15,,0,,-4.4,,
-119.46666666666667,49.9,KELOWNA,,6.1,,,,,3,0,,1899-03-16 00:00:00,,0,,1123930,0,0.3,,18,1899,16,,,,BC,,,1123930.1899.3.16,,0.3,,-6.1,,
-119.46666666666667,49.9,KELOWNA,,8.3,,,,,3,0,,1899-03-17 00:00:00,,0,,1123930,2,0,,16,1899,17,,,,BC,,,1123930.1899.3.17,,0,,-4.4,,
-119.46666666666667,49.9,KELOWNA,,8.3,,,,,3,0,,1899-03-18 00:00:00,,0,,1123930,2,0,,16,1899,18,,,,BC,,,1123930.1899.3.18,,0,,-4.4,,
-119.46666666666667,49.9,KELOWNA,,10.6,,,,,3,0,,1899-03-19 00:00:00,,0,,1123930,6.2,0,,11.8,1899,19,,,,BC,,,1123930.1899.3.19,,0,,1.7,,
-119.46666666666667,49.9,KELOWNA,,12.2,,,,,3,0,,1899-03-20 00:00:00,,0,,1123930,5.3,0,,12.7,1899,20,,,,BC,,,1123930.1899.3.20,,0,,-1.7,,
-119.46666666666667,49.9,KELOWNA,,3.9,,,,,3,0,,1899-03-21 00:00:00,,0,,1123930,0,0,,18,1899,21,,,,BC,,,1123930.1899.3.21,,0,,-3.9,,
-119.46666666666667,49.9,KELOWNA,,3.9,,,,,3,0,,1899-03-22 00:00:00,,0,,1123930,-2,0,,20,1899,22,,,,BC,,,1123930.1899.3.22,,0,,-7.8,,
-119.46666666666667,49.9,KELOWNA,,1.7,,,,,3,0,,1899-03-23 00:00:00,,0,,1123930,-2,0,,20,1899,23,,,,BC,,,1123930.1899.3.23,,0,,-5.6,,
-119.46666666666667,49.9,KELOWNA,,10.6,,,,,3,0,,1899-03-24 00:00:00,,0,,1123930,4.2,0,,13.8,1899,24,,,,BC,,,1123930.1899.3.24,,0,,-2.2,,
