x,y,SPEED_MAX_GUST,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_DATE,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,TOTAL_RAIN,STATION_NAME,DIRECTION_MAX_GUST,MEAN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,MAX_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,HEATING_DEGREE_DAYS,LOCAL_DAY,MIN_TEMPERATURE_FLAG,ID,LOCAL_MONTH,TOTAL_SNOW_FLAG,PROVINCE_CODE,TOTAL_SNOW,LOCAL_YEAR,COOLING_DEGREE_DAYS_FLAG,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION,SNOW_ON_GROUND
-119.4666667,49.88333333,,,,,1961-08-02 0:00,5.1,,,,,0,KELOWNA BOWES STREET,,,,34.4,,0,2,,1123975.1961.8.2,8,,BC,0,1961,,,,23.1,11.7,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-03 0:00,6.5,,,,,0,KELOWNA BOWES STREET,,,,35,,0,3,,1123975.1961.8.3,8,,BC,0,1961,,,,24.5,13.9,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-04 0:00,5.4,,,,,0,KELOWNA BOWES STREET,,,,35,,0,4,,1123975.1961.8.4,8,,BC,0,1961,,,,23.4,11.7,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-05 0:00,7.3,,,,,0,KELOWNA BOWES STREET,,,,29.4,,0,5,,1123975.1961.8.5,8,,BC,0,1961,,,,25.3,21.1,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-06 0:00,2,,,,,0,KELOWNA BOWES STREET,,,,30,,0,6,,1123975.1961.8.6,8,,BC,0,1961,,,,20,10,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-07 0:00,3.7,,,,,0,KELOWNA BOWES STREET,,,,31.1,,0,7,,1123975.1961.8.7,8,,BC,0,1961,,,,21.7,12.2,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-08 0:00,3.7,,,,,0,KELOWNA BOWES STREET,,,,30,,0,8,,1123975.1961.8.8,8,,BC,0,1961,,,,21.7,13.3,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-09 0:00,1.7,,,,,0,KELOWNA BOWES STREET,,,,28.3,,0,9,,1123975.1961.8.9,8,,BC,0,1961,,,,19.7,11.1,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-10 0:00,1.2,,,,,0,KELOWNA BOWES STREET,,,,30,,0,10,,1123975.1961.8.10,8,,BC,0,1961,,,,19.2,8.3,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-11 0:00,2.3,,,,,0,KELOWNA BOWES STREET,,,,31.1,,0,11,,1123975.1961.8.11,8,,BC,0,1961,,,,20.3,9.4,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-12 0:00,2,,,,,0,KELOWNA BOWES STREET,,,,30,,0,12,,1123975.1961.8.12,8,,BC,0,1961,,,,20,10,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-13 0:00,5.4,,,,,0,KELOWNA BOWES STREET,,,,32.8,,0,13,,1123975.1961.8.13,8,,BC,0,1961,,,,23.4,13.9,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-14 0:00,6.5,,,,,0,KELOWNA BOWES STREET,,,,35.6,,0,14,,1123975.1961.8.14,8,,BC,0,1961,,,,24.5,13.3,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-15 0:00,4.8,,,,,11.7,KELOWNA BOWES STREET,,,,30.6,,0,15,,1123975.1961.8.15,8,,BC,0,1961,,,,22.8,15,1123975,11.7,
-119.4666667,49.88333333,,,,,1961-08-16 0:00,1.7,,,,,3.3,KELOWNA BOWES STREET,,,,22.2,,0,16,,1123975.1961.8.16,8,,BC,0,1961,,,,19.7,17.2,1123975,3.3,
-119.4666667,49.88333333,,,,,1961-08-17 0:00,2.3,,,,,0.8,KELOWNA BOWES STREET,,,,26.1,,0,17,,1123975.1961.8.17,8,,BC,0,1961,,,,20.3,14.4,1123975,0.8,
-119.4666667,49.88333333,,,,,1961-08-18 0:00,3.4,,,,,0,KELOWNA BOWES STREET,,,,28.3,,0,18,,1123975.1961.8.18,8,,BC,0,1961,,,,21.4,14.4,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-19 0:00,4,,,,,0,KELOWNA BOWES STREET,,,T,31.1,,0,19,,1123975.1961.8.19,8,,BC,0,1961,,T,,22,12.8,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-20 0:00,5.1,,,,,0,KELOWNA BOWES STREET,,,,30.6,,0,20,,1123975.1961.8.20,8,,BC,0,1961,,,,23.1,15.6,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-21 0:00,4.8,,,,,0,KELOWNA BOWES STREET,,,,31.7,,0,21,,1123975.1961.8.21,8,,BC,0,1961,,,,22.8,13.9,1123975,0,
-119.4666667,49.88333333,,,,,1961-08-22 0:00,4.5,,,,,0,KELOWNA BOWES STREET,,,,31.7,,0,22,,1123975.1961.8.22,8,,BC,0,1961,,,,22.5,13.3,1123975,0,
