x,y,SPEED_MAX_GUST,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_DATE,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,TOTAL_RAIN,STATION_NAME,DIRECTION_MAX_GUST,MEAN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,MAX_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,HEATING_DEGREE_DAYS,LOCAL_DAY,MIN_TEMPERATURE_FLAG,ID,LOCAL_MONTH,TOTAL_SNOW_FLAG,PROVINCE_CODE,TOTAL_SNOW,LOCAL_YEAR,COOLING_DEGREE_DAYS_FLAG,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION,SNOW_ON_GROUND
-119.3777778,49.95611111,0,81,,,2005-01-21 0:00,0,88,,,,,KELOWNA AWOS,0,,,3.2,,17.3,21,,1123965.2005.1.21,1,M,BC,,2005,,M,,0.7,-1.8,1123965,0,
-119.3777778,49.95611111,0,79,,,2005-01-22 0:00,0,89,,,,,KELOWNA AWOS,0,,,4.9,,15.4,22,,1123965.2005.1.22,1,M,BC,,2005,,M,,2.6,0.2,1123965,0,
-119.3777778,49.95611111,0,70,,,2005-01-23 0:00,0,82,,,,,KELOWNA AWOS,0,,,6.5,,13.8,23,,1123965.2005.1.23,1,M,BC,,2005,,M,,4.2,1.9,1123965,0,
-119.3777778,49.95611111,0,68,,,2005-01-24 0:00,0,82,,,,,KELOWNA AWOS,0,,,6.5,,14.4,24,,1123965.2005.1.24,1,M,BC,,2005,,M,,3.6,0.7,1123965,0,
-119.3777778,49.95611111,0,77,,,2005-01-25 0:00,0,88,,,,,KELOWNA AWOS,0,,,4.2,,15.8,25,,1123965.2005.1.25,1,M,BC,,2005,,M,,2.2,0.2,1123965,0.5,
-119.3777778,49.95611111,0,81,,,2005-01-26 0:00,0,88,,,,,KELOWNA AWOS,0,,,2.2,,16.8,26,,1123965.2005.1.26,1,M,BC,,2005,,M,,1.2,0.2,1123965,0,
-119.3777778,49.95611111,0,72,,,2005-01-27 0:00,0,86,,,,,KELOWNA AWOS,0,,,5.9,,15.3,27,,1123965.2005.1.27,1,M,BC,,2005,,M,,2.7,-0.5,1123965,0,
-119.3777778,49.95611111,0,74,,,2005-01-28 0:00,0,85,,,,,KELOWNA AWOS,0,,,4.6,,15.5,28,,1123965.2005.1.28,1,M,BC,,2005,,M,,2.5,0.4,1123965,0,
-119.3777778,49.95611111,0,67,,,2005-01-29 0:00,0,86,,,,,KELOWNA AWOS,0,,,7.9,,14,29,,1123965.2005.1.29,1,M,BC,,2005,,M,,4,0,1123965,2,
-119.3777778,49.95611111,0,70,,,2005-01-30 0:00,0,79,,,,,KELOWNA AWOS,0,,,5.6,,15.2,30,,1123965.2005.1.30,1,M,BC,,2005,,M,,2.8,0,1123965,0.5,
-119.3777778,49.95611111,0,44,,,2005-01-31 0:00,0,81,,,,,KELOWNA AWOS,0,,,10.8,,11.4,31,,1123965.2005.1.31,1,M,BC,,2005,,M,,6.6,2.3,1123965,0.5,
-119.3777778,49.95611111,0,41,,,2005-02-11 0:00,0,81,,,,,KELOWNA AWOS,0,,,7.7,,17.5,11,,1123965.2005.2.11,2,M,BC,,2005,,M,,0.5,-6.8,1123965,1,
-119.3777778,49.95611111,0,49,,,2005-02-12 0:00,0,79,,,,,KELOWNA AWOS,0,,,5,,19.3,12,,1123965.2005.2.12,2,M,BC,,2005,,M,,-1.3,-7.5,1123965,0.5,
-119.3777778,49.95611111,48,32,,,2005-02-13 0:00,0,78,,,,,KELOWNA AWOS,22,,,6.8,,16.2,13,,1123965.2005.2.13,2,M,BC,,2005,,M,,1.8,-3.3,1123965,0.5,
-119.3777778,49.95611111,0,32,,,2005-02-14 0:00,0,76,,,,,KELOWNA AWOS,0,,,3.9,,19.2,14,,1123965.2005.2.14,2,M,BC,,2005,,M,,-1.2,-6.3,1123965,0,
-119.3777778,49.95611111,0,39,,,2005-02-15 0:00,0,73,,,,,KELOWNA AWOS,0,,,2.1,,22,15,,1123965.2005.2.15,2,M,BC,,2005,,M,,-4,-10.1,1123965,0.5,
-119.3777778,49.95611111,0,39,,,2005-02-16 0:00,0,77,,,,,KELOWNA AWOS,0,,,2.3,,22.9,16,,1123965.2005.2.16,2,M,BC,,2005,,M,,-4.9,-12.1,1123965,0.5,
-119.3777778,49.95611111,0,43,,,2005-02-17 0:00,0,77,,,,,KELOWNA AWOS,0,,,2.4,,22.9,17,,1123965.2005.2.17,2,M,BC,,2005,,M,,-4.9,-12.1,1123965,0.5,
-119.3777778,49.95611111,0,48,,,2005-02-18 0:00,0,77,,,,,KELOWNA AWOS,0,,,2.3,,23.2,18,,1123965.2005.2.18,2,M,BC,,2005,,M,,-5.2,-12.7,1123965,0.5,
-119.3777778,49.95611111,0,50,,,2005-02-19 0:00,0,77,,,,,KELOWNA AWOS,0,,,2.3,,22.9,19,,1123965.2005.2.19,2,M,BC,,2005,,M,,-4.9,-12.1,1123965,0.5,
-119.3777778,49.95611111,0,45,,,2005-02-20 0:00,0,78,,,,,KELOWNA AWOS,0,,,3.4,,20.4,20,,1123965.2005.2.20,2,M,BC,,2005,,M,,-2.4,-8.2,1123965,0,
