x,y,HEATING_DEGREE_DAYS,LOCAL_DATE,LOCAL_DAY,ID,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN_FLAG,SPEED_MAX_GUST_FLAG,TOTAL_SNOW_FLAG,TOTAL_SNOW,STATION_NAME,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY_FLAG,LOCAL_YEAR,MAX_TEMPERATURE_FLAG,SNOW_ON_GROUND,PROVINCE_CODE,MEAN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY,MIN_TEMPERATURE,LOCAL_MONTH,COOLING_DEGREE_DAYS,MAX_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,CLIMATE_IDENTIFIER
-119.4002111111111,49.94075,15.5,2013-12-16 00:00:00,16,1123996.2013.12.16,,M,M,M,,KELOWNA UBCO,0,,2013,,,BC,2.5,,,,,,,0.2,12,0,4.8,,M,,,,,1123996
-119.4002111111111,49.94075,16.5,2013-12-17 00:00:00,17,1123996.2013.12.17,,M,M,M,,KELOWNA UBCO,0,,2013,,1,BC,1.5,,,,,,,-0.7,12,0,3.7,,M,,,,,1123996
-119.4002111111111,49.94075,17.8,2013-12-18 00:00:00,18,1123996.2013.12.18,,M,M,M,,KELOWNA UBCO,0.6,,2013,,0,BC,0.2,,,,,,,-2.7,12,0,3,,M,T,,,,1123996
-119.4002111111111,49.94075,23.7,2013-12-19 00:00:00,19,1123996.2013.12.19,,M,M,M,,KELOWNA UBCO,0,,2013,,1,BC,-5.7,,,,,,,-10,12,0,-1.3,,M,,,,,1123996
-119.4002111111111,49.94075,24.4,2013-12-20 00:00:00,20,1123996.2013.12.20,,M,M,M,,KELOWNA UBCO,2.2,,2013,,1,BC,-6.4,,,,,,,-8.4,12,0,-4.3,,M,,,,,1123996
-119.4002111111111,49.94075,21.2,2013-12-21 00:00:00,21,1123996.2013.12.21,,M,M,M,,KELOWNA UBCO,0,,2013,,2,BC,-3.2,,,,,,,-5.2,12,0,-1.1,,M,,,,,1123996
-119.4002111111111,49.94075,19.5,2013-12-22 00:00:00,22,1123996.2013.12.22,,M,M,M,,KELOWNA UBCO,0,,2013,,3,BC,-1.5,,,,,,,-2.9,12,0,-0.1,,M,,,,,1123996
-119.4002111111111,49.94075,17.1,2013-12-23 00:00:00,23,1123996.2013.12.23,,M,M,M,,KELOWNA UBCO,1,,2013,,3,BC,0.9,,,,,,,-0.8,12,0,2.5,,M,,,,,1123996
-119.4002111111111,49.94075,18.2,2013-12-24 00:00:00,24,1123996.2013.12.24,,M,M,M,,KELOWNA UBCO,0,,2013,,3,BC,-0.2,,,,,,,-4.5,12,0,4.1,,M,,,,,1123996
-119.4002111111111,49.94075,20.1,2013-12-25 00:00:00,25,1123996.2013.12.25,T,M,M,M,,KELOWNA UBCO,0,,2013,,3,BC,-2.1,,,,,,,-4.6,12,0,0.4,,M,,,,,1123996
-119.4002111111111,49.94075,16.7,2013-12-26 00:00:00,26,1123996.2013.12.26,,M,M,M,,KELOWNA UBCO,1.3,,2013,,3,BC,1.3,,,,,,,0.1,12,0,2.4,,M,,,,,1123996
-119.4002111111111,49.94075,17.5,2013-12-27 00:00:00,27,1123996.2013.12.27,,M,M,M,,KELOWNA UBCO,1.4,,2013,,2,BC,0.5,,,,,,,-1.1,12,0,2.1,,M,,,,,1123996
-119.4002111111111,49.94075,16.6,2013-12-28 00:00:00,28,1123996.2013.12.28,T,M,M,M,,KELOWNA UBCO,0,,2013,,3,BC,1.4,,,,,,,-2.2,12,0,4.9,,M,,,,,1123996
-119.4002111111111,49.94075,18.8,2013-12-29 00:00:00,29,1123996.2013.12.29,,M,M,M,,KELOWNA UBCO,1.6,,2013,,3,BC,-0.8,,,,,,,-2.2,12,0,0.6,,M,,,,,1123996
-119.4002111111111,49.94075,18.2,2013-12-30 00:00:00,30,1123996.2013.12.30,,M,M,M,,KELOWNA UBCO,0,,2013,,7,BC,-0.2,,,,,,,-2.2,12,0,1.8,,M,,,,,1123996
-119.4002111111111,49.94075,17.9,2013-12-31 00:00:00,31,1123996.2013.12.31,,M,M,M,,KELOWNA UBCO,0,,2013,,6,BC,0.1,,,,,,,-4,12,0,4.2,,M,,,,,1123996
-119.4002111111111,49.94075,20.2,2014-01-01 00:00:00,1,1123996.2014.1.1,,M,M,M,,KELOWNA UBCO,0,,2014,,6,BC,-2.2,,,,,,,-4.3,1,0,0,,M,,,,,1123996
-119.4002111111111,49.94075,16.7,2014-01-02 00:00:00,2,1123996.2014.1.2,,M,M,M,,KELOWNA UBCO,0.2,,2014,,6,BC,1.3,,,,,,,-0.8,1,0,3.3,,M,,,,,1123996
