x,y,MEAN_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND,MAX_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_DATE,MIN_REL_HUMIDITY,MAX_TEMPERATURE,LOCAL_DAY,MIN_TEMPERATURE,ID,MAX_REL_HUMIDITY,SPEED_MAX_GUST,STATION_NAME,CLIMATE_IDENTIFIER,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,TOTAL_RAIN,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,MIN_REL_HUMIDITY_FLAG,LOCAL_YEAR,TOTAL_SNOW,MAX_REL_HUMIDITY_FLAG,LOCAL_MONTH,TOTAL_RAIN_FLAG
-119.37777777777778,49.95722222222222,15.4,M,,,,2009-09-03 00:00:00,,20.7,3,10,1123939.2009.9.3,,56,KELOWNA,1123939,,2.6,,,,,6.5,M,0,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,14.5,,,,,2009-09-04 00:00:00,,22.5,4,6.4,1123939.2009.9.4,,0,KELOWNA,1123939,,3.5,,0,,,0,M,0,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,16.1,M,,,,2009-09-05 00:00:00,,19.5,5,12.6,1123939.2009.9.5,,44,KELOWNA,1123939,,1.9,,,,,0,M,0,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,14.6,M,,,,2009-09-06 00:00:00,,19.2,6,9.9,1123939.2009.9.6,,59,KELOWNA,1123939,,3.4,,,,,5.5,M,0,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,14.1,M,,,,2009-09-07 00:00:00,,18.1,7,10.1,1123939.2009.9.7,,35,KELOWNA,1123939,,3.9,,,,,0.5,M,0,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,12.1,,,,,2009-09-08 00:00:00,,21.2,8,2.9,1123939.2009.9.8,,0,KELOWNA,1123939,,5.9,,0,,,0,M,0,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,15.2,M,,,,2009-09-09 00:00:00,,19.3,9,11.1,1123939.2009.9.9,,35,KELOWNA,1123939,,2.8,,,,,0.3,M,0,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,14.6,,,,,2009-09-10 00:00:00,,22.6,10,6.5,1123939.2009.9.10,,0,KELOWNA,1123939,,3.4,,0,,,0,M,0,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,14.2,,,,,2009-09-11 00:00:00,,24.4,11,4,1123939.2009.9.11,,0,KELOWNA,1123939,,3.8,,0,,,0,M,0,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,17.4,,,,,2009-09-13 00:00:00,,27.4,13,7.3,1123939.2009.9.13,,0,KELOWNA,1123939,,0.6,,0,,,0,M,0,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,19.6,,,,,2009-09-14 00:00:00,,29.9,14,9.2,1123939.2009.9.14,,0,KELOWNA,1123939,,0,,0,,,0,M,1.6,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,18.9,,,,,2009-09-15 00:00:00,,27.2,15,10.6,1123939.2009.9.15,,0,KELOWNA,1123939,,0,,0,,,0,M,0.9,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,17.8,,,,,2009-09-16 00:00:00,,28.4,16,7.1,1123939.2009.9.16,,0,KELOWNA,1123939,,0.2,,0,,,0,M,0,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,17,,,,,2009-09-17 00:00:00,,24.8,17,9.1,1123939.2009.9.17,,0,KELOWNA,1123939,,1,,0,,,0,M,0,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,17.7,,,,,2009-09-18 00:00:00,,26.3,18,9.1,1123939.2009.9.18,,0,KELOWNA,1123939,,0.3,,0,,,0,M,0,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,15.5,M,,,,2009-09-19 00:00:00,,23.3,19,7.7,1123939.2009.9.19,,44,KELOWNA,1123939,,2.5,,,,,0.8,M,0,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,13.1,,,,,2009-09-20 00:00:00,,20.2,20,6,1123939.2009.9.20,,0,KELOWNA,1123939,,4.9,,0,,,0,M,0,,,,BC,,2009,,,9,M
-119.37777777777778,49.95722222222222,11.5,,,,,2009-09-21 00:00:00,,21.9,21,1,1123939.2009.9.21,,0,KELOWNA,1123939,,6.5,,0,,,0,M,0,,,,BC,,2009,,,9,M
