x,y,DIRECTION_MAX_GUST_FLAG,DIRECTION_MAX_GUST,PROVINCE_CODE,TOTAL_SNOW_FLAG,MIN_REL_HUMIDITY,TOTAL_PRECIPITATION_FLAG,MEAN_TEMPERATURE,SPEED_MAX_GUST,MIN_TEMPERATURE,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,LOCAL_YEAR,MIN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,TOTAL_RAIN_FLAG,SNOW_ON_GROUND,LOCAL_DATE,LOCAL_MONTH,STATION_NAME,MEAN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,ID,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS_FLAG,TOTAL_RAIN,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS,TOTAL_SNOW,MAX_REL_HUMIDITY_FLAG,MIN_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,LOCAL_DAY,MAX_TEMPERATURE
-123.18388888888889,49.194722222222225,,20,BC,,,,14.1,33,8.9,,3.9,2013,,,,,2013-06-13 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.13,0,,0,,0,0,,,1108395,13,19.3
-123.18388888888889,49.194722222222225,,12,BC,,,,14.9,35,11.5,,3.1,2013,,,,,2013-06-14 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.14,0.4,,0.4,,0,0,,,1108395,14,18.3
-123.18388888888889,49.194722222222225,,0,BC,,,,13.9,0,7.8,,4.1,2013,,,,,2013-06-15 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.15,0,,0,,0,0,,,1108395,15,19.9
-123.18388888888889,49.194722222222225,,20,BC,,,,17.8,39,13.2,,0.2,2013,,,,,2013-06-16 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.16,0,,0,,0,0,,,1108395,16,22.4
-123.18388888888889,49.194722222222225,,21,BC,,,,18.5,44,14.1,,0,2013,,,,,2013-06-17 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.17,0,,0,,0.5,0,,,1108395,17,22.8
-123.18388888888889,49.194722222222225,,22,BC,,,,16.5,35,13,,1.5,2013,,,,,2013-06-18 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.18,0.4,,0.4,,0,0,,,1108395,18,19.9
-123.18388888888889,49.194722222222225,,29,BC,,,,14.2,39,12.5,,3.8,2013,,,,,2013-06-20 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.20,13.4,,13.4,,0,0,,,1108395,20,15.9
-123.18388888888889,49.194722222222225,,21,BC,,,,15.9,33,11.8,,2.1,2013,,,,,2013-06-21 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.21,0.4,,0.4,,0,0,,,1108395,21,20
-123.18388888888889,49.194722222222225,,0,BC,,,,17.9,0,13.8,,0.1,2013,,,,,2013-06-22 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.22,0,,0,,0,0,,,1108395,22,22
-123.18388888888889,49.194722222222225,,18,BC,,,,16.2,35,14.4,,1.8,2013,,,,,2013-06-24 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.24,14.6,,14.6,,0,0,,,1108395,24,18
-123.18388888888889,49.194722222222225,,14,BC,,,,16.7,39,13.6,,1.3,2013,,,,,2013-06-25 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.25,3.2,,3.2,,0,0,,,1108395,25,19.7
-123.18388888888889,49.194722222222225,,13,BC,,,,17.3,41,13.9,,0.7,2013,,,,,2013-06-26 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.26,3.8,,3.8,,0,0,,,1108395,26,20.6
-123.18388888888889,49.194722222222225,,8,BC,,,,17.8,32,15.4,,0.2,2013,,,,,2013-06-27 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.27,5.6,,5.6,,0,0,,,1108395,27,20.1
-123.18388888888889,49.194722222222225,,0,BC,,,M,17.8,0,15.2,,0.2,2013,,,M,,2013-06-28 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.28,,,,,0,0,,,1108395,28,20.4
-123.18388888888889,49.194722222222225,,0,BC,,,,20.5,0,16.5,,0,2013,,,,,2013-06-29 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.29,0,,0,,2.5,0,,,1108395,29,24.4
-123.18388888888889,49.194722222222225,,0,BC,,,,23.2,0,15.2,,0,2013,,,,,2013-06-30 00:00:00,6,VANCOUVER INTL A,,,,1108395.2013.6.30,0,,0,,5.2,0,,,1108395,30,31.2
-123.18388888888889,49.194722222222225,,21,BC,,,,22.5,37,17,,0,2013,,,,,2013-07-01 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.1,0,,0,,4.5,0,,,1108395,1,28
-123.18388888888889,49.194722222222225,,13,BC,,,,20.5,32,15.4,,0,2013,,,,,2013-07-02 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.2,0,,0,,2.5,0,,,1108395,2,25.6
-123.18388888888889,49.194722222222225,,30,BC,,,,18.5,37,14.9,,0,2013,,,,,2013-07-03 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.3,0,,0,,0.5,0,,,1108395,3,22.1
-123.18388888888889,49.194722222222225,,20,BC,,,,16.9,37,13.1,,1.1,2013,,,,,2013-07-04 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.4,0,,0,,0,0,,,1108395,4,20.6
-123.18388888888889,49.194722222222225,,31,BC,,,,17.1,33,12.7,,0.9,2013,,,,,2013-07-05 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.5,0,,0,,0,0,,,1108395,5,21.4
-123.18388888888889,49.194722222222225,,31,BC,,,,18.1,41,13.9,,0,2013,,,,,2013-07-06 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.6,0,,0,,0.1,0,,,1108395,6,22.3
-123.18388888888889,49.194722222222225,,29,BC,,,,17.5,33,13.9,,0.5,2013,,,,,2013-07-07 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.7,0,,0,,0,0,,,1108395,7,21
-123.18388888888889,49.194722222222225,,0,BC,,,,17.5,0,13.7,,0.5,2013,,,,,2013-07-08 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.8,0,,0,,0,0,,,1108395,8,21.3
-123.18388888888889,49.194722222222225,,0,BC,,,,19.1,0,14.2,,0,2013,,,,,2013-07-09 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.9,0,,0,,1.1,0,,,1108395,9,24
-123.18388888888889,49.194722222222225,,21,BC,,,,18.8,37,14.1,,0,2013,,,,,2013-07-10 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.10,0,,0,,0.8,0,,,1108395,10,23.4
-123.18388888888889,49.194722222222225,,24,BC,,,,16.5,39,13.1,,1.5,2013,,,,,2013-07-11 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.11,0,,0,,0,0,,,1108395,11,19.8
-123.18388888888889,49.194722222222225,,20,BC,,,,16,32,11.4,,2,2013,,,,,2013-07-12 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.12,0,,0,,0,0,,,1108395,12,20.5
-123.18388888888889,49.194722222222225,,22,BC,,,,16.4,32,11.6,,1.6,2013,,,,,2013-07-13 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.13,0,,0,,0,0,,,1108395,13,21.1
-123.18388888888889,49.194722222222225,,29,BC,,,,17.3,41,11.8,,0.7,2013,,,,,2013-07-14 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.14,0,,0,,0,0,,,1108395,14,22.8
-123.18388888888889,49.194722222222225,,29,BC,,,,19.7,41,15.6,,0,2013,,,,,2013-07-15 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.15,0,,0,,1.7,0,,,1108395,15,23.8
-123.18388888888889,49.194722222222225,,30,BC,,,,18.9,37,13.8,,0,2013,,,,,2013-07-16 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.16,0,,0,,0.9,0,,,1108395,16,24
-123.18388888888889,49.194722222222225,,15,BC,,,,20.4,48,17,,0,2013,,,,,2013-07-17 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.17,0,,0,,2.4,0,,,1108395,17,23.7
-123.18388888888889,49.194722222222225,,0,BC,,,,18.4,0,14.6,,0,2013,,,,,2013-07-18 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.18,0,,0,,0.4,0,,,1108395,18,22.2
-123.18388888888889,49.194722222222225,,0,BC,,,,18.3,0,14.4,,0,2013,,,,,2013-07-19 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.19,0,,0,,0.3,0,,,1108395,19,22.1
-123.18388888888889,49.194722222222225,,21,BC,,,,18.5,39,13.9,,0,2013,,,,,2013-07-20 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.20,0,,0,,0.5,0,,,1108395,20,23.1
-123.18388888888889,49.194722222222225,,21,BC,,,,16.9,33,12.4,,1.1,2013,,,,,2013-07-21 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.21,0,,0,,0,0,,,1108395,21,21.4
-123.18388888888889,49.194722222222225,,22,BC,,,,18.3,33,13.6,,0,2013,,,,,2013-07-22 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.22,0,,0,,0.3,0,,,1108395,22,22.9
-123.18388888888889,49.194722222222225,,21,BC,,,,18.9,32,14.1,,0,2013,,,,,2013-07-23 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.23,0,,0,,0.9,0,,,1108395,23,23.7
-123.18388888888889,49.194722222222225,,0,BC,,,,18.9,0,14,,0,2013,,,,,2013-07-24 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.24,0,,0,,0.9,0,,,1108395,24,23.8
-123.18388888888889,49.194722222222225,,0,BC,,,,18.2,0,12.8,,0,2013,,,,,2013-07-25 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.25,0,,0,,0.2,0,,,1108395,25,23.5
-123.18388888888889,49.194722222222225,,29,BC,,,,18.2,48,14.1,,0,2013,,,,,2013-07-26 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.26,0,,0,,0.2,0,,,1108395,26,22.2
-123.18388888888889,49.194722222222225,,30,BC,,,,18.2,50,15.3,,0,2013,,,,,2013-07-27 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.27,0,,0,,0.2,0,,,1108395,27,21.1
-123.18388888888889,49.194722222222225,,30,BC,,,,17,33,13,,1,2013,,,,,2013-07-28 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.28,0,,0,,0,0,,,1108395,28,20.9
-123.18388888888889,49.194722222222225,,20,BC,,,,17.9,35,13.6,,0.1,2013,,,,,2013-07-29 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.29,0,,0,,0,0,,,1108395,29,22.1
-123.18388888888889,49.194722222222225,,20,BC,,,,18.8,37,14.5,,0,2013,,,,,2013-07-30 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.30,0,,0,,0.8,0,,,1108395,30,23
-123.18388888888889,49.194722222222225,,20,BC,,,,19.2,35,14.5,,0,2013,,,,,2013-07-31 00:00:00,7,VANCOUVER INTL A,,,,1108395.2013.7.31,0,,0,,1.2,0,,,1108395,31,23.8
-123.18388888888889,49.194722222222225,,13,BC,,,,17.9,33,14.2,,0.1,2013,,,,,2013-08-01 00:00:00,8,VANCOUVER INTL A,,,,1108395.2013.8.1,0.6,,0.6,,0,0,,,1108395,1,21.5
-123.18388888888889,49.194722222222225,,11,BC,,,,16.5,33,14.5,,1.5,2013,,,,,2013-08-02 00:00:00,8,VANCOUVER INTL A,,,,1108395.2013.8.2,5.6,,5.6,,0,0,,,1108395,2,18.4
-123.18388888888889,49.194722222222225,,0,BC,,,,18.7,0,15.3,,0,2013,,,,,2013-08-03 00:00:00,8,VANCOUVER INTL A,,,,1108395.2013.8.3,0.8,,0.8,,0.7,0,,,1108395,3,22
-123.18388888888889,49.194722222222225,,0,BC,,,,18.7,0,14.5,,0,2013,,,,,2013-08-04 00:00:00,8,VANCOUVER INTL A,,,,1108395.2013.8.4,0,,0,,0.7,0,,,1108395,4,22.9
-123.18388888888889,49.194722222222225,,0,BC,,,,18.8,0,14.2,,0,2013,,,,,2013-08-05 00:00:00,8,VANCOUVER INTL A,,,,1108395.2013.8.5,0,,0,,0.8,0,,,1108395,5,23.4
-123.18388888888889,49.194722222222225,,0,BC,,,,18.7,0,13.6,,0,2013,,,,,2013-08-06 00:00:00,8,VANCOUVER INTL A,,,,1108395.2013.8.6,0,,0,,0.7,0,,,1108395,6,23.8
-123.18388888888889,49.194722222222225,,21,BC,,,,19.6,33,14.4,,0,2013,,,,,2013-08-07 00:00:00,8,VANCOUVER INTL A,,,,1108395.2013.8.7,0,,0,,1.6,0,,,1108395,7,24.8
-123.18388888888889,49.194722222222225,,21,BC,,,,19.2,41,14.2,,0,2013,,,,,2013-08-08 00:00:00,8,VANCOUVER INTL A,,,,1108395.2013.8.8,0,,0,,1.2,0,,,1108395,8,24.1
-123.18388888888889,49.194722222222225,,0,BC,,,,18.9,0,13.7,,0,2013,,,,,2013-08-09 00:00:00,8,VANCOUVER INTL A,,,,1108395.2013.8.9,0,,0,,0.9,0,,,1108395,9,24.1
