         begin        end starttemp endtemp year month
1   1937-03-03 1937-03-05      14.4    14.4 1937     3
2   1937-10-27 1937-10-29      15.6    17.2 1937    10
3   1937-11-20 1937-11-22      11.7    12.8 1937    11
4   1937-12-11 1937-12-14      11.1    12.8 1937    12
5   1938-05-19 1938-05-24      20.6    23.3 1938     5
6   1939-03-21 1939-03-23      17.8    14.4 1939     3
7   1939-05-12 1939-05-14      21.7    24.4 1939     5
8   1939-11-20 1939-11-24      12.8    15.0 1939    11
9   1939-11-30 1939-12-05      12.8    13.3 1939    11
10  1939-12-14 1939-12-17      11.1    10.6 1939    12
11  1939-12-31 1940-01-02      10.0    11.1 1939    12
12  1940-01-27 1940-01-29      10.6    13.3 1940     1
13  1940-04-09 1940-04-13      15.6    17.8 1940     4
14  1940-05-21 1940-05-23      21.7    21.7 1940     5
15  1940-10-17 1940-10-21      16.7    15.6 1940    10
16  1940-12-18 1940-12-21      11.7    13.9 1940    12
17  1941-01-26 1941-01-28      11.1    13.9 1941     1
18  1941-02-03 1941-02-06      14.4    12.2 1941     2
19  1941-03-26 1941-03-31      16.7    16.1 1941     3
20  1941-04-25 1941-04-27      18.3    18.9 1941     4
21  1941-07-14 1941-07-18      26.7    27.2 1941     7
22  1941-11-08 1941-11-11      13.9    13.9 1941    11
23  1942-06-29 1942-07-04      24.4    25.6 1942     6
24  1942-08-14 1942-08-16      27.8    27.2 1942     8
25  1942-12-14 1942-12-16      10.6    12.8 1942    12
26  1943-04-11 1943-04-15      16.1    16.7 1943     4
27  1944-04-02 1944-04-05      20.0    15.0 1944     4
28  1944-09-08 1944-09-11      23.9    28.9 1944     9
29  1944-10-28 1944-10-30      15.6    15.0 1944    10
30  1945-01-07 1945-01-10      13.3    12.8 1945     1
31  1945-07-07 1945-07-13      25.6    26.1 1945     7
32  1945-12-02 1945-12-04      11.1    11.1 1945    12
33  1947-04-13 1947-04-16      15.6    22.8 1947     4
34  1947-05-23 1947-05-27      23.3    24.4 1947     5
35  1947-12-25 1947-12-27      10.6    10.6 1947    12
36  1949-05-07 1949-05-11      18.9    22.2 1949     5
37  1949-09-04 1949-09-09      25.6    23.9 1949     9
38  1949-11-02 1949-11-04      16.7    16.1 1949    11
39  1949-11-24 1949-11-27      13.3    12.8 1949    11
40  1950-07-03 1950-07-05      24.4    25.0 1950     7
41  1950-08-18 1950-08-21      25.6    25.0 1950     8
42  1950-11-24 1950-11-27      11.7    11.1 1950    11
43  1950-12-19 1950-12-24      10.6    12.2 1950    12
44  1951-06-28 1951-06-30      25.6    25.0 1951     6
45  1951-07-10 1951-07-12      26.7    30.0 1951     7
46  1951-09-14 1951-09-16      23.9    23.9 1951     9
47  1951-10-07 1951-10-10      18.3    17.8 1951    10
48  1952-04-16 1952-04-18      16.1    17.8 1952     4
49  1952-07-09 1952-07-11      25.6    26.1 1952     7
50  1952-09-21 1952-09-24      23.3    22.2 1952     9
51  1952-10-05 1952-10-07      18.9    18.9 1952    10
52  1952-10-19 1952-10-21      16.7    15.6 1952    10
53  1952-12-12 1952-12-14      12.8    10.6 1952    12
54  1953-05-03 1953-05-06      18.9    21.1 1953     5
55  1953-10-06 1953-10-08      20.6    19.4 1953    10
56  1953-11-10 1953-11-12      13.9    14.4 1953    11
57  1956-04-19 1956-04-21      16.7    20.0 1956     4
58  1956-04-24 1956-04-26      17.8    17.8 1956     4
59  1956-05-15 1956-05-19      21.1    23.3 1956     5
60  1956-07-18 1956-07-20      26.7    29.4 1956     7
61  1956-08-20 1956-08-22      25.6    29.4 1956     8
62  1957-05-03 1957-05-08      18.9    20.0 1957     5
63  1957-05-29 1957-05-31      22.8    22.8 1957     5
64  1957-09-13 1957-09-15      22.8    22.8 1957     9
65  1958-02-18 1958-02-21      14.4    12.8 1958     2
66  1958-05-17 1958-05-27      21.1    23.9 1958     5
67  1958-06-16 1958-06-23      25.0    26.1 1958     6
68  1958-07-02 1958-07-07      25.0    27.2 1958     7
69  1958-07-14 1958-07-17      26.1    27.2 1958     7
70  1958-07-27 1958-07-29      28.3    26.1 1958     7
71  1958-08-20 1958-08-22      25.0    25.0 1958     8
72  1958-11-29 1958-12-03      11.7    11.7 1958    11
73  1959-01-08 1959-01-11      11.7    10.6 1959     1
74  1959-04-08 1959-04-10      15.6    18.9 1959     4
75  1960-01-28 1960-02-01      10.6    11.7 1960     1
76  1960-07-15 1960-07-18      27.2    25.6 1960     7
77  1960-08-07 1960-08-09      26.7    33.3 1960     8
78  1961-01-09 1961-01-11      10.0    12.2 1961     1
79  1961-05-17 1961-05-19      21.1    25.6 1961     5
80  1961-06-01 1961-06-03      23.3    23.9 1961     6
81  1961-07-11 1961-07-13      26.1    31.7 1961     7
82  1961-10-13 1961-10-15      21.7    18.9 1961    10
83  1962-04-17 1962-04-19      17.8    17.2 1962     4
84  1962-06-23 1962-06-25      25.6    25.0 1962     6
85  1962-12-14 1962-12-16      13.3    10.6 1962    12
86  1962-12-30 1963-01-02      10.0    10.0 1962    12
87  1963-02-03 1963-02-08      13.3    14.4 1963     2
88  1963-05-18 1963-05-21      23.9    28.9 1963     5
89  1963-12-22 1963-12-24      10.6    13.3 1963    12
90  1963-12-30 1964-01-01      11.1    10.0 1963    12
91  1965-07-29 1965-08-01      27.8    27.8 1965     7
92  1966-03-28 1966-03-30      16.1    16.1 1966     3
93  1966-04-04 1966-04-07      15.6    17.2 1966     4
94  1966-12-16 1966-12-19      10.6    11.7 1966    12
95  1967-06-16 1967-06-19      23.9    27.8 1967     6
96  1967-08-09 1967-08-11      27.2    26.7 1967     8
97  1967-08-15 1967-08-17      27.2    27.8 1967     8
98  1967-08-26 1967-08-30      25.6    24.4 1967     8
99  1967-09-03 1967-09-05      25.6    23.9 1967     9
100 1968-01-13 1968-01-15      11.1    10.6 1968     1
101 1968-01-20 1968-01-24      14.4    10.6 1968     1
102 1968-02-27 1968-03-01      13.3    13.3 1968     2
103 1968-03-20 1968-03-22      13.9    15.0 1968     3
104 1968-05-17 1968-05-19      21.7    22.2 1968     5
105 1968-07-01 1968-07-03      25.0    25.6 1968     7
106 1968-10-27 1968-10-29      17.8    16.7 1968    10
107 1968-11-19 1968-11-21      15.6    12.2 1968    11
108 1969-06-14 1969-06-18      25.0    28.9 1969     6
109 1970-06-01 1970-06-03      28.3    26.7 1970     6
110 1971-08-08 1971-08-10      27.8    28.3 1971     8
111 1972-03-16 1972-03-18      16.7    13.9 1972     3
112 1972-07-03 1972-07-05      26.7    26.7 1972     7
113 1972-12-18 1972-12-20      11.1    10.6 1972    12
114 1973-05-12 1973-05-17      20.6    22.2 1973     5
115 1974-01-14 1974-01-16      11.1    11.1 1974     1
116 1974-08-28 1974-08-30      25.6    26.7 1974     8
117 1974-09-01 1974-09-03      25.0    25.6 1974     9
118 1974-09-20 1974-09-24      23.9    23.9 1974     9
119 1974-10-15 1974-10-19      19.4    16.7 1974    10
120 1975-07-04 1975-07-08      25.0    25.6 1975     7
121 1975-11-03 1975-11-05      15.0    13.9 1975    11
122 1976-04-28 1976-05-01      21.7    18.9 1976     4
