"begin","end","starttemp","endtemp","avgexc","year","month"
1937-03-08,1937-03-10,15,15,0.757,1937,3
1937-06-05,1937-06-07,27.8,28.9,1.82,1937,6
1937-10-09,1937-10-14,22.2,22.2,1.547,1937,10
1937-10-27,1937-10-29,17.8,17.2,1.1,1937,10
1937-12-28,1937-12-30,12.2,12.8,2.567,1937,12
1938-02-25,1938-03-01,16.1,18.9,3.754,1938,2
1938-05-18,1938-05-24,24.4,26.7,2.626,1938,5
1938-09-12,1938-09-14,27.2,33.9,3.227,1938,9
1938-10-18,1938-10-22,21.1,21.7,2.822,1938,10
1938-12-31,1939-01-02,12.8,12.2,2.707,1938,12
1939-03-21,1939-03-23,22.2,18.3,4.813,1939,3
1939-05-11,1939-05-14,26.1,30,4.75,1939,5
1939-08-19,1939-08-22,32.8,30,3.137,1939,8
1939-10-30,1939-11-01,20,16.1,2.2,1939,10
1939-11-17,1939-11-26,13.9,15,1.986,1939,11
1939-11-29,1939-12-05,13.9,16.7,3.821,1939,11
1939-12-07,1939-12-11,15.6,15,3.558,1939,12
1939-12-14,1939-12-17,13.3,11.7,3.425,1939,12
1940-01-28,1940-01-31,11.1,15,2.82,1940,1
1940-03-23,1940-03-25,18.9,17.2,1.027,1940,3
1940-06-09,1940-06-11,26.7,28.9,1.333,1940,6
1940-09-09,1940-09-11,32.2,30,2.663,1940,9
1940-09-22,1940-09-24,28.3,27.8,3.1,1940,9
1940-10-17,1940-10-20,21.1,19.4,1.367,1940,10
1940-12-02,1940-12-05,13.3,11.1,1.812,1940,12
1941-01-10,1941-01-12,11.1,11.7,1.063,1941,1
1941-01-28,1941-01-30,12.8,13.9,2.86,1941,1
1941-02-01,1941-02-09,15,12.8,2.053,1941,2
1941-02-15,1941-02-19,13.9,14.4,1.874,1941,2
1941-03-09,1941-03-12,17.8,19.4,4.812,1941,3
1941-03-14,1941-03-16,16.7,16.1,1.053,1941,3
1941-03-24,1941-03-31,17.8,23.3,3.805,1941,3
1941-04-18,1941-04-22,19.4,25.6,2.098,1941,4
1941-04-25,1941-04-28,26.1,22.8,3.69,1941,4
1941-07-13,1941-07-18,33.3,33.3,5.715,1941,7
1941-10-22,1941-10-24,18.9,23.3,3.333,1941,10
1941-11-05,1941-11-11,16.7,15.6,1.52,1941,11
1941-11-23,1941-11-26,13.9,13.9,1.498,1941,11
1941-11-29,1941-12-02,18.3,15.6,4.898,1941,11
1942-03-28,1942-03-31,17.8,21.7,3.268,1942,3
1942-06-29,1942-07-04,30.6,29.4,6.515,1942,6
1942-08-21,1942-08-23,32.2,29.4,3.353,1942,8
1942-09-21,1942-09-25,30,28.9,3.438,1942,9
1942-11-11,1942-11-13,14.4,13.9,0.9,1942,11
1942-12-14,1942-12-16,11.1,13.9,1.633,1942,12
1943-04-11,1943-04-14,22.8,23.3,5.02,1943,4
1943-09-07,1943-09-10,30,28.3,2.267,1943,9
1943-10-06,1943-10-08,27.8,25.6,4.9,1943,10
1943-11-19,1943-11-22,14.4,15,2.325,1943,11
1943-11-24,1943-11-26,16.7,12.8,2.563,1943,11
1944-04-01,1944-04-03,20.6,18.3,3.613,1944,4
1944-05-02,1944-05-04,24.4,26.1,3.333,1944,5
1944-06-08,1944-06-10,31.7,27.2,4.363,1944,6
1944-09-04,1944-09-11,30.6,30.6,4.03,1944,9
1944-10-17,1944-10-20,20.6,21.1,1.518,1944,10
1944-10-25,1944-10-29,20,18.3,2.304,1944,10
1945-10-07,1945-10-10,23.3,21.7,1.37,1945,10
1946-05-01,1946-05-03,23.9,29.4,4.997,1946,5
1947-03-13,1947-03-20,16.7,16.7,3.88,1947,3
1947-04-12,1947-04-16,20.6,26.1,4.316,1947,4
1947-05-23,1947-05-26,28.9,31.7,4.512,1947,5
1947-09-21,1947-09-24,26.7,26.7,1.65,1947,9
1948-06-06,1948-06-09,29.4,29.4,2.67,1948,6
1949-02-25,1949-02-28,14.4,17.2,1.47,1949,2
1949-05-06,1949-05-08,23.3,26.1,2.43,1949,5
1949-05-10,1949-05-12,24.4,25,1.5,1949,5
1949-09-03,1949-09-07,30.6,30.6,2.852,1949,9
1949-09-25,1949-09-27,27.8,28.9,2.553,1949,9
1949-10-31,1949-11-05,18.9,20,4.153,1949,10
1949-11-14,1949-11-16,13.3,13.9,1.16,1949,11
1949-11-18,1949-11-22,13.3,13.3,1.378,1949,11
1949-11-24,1949-11-26,15.6,14.4,2.53,1949,11
1950-08-18,1950-08-20,30,30,1.497,1950,8
