"yrmon","max_consec"
193701,0
193702,0
193703,4
193704,4
193705,11
193706,8
193707,28
193708,7
193709,11
193710,13
193711,4
193712,9
193801,7
193802,8
193803,8
193804,7
193805,18
193806,15
193807,21
193808,14
193809,8
193810,10
193811,9
193812,10
193901,3
193902,6
193903,5
193904,10
193905,13
193906,7
193907,36
193908,24
193909,17
193910,6
193911,6
193912,6
194001,8
194002,2
194003,7
194004,7
194005,5
194006,27
194007,14
194008,11
194009,8
194010,8
194011,8
194012,9
194101,5
194102,11
194103,9
194104,13
194105,7
194106,24
194107,19
194108,10
194109,5
194110,8
194111,6
194112,15
194201,6
194202,15
194203,6
194204,10
194205,8
194206,19
194207,38
194208,24
194209,13
194210,11
194211,5
194212,3
194301,6
194302,21
194303,11
194304,8
194305,5
194306,10
194307,20
194308,10
194309,15
194310,5
194311,11
194312,15
194401,6
194402,7
194403,10
194404,8
194405,7
194406,10
194407,13
194408,25
194409,11
194410,16
194412,21
194501,13
194502,8
194503,5
194504,9
194505,8
194506,20
194507,19
194508,16
194509,20
194510,14
194511,4
194512,9
194601,5
194602,6
194603,5
194604,22
194605,20
194606,6
194607,15
194608,22
194609,13
194610,10
194611,6
194612,4
194701,4
194702,7
194703,8
194704,8
194705,11
194706,12
194707,10
194708,20
194709,14
194710,3
194711,4
194712,3
194801,10
194802,3
194803,7
194804,4
194805,12
194806,12
194807,10
194808,6
194809,11
194810,12
194811,5
194812,5
194901,9
194902,12
194903,6
194904,8
194905,15
194906,15
194907,14
194908,33
194909,14
194910,10
194911,6
194912,2
195001,7
195002,2
195003,2
195004,3
195005,23
195006,20
195007,8
195008,27
195009,22
195010,4
195011,6
195012,2
195101,6
195102,6
195103,20
195104,18
195105,8
195106,19
195107,39
195108,12
195109,16
195110,4
195111,6
195112,4
195201,6
195202,8
195203,4
195204,6
195205,9
195206,6
195207,30
195208,22
195209,20
195210,19
195211,17
195212,7
195301,3
195302,8
195303,4
195304,7
195305,10
195306,13
195307,20
195308,14
195309,10
195310,8
195311,2
195312,3
195401,4
195402,7
195403,10
195404,14
195405,12
195406,6
195407,14
195408,11
195409,9
195410,12
195411,7
195412,6
195501,4
195502,6
195503,6
195504,10
195505,6
195506,11
195507,12
195508,24
195509,12
195510,8
195511,5
195512,6
195601,6
195602,3
195603,7
195604,23
195605,20
195606,7
195607,26
195608,12
195609,8
195610,7
195611,15
195612,6
195701,18
195702,11
195703,4
195704,7
195705,18
195706,9
195707,6
195708,12
195709,9
195710,11
195711,9
195712,3
195801,4
195802,6
195803,9
195804,6
195805,16
195806,40
195807,36
195808,21
195809,12
195810,8
195811,5
195812,4
195901,4
195902,4
195903,3
195904,8
195905,7
195906,11
195907,17
195908,11
195909,10
195910,5
195911,7
195912,4
196001,6
196002,11
196003,9
196004,7
196005,5
196006,38
196007,33
196008,10
196009,13
196010,5
196011,6
196012,6
196101,13
196102,1
196103,3
196104,9
196105,8
196106,24
196107,38
196108,14
196109,18
196110,4
196111,5
196112,4
196201,5
196202,6
196203,9
196204,7
196205,6
196206,12
196207,16
196208,12
196209,12
196210,8
196211,3
196212,5
196301,13
196302,6
196303,9
196304,9
196305,17
196306,9
196307,19
196308,11
196309,9
196310,5
196311,7
196312,5
196401,2
196402,4
196403,5
196404,4
196405,8
196406,7
196407,7
196408,6
196409,7
196410,7
196411,9
196412,5
196501,4
196502,21
196503,20
196504,7
196505,10
196506,22
196507,19
196508,15
196509,12
196510,6
196511,3
196512,7
196601,6
196602,4
196603,9
196604,10
196605,5
196606,7
196607,17
196608,13
196609,9
196610,6
196611,4
196612,4
196701,3
196702,7
196703,6
196704,9
196705,13
196706,10
196707,16
196708,13
196709,10
196710,2
196711,7
196712,10
196801,4
196802,13
196803,6
196804,5
196805,6
196806,12
196807,25
196808,13
196809,10
196810,3
196811,4
