"begin","end","starttemp","endtemp","avgexc","year","month"
1938-02-24,1938-02-27,6.7,13.3,4.242,1938,2
1938-05-22,1938-05-25,25,25.6,2.09,1938,5
1938-08-28,1938-09-04,24.4,23.3,4.347,1938,8
1938-09-09,1938-09-11,22.8,23.3,0.96,1938,9
1938-09-14,1938-09-16,27.2,24.4,3.89,1938,9
1938-10-18,1938-10-22,17.8,12.2,2.836,1938,10
1939-03-28,1939-03-30,13.9,12.2,1.633,1939,3
1939-08-08,1939-08-10,31.1,33.9,3.833,1939,8
1939-10-28,1939-10-30,11.1,9.4,1.927,1939,10
1940-03-28,1940-04-01,15,12.8,1.84,1940,3
1940-04-17,1940-04-21,15.6,17.8,1.156,1940,4
1940-09-22,1940-09-25,25,25,3.32,1940,9
1941-03-09,1941-03-12,9.4,8.9,1.245,1941,3
1941-05-30,1941-07-01,25.6,28.9,1.66,1941,5
1941-07-14,1941-07-18,32.2,30.6,4.854,1941,7
1942-06-03,1942-06-07,27.8,29.4,3.778,1942,6
1942-09-03,1942-09-05,26.7,25,3.827,1942,9
1943-01-07,1943-01-10,7.2,-3.3,7.79,1943,1
1943-02-18,1943-02-22,9.4,5,2.768,1943,2
1943-02-24,1943-02-26,7.8,13.3,6.233,1943,2
1943-04-17,1943-04-19,18.3,19.4,2.897,1943,4
1943-11-15,1943-11-17,0.6,4.4,2.373,1943,11
1943-11-20,1943-11-24,9.4,0,7.282,1943,11
1943-11-26,1943-11-28,7.8,2.8,8.73,1943,11
1943-12-06,1943-12-11,-1.1,2.8,7.315,1943,12
1943-12-15,1943-12-18,7.2,2.8,9.69,1943,12
1944-03-28,1944-03-30,14.4,16.1,4.033,1944,3
1944-04-07,1944-04-10,13.9,14.4,1.117,1944,4
1944-04-21,1944-04-23,20.6,18.3,2.627,1944,4
1944-05-13,1944-05-15,23.3,25.6,1.423,1944,5
1944-09-05,1944-09-09,24.4,29.4,2.456,1944,9
1944-10-11,1944-10-13,17.8,18.9,1.613,1944,10
1944-12-12,1944-12-15,-5,0,4.977,1944,12
1944-12-18,1944-12-21,-3.3,-3.3,2.67,1944,12
1945-08-12,1945-08-14,28.9,29.4,2.357,1945,8
1946-08-28,1946-08-30,26.1,27.2,3.997,1946,8
1947-01-03,1947-01-07,0.6,4.4,7.544,1947,1
1947-03-15,1947-03-17,12.2,13.3,3.333,1947,3
1947-03-19,1947-03-21,12.8,10,4.357,1947,3
1947-07-25,1947-07-27,29.4,28.9,0.927,1947,7
1947-09-29,1947-10-01,21.1,20,2.953,1947,9
1947-10-24,1947-10-26,13.9,12.2,3.53,1947,10
1947-11-22,1947-11-24,0,0,4.65,1947,11
1947-12-23,1947-12-25,-4.4,-4.4,3.597,1947,12
1948-01-16,1948-01-19,4.4,4.4,8.017,1948,1
1948-05-19,1948-05-23,24.4,24.4,2.176,1948,5
1948-05-28,1948-05-30,27.8,31.7,4.993,1948,5
1948-06-10,1948-06-12,27.8,29.4,1.8,1948,6
1948-07-15,1948-07-17,28.9,28.9,1.157,1948,7
1948-08-14,1948-08-17,28.3,27.8,1.437,1948,8
1948-11-08,1948-11-13,5,3.9,3.088,1948,11
1949-01-04,1949-01-06,-2.8,-2.2,5.907,1949,1
1949-03-04,1949-03-06,9.4,8.9,3.797,1949,3
1949-03-22,1949-03-24,10,10,0.49,1949,3
1949-04-17,1949-04-19,16.1,17.8,0.897,1949,4
1949-07-09,1949-07-13,28.3,30,1.216,1949,7
1949-08-27,1949-08-31,25.6,25.6,2.218,1949,8
1949-09-04,1949-09-07,23.3,22.8,2.72,1949,9
1949-09-26,1949-09-28,23.3,20.6,2.953,1949,9
1949-11-02,1949-11-04,6.7,7.2,2.38,1949,11
1949-11-13,1949-11-15,2.2,1.1,1.847,1949,11
1950-06-16,1950-06-19,31.1,32.2,6.015,1950,6
1950-07-22,1950-07-25,28.9,30,2.392,1950,7
1950-08-19,1950-08-21,28.3,29.4,2.067,1950,8
1950-09-09,1950-09-13,23.3,26.1,2.414,1950,9
1951-09-02,1951-09-06,23.3,27.2,3.856,1951,9
1951-09-14,1951-09-16,25,27.8,4.29,1951,9
1951-10-06,1951-10-08,18.9,21.1,2.087,1951,10
1952-07-29,1952-07-31,29.4,30.6,1.19,1952,7
1952-10-19,1952-10-22,17.2,17.8,5.87,1952,10
1952-11-18,1952-11-23,6.7,1.7,7.313,1952,11
1952-12-13,1952-12-15,1.7,-4.4,5.08,1952,12
1953-02-21,1953-02-25,7.8,8.9,2.214,1953,2
1953-07-07,1953-07-09,30.6,28.9,2.933,1953,7
1953-08-04,1953-08-07,31.7,31.1,2.415,1953,8
1953-10-20,1953-10-23,12.8,14.4,3.375,1953,10
1954-01-30,1954-02-09,-1.7,-1.1,6.04,1954,1
