"yrmon","max_consec"
193709,6
193710,10
193711,7
193712,14
193801,11
193802,23
193803,19
193804,21
193805,15
193806,13
193807,5
193808,24
193809,18
193810,16
193811,19
193812,10
193901,12
193902,6
193903,29
193904,21
193905,6
193906,11
193907,14
193908,11
193909,8
193910,15
193911,24
193912,11
194001,34
194002,25
194003,18
194004,16
194005,8
194006,20
194007,18
194008,16
194009,23
194010,8
194011,13
194101,16
194102,14
194103,37
194104,30
194105,19
194106,8
194107,10
194108,15
194109,9
194110,15
194111,6
194112,44
194201,29
194203,10
194204,16
194205,18
194206,20
194207,23
194208,22
194209,10
194210,15
194211,12
194212,15
194301,14
194302,15
194303,8
194304,15
194305,8
194306,9
194307,7
194308,12
194309,15
194310,11
194311,21
194312,14
194401,22
194402,11
194403,13
194404,15
194405,18
194406,5
194407,4
194408,24
194409,12
194410,11
194411,8
194412,17
194501,14
194502,9
194503,13
194504,11
194505,22
194506,7
194507,7
194508,17
194509,8
194510,9
194511,5
194512,12
194601,5
194602,11
194603,27
194604,25
194605,15
194606,13
194607,4
194608,11
194609,9
194610,13
194611,12
194612,10
194701,9
194702,4
194703,12
194704,9
194705,18
194706,10
194707,12
194708,9
194709,11
194710,26
194711,7
194712,14
194801,11
194802,4
194803,12
194804,9
194805,6
194806,8
194807,7
194808,9
194809,12
194810,24
194811,13
194812,10
194901,12
194902,8
194903,11
194904,8
194905,11
194906,8
194907,6
194908,6
194909,9
194910,10
194911,15
194912,7
195001,12
195002,7
195003,8
195004,22
195005,14
195006,14
195007,5
195008,7
195009,27
195010,12
195011,5
195012,16
195101,13
195102,15
195103,12
195104,14
195105,9
195106,13
195107,7
195108,15
195109,11
195110,11
195111,10
195112,15
195201,11
195202,10
195203,9
195204,12
195205,16
195206,12
195207,17
195208,11
195209,12
195210,27
195211,26
195212,30
195301,6
195302,13
195303,9
195304,29
195305,17
195306,8
195307,13
195308,10
195309,13
195310,9
195311,13
195312,8
195401,23
195402,8
195403,10
195404,12
195405,13
195406,11
195407,9
195408,8
195409,9
195410,29
195411,16
195412,14
195501,12
195502,5
195503,22
195504,21
195505,10
195506,9
195507,6
195508,8
195509,33
195510,30
195511,18
195512,10
195601,11
195602,9
195603,37
195604,36
195605,8
195606,4
195607,6
195608,10
195609,9
195610,7
195611,13
195612,18
195701,11
195702,12
195703,12
195704,24
195705,8
195706,4
195707,7
195708,18
195709,10
195710,18
195711,10
195712,10
195801,9
195802,10
195803,19
195804,11
195805,15
195806,7
195807,8
195808,18
195809,7
195810,11
195811,10
195812,22
195901,6
195902,25
195903,9
195904,10
195905,8
195906,7
195907,11
195908,5
195909,8
195910,14
195911,12
195912,12
196001,15
196002,9
196003,13
196004,12
196005,7
196006,8
196007,7
196008,13
196009,23
196010,12
196011,7
196012,13
196101,21
196102,7
196103,5
196104,12
196105,10
196106,13
196107,12
196108,16
196109,10
196110,8
196111,9
196112,7
196201,11
196202,10
196203,12
196204,10
196205,8
196206,4
196207,4
196208,7
196209,17
196210,31
196211,21
196212,10
196301,5
196302,10
196303,8
196304,13
196305,15
196306,8
196307,9
196308,10
196309,49
196310,42
196311,17
196312,14
196401,21
196402,9
196403,22
196404,13
196405,17
196406,18
196407,8
196408,7
196409,18
196410,6
196411,21
196412,13
196501,8
196502,22
196503,20
196504,20
196505,11
196506,5
196507,23
196508,17
196509,12
196510,18
196511,9
196512,19
196601,12
196602,16
196603,14
196604,17
196605,12
196606,6
196607,15
196608,12
196609,17
196610,16
196611,5
196612,16
196701,12
196702,8
196703,7
196704,28
196705,15
196706,9
196707,6
196708,13
196709,9
196710,17
196711,8
196712,13
196801,7
196802,30
196803,12
196804,20
196805,12
196806,5
196807,8
196808,16
196809,12
196810,17
196811,16
196812,11
196901,20
196902,27
196903,13
196904,17
196905,12
196906,9
196907,9
196908,12
196909,24
196910,19
196911,19
196912,11
197001,12
197002,12
197003,25
197004,13
197005,9
197006,10
197007,8
197008,7
197009,9
197010,21
197011,7
197012,8
197101,6
197102,23
197103,19
197104,13
197105,20
197106,7
197107,19
197108,11
197109,16
197110,12
197111,12
197112,12
197201,8
197202,9
197203,13
197204,17
197205,12
197206,7
197207,12
197208,9
197209,6
197210,12
197211,28
197212,8
197301,26
197302,17
197303,33
197304,21
197305,5
197306,4
197307,6
197308,3
197309,30
197310,12
197311,11
197312,8
197401,4
197402,13
197403,8
197404,9
197405,9
197406,9
197407,14
197408,9
197409,16
197410,21
197411,18
197412,18
197501,25
197502,21
197503,12
197504,21
197505,11
197506,5
197507,4
197508,13
197509,7
197510,14
197511,5
197512,10
197601,19
197602,19
197603,23
197604,18
197605,6
197606,5
197607,3
197608,8
197609,25
197610,25
197611,16
197612,8
197701,14
197702,12
197703,10
197704,10
197705,6
197706,6
197707,4
197708,10
197709,7
197710,22
197711,13
197712,13
197801,18
197802,14
197803,9
197804,25
197805,13
197806,9
197807,6
197808,6
197809,9
197810,13
197811,13
197812,34
197901,22
197902,12
197903,69
197904,50
197905,20
197906,5
197907,7
197908,12
197909,27
197910,25
197911,17
197912,15
198001,18
198002,16
198003,33
198004,14
198005,12
198006,10
198007,8
198008,14
198009,5
198010,10
198011,19
198012,10
198101,29
198102,42
198103,27
198104,5
198105,12
198106,14
198107,21
198108,18
198109,26
198110,12
198111,11
198112,10
198201,8
198202,11
198203,11
198204,14
198205,8
198206,19
198207,8
198208,9
198209,13
198210,10
198211,10
198212,13
198301,19
198302,10
198303,14
198304,13
198305,9
198306,14
198307,10
198308,10
198309,9
198310,18
198311,17
198312,29
198401,14
198402,19
198403,17
198404,11
198405,9
198406,7
198407,6
198408,4
198409,11
198410,12
198411,10
198412,20
198501,13
198502,6
198503,39
198504,32
198505,23
198506,12
198507,8
198508,4
198509,8
198510,5
198511,32
198512,10
198601,17
198602,12
198603,17
198604,9
198605,14
198606,10
198607,9
198608,10
198609,10
198610,10
198611,10
198612,14
198701,12
198702,13
198703,11
198704,23
198705,11
198706,8
198707,5
198708,4
198709,14
198710,9
198711,10
198712,21
198801,13
198802,31
198803,17
198804,13
198805,8
198806,9
198807,5
198808,14
198809,15
198810,13
198811,10
198812,17
198901,15
198902,13
198903,12
198904,18
198905,9
198906,12
198907,8
198908,10
198909,9
198910,11
198911,14
198912,7
199001,19
199002,31
199003,25
199004,14
199005,15
199006,8
199007,12
199008,21
199009,19
199010,5
199011,5
199012,28
199101,26
199102,16
199103,16
199104,14
199105,6
199106,8
199107,9
199108,11
199109,8
199110,7
199111,3
199112,20
199201,17
199202,11
199203,15
199204,7
199205,9
199206,11
199207,7
199208,11
199209,19
199210,17
199211,13
199212,7
199301,11
199302,24
199303,20
199304,25
199305,19
199306,14
199307,6
199308,10
199309,9
199310,16
199311,10
199312,14
199401,11
199402,18
199403,41
199404,31
199405,8
199406,6
199407,5
199408,20
199409,13
199410,11
199411,14
199412,10
199501,15
199502,8
199503,10
199504,9
199505,18
199506,31
199507,16
199508,16
199509,13
199510,8
199511,3
199512,17
199601,17
199602,9
199603,10
199604,12
199605,15
199606,8
199607,5
199608,8
199609,22
199610,9
199611,8
199612,12
199701,14
199702,18
199703,9
199704,9
199705,14
199706,5
199707,4
199708,6
199709,5
199710,7
199711,16
199712,30
199801,18
199802,12
199803,25
199804,18
199805,13
199806,17
199807,12
199808,8
199809,12
199810,32
199811,11
199812,9
199901,9
199902,14
199903,25
199904,16
199905,7
199906,8
199907,8
199908,11
199909,11
199910,31
199911,14
199912,11
200001,16
200002,41
200003,35
200004,13
200005,11
200006,5
200007,5
200008,6
200009,10
200010,17
200011,23
200012,16
200101,17
200102,31
200103,17
200104,36
200105,12
200106,8
200107,6
200108,5
200109,21
200110,17
200111,9
200112,25
200201,15
200202,17
200203,10
200204,15
200205,14
200206,7
200207,5
200208,13
200209,13
200210,18
200211,35
200212,26
200301,10
200302,8
200303,7
200304,18
200305,11
200306,13
200307,6
200308,11
200309,18
200310,8
200311,14
200312,17
200401,19
200402,21
200403,17
200404,12
200405,10
200406,6
200407,4
200408,16
200409,10
200410,16
200411,12
200412,13
200501,10
200502,22
200503,14
200504,28
200505,15
200506,5
200507,4
200508,15
200509,9
200510,13
200511,17
200512,29
200601,11
200602,9
200603,13
200604,10
200605,9
200606,6
200607,6
200608,16
200609,14
200610,12
200611,5
200612,24
200701,14
200702,5
200703,9
200704,19
200705,8
200706,5
200707,4
200708,3
200709,9
200710,14
200711,11
200712,11
200801,9
200802,14
200803,9
200804,11
200805,16
200806,7
200807,9
