"","q90","month","day"
"1",-5,9,20
"2",-5,9,21
"3",-5.6,9,22
"4",-5.44999999999999,9,23
"5",-4.98,9,24
"6",-5.59,9,25
"7",-5.6,9,26
"8",-5.88,9,27
"9",-6.7,9,28
"10",-6.88,9,29
"11",-6.7,9,30
"12",-6.61999999999998,10,1
"13",-5.6,10,2
"14",-5.6,10,3
"15",-5.09,10,4
"16",-4.49,10,5
"17",-3.9,10,6
"18",-3.79,10,7
"19",-3.79,10,8
"20",-3.9,10,9
"21",-3.79,10,10
"22",-3.69,10,11
"23",-3.3,10,12
"24",-3.24999999999999,10,13
"25",-3.24999999999999,10,14
"26",-2.8,10,15
"27",-2.8,10,16
"28",-3.69,10,17
"29",-2.8,10,18
"30",-2.6,10,19
"31",-2.6,10,20
"32",-2.38,10,21
"33",-2.2,10,22
"34",-1.7,10,23
"35",-1.1,10,24
"36",-1.1,10,25
"37",-1.69,10,26
"38",-1.69,10,27
"39",-1.69,10,28
"40",-1.59,10,29
"41",-1.7,10,30
"42",-1.68,10,31
"43",-1.09,11,1
"44",0.230000000000007,11,2
"45",1.1,11,3
"46",1.7,11,4
"47",2.11,11,5
"48",2.2,11,6
"49",2.23000000000001,11,7
"50",3.3,11,8
"51",3.9,11,9
"52",4.11,11,10
"53",4.22,11,11
"54",4.5,11,12
"55",5,11,13
"56",5.6,11,14
"57",5.7,11,15
"58",6.13000000000001,11,16
"59",6.13000000000001,11,17
"60",6.41,11,18
"61",6.7,11,19
"62",6.7,11,20
"63",7,11,21
"64",7.11,11,22
"65",7.8,11,23
"66",7.53000000000001,11,24
"67",7.8,11,25
"68",7.8,11,26
"69",7.81,11,27
"70",7.91,11,28
"71",8.1,11,29
"72",8.12,11,30
"73",8.3,12,1
"74",8.3,12,2
"75",8.3,12,3
"76",8.3,12,4
"77",8.3,12,5
"78",8.42,12,6
"79",8.81,12,7
"80",9.2,12,8
"81",9.4,12,9
"82",9.42,12,10
"83",9.71,12,11
"84",10,12,12
"85",10.5,12,13
"86",10.74,12,14
"87",11.1,12,15
"88",11.7,12,16
"89",11.7,12,17
"90",11.7,12,18
"91",11.8,12,19
"92",12.2,12,20
"93",12.6,12,21
"94",12.8,12,22
"95",12.8,12,23
"96",13.1,12,24
"97",13.3,12,25
"98",13.42,12,26
"99",13.81,12,27
"100",13.9,12,28
"101",13.9,12,29
"102",13.9,12,30
"103",14.4,12,31
"104",14.4,1,1
"105",14.7,1,2
"106",15,1,3
"107",15.2,1,4
"108",15.51,1,5
"109",16.1,1,6
"110",16.31,1,7
"111",16.7,1,8
"112",17.22,1,9
"113",17.7,1,10
"114",17.81,1,11
"115",18.1,1,12
"116",18.31,1,13
"117",18.61,1,14
"118",18.9,1,15
"119",19.4,1,16
"120",20,1,17
"121",20.24,1,18
"122",20.6,1,19
"123",20.61,1,20
"124",20.91,1,21
"125",21.1,1,22
"126",21.1,1,23
"127",21.11,1,24
"128",21.2,1,25
"129",21.51,1,26
"130",21.61,1,27
"131",21.72,1,28
"132",22.2,1,29
"133",22.22,1,30
"134",22.8,1,31
"135",22.91,2,1
"136",23,2,2
"137",23.01,2,3
"138",23.01,2,4
"139",23,2,5
"140",23.3,2,6
"141",23.9,2,7
"142",24.11,2,8
"143",24.21,2,9
"144",24.4,2,10
"145",24.52,2,11
"146",24.73,2,12
"147",25.01,2,13
"148",25.5,2,14
"149",25.5,2,15
"150",25.22,2,16
"151",25.5,2,17
"152",25.51,2,18
"153",25.6,2,19
"154",26.1,2,20
"155",26.1,2,21
"156",25.6,2,22
"157",26.1,2,23
"158",26.11,2,24
"159",26.7,2,25
"160",26.2,2,26
"161",26.7,2,27
"162",26.7,2,28
"163",26.7,3,1
"164",26.71,3,2
"165",26.71,3,3
"166",26.7,3,4
"167",26.34,3,5
"168",26.7,3,6
"169",26.7,3,7
"170",26.7,3,8
"171",26.7,3,9
"172",26.7,3,10
"173",26.7,3,11
"174",26.7,3,12
"175",26.81,3,13
"176",27.2,3,14
"177",27.5,3,15
"178",27.5,3,16
"179",27.51,3,17
"180",27.71,3,18
"181",27.8,3,19
"182",27.8,3,20
"183",27.8,3,21
"184",27.81,3,22
"185",28,3,23
"186",28.1,3,24
"187",28.11,3,25
"188",28.3,3,26
"189",28.2,3,27
"190",28.1,3,28
"191",28.1,3,29
"192",28.01,3,30
"193",28.11,3,31
"194",28.2,4,1
"195",28.2,4,2
"196",28.11,4,3
"197",28.11,4,4
"198",28.11,4,5
"199",28.2,4,6
"200",28.21,4,7
"201",28.2,4,8
"202",27.92,4,9
"203",28.11,4,10
"204",28.3,4,11
"205",28.61,4,12
"206",28.71,4,13
"207",28.9,4,14
"208",28.51,4,15
"209",28.51,4,16
"210",28.63,4,17
"211",28.9,4,18
"212",28.9,4,19
"213",28.91,4,20
"214",29.22,4,21
"215",29.2,4,22
"216",29.4,4,23
"217",29.4,4,24
"218",29.22,4,25
"219",29.02,4,26
"220",28.5,4,27
"221",28.4,4,28
"222",28.3,4,29
"223",28.3,4,30
"224",28.12,5,1
"225",27.7,5,2
"226",27.61,5,3
"227",27.42,5,4
"228",27.2,5,5
"229",27.02,5,6
"230",26.7,5,7
"231",26.5,5,8
"232",26.1,5,9
"233",26.1,5,10
"234",26.1,5,11
"235",26.01,5,12
"236",25.63,5,13
"237",25.31,5,14
"238",25,5,15
"239",24.4,5,16
"240",24.01,5,17
"241",23.9,5,18
"242",23.4,5,19
"243",23.3,5,20
"244",23.3,5,21
"245",22.9,5,22
