"begin","end","starttemp","endtemp","avgexc","year","month"
1899-11-11,1899-11-14,11.7,12.8,2.085,1899,11
1899-11-22,1899-11-25,10,10,1.2,1899,11
1899-11-27,1899-11-29,10,11.7,2.12,1899,11
1899-12-23,1899-12-26,8.3,7.8,2.425,1899,12
1900-01-18,1900-01-20,6.7,8.3,1.927,1900,1
1900-03-10,1900-03-12,12.8,15,2.097,1900,3
1900-03-19,1900-03-21,14.4,16.1,0.763,1900,3
1900-04-29,1900-05-04,24.4,30,4.975,1900,4
1900-12-05,1900-12-08,7.8,9.4,1.852,1900,12
1903-06-08,1903-06-12,30.6,33.9,1.236,1903,6
1904-04-13,1904-04-15,20.6,23.9,2.233,1904,4
1904-11-27,1904-11-29,8.9,10,1.587,1904,11
1905-03-01,1905-03-07,11.7,14.4,1.917,1905,3
1905-04-22,1905-04-26,22.2,22.8,2.212,1905,4
1905-07-21,1905-07-24,35,35.6,1.12,1905,7
1906-01-24,1906-01-27,8.9,7.2,1.685,1906,1
1906-04-05,1906-04-07,20.6,20,2.193,1906,4
1906-04-29,1906-05-01,25,26.7,2.733,1906,4
1906-05-09,1906-05-11,27.8,26.7,2.263,1906,5
1906-07-03,1906-07-05,33.3,35,1.583,1906,7
1906-07-15,1906-07-17,33.9,33.9,0.967,1906,7
1907-11-05,1907-11-07,13.9,12.8,1.133,1907,11
1907-12-23,1907-12-25,8.3,7.2,1.567,1907,12
1908-10-31,1908-11-08,14.4,12.8,1.843,1908,10
1908-11-18,1908-11-23,12.8,9.4,2.32,1908,11
1909-05-01,1909-05-03,23.9,29.4,2.55,1909,5
1910-03-01,1910-03-04,12.2,11.7,1.595,1910,3
1910-03-12,1910-03-16,15,13.9,0.878,1910,3
1910-04-23,1910-04-25,22.8,26.7,3.89,1910,4
1910-05-05,1910-05-07,25.6,26.7,1.56,1910,5
1911-01-05,1911-01-07,6.7,6.7,1.323,1911,1
1912-05-12,1912-05-14,25.6,27.8,2,1912,5
1917-11-20,1917-11-23,10,10,1.16,1917,11
1917-12-16,1917-12-19,10,10,3.472,1917,12
1918-01-06,1918-01-08,5.6,6.1,0.557,1918,1
1919-01-18,1919-01-20,7.2,7.8,1.56,1919,1
1919-11-22,1919-11-24,10,10,1.147,1919,11
1919-12-26,1919-12-28,7.2,7.2,1.53,1919,12
1920-01-15,1920-01-18,8.9,10,2.87,1920,1
1921-12-10,1921-12-13,7.2,7.2,0.475,1921,12
