"yrmon","max_consec"
189903,22
189904,9
189905,8
189906,8
189907,22
189908,5
189909,16
189910,8
189911,7
189912,7
190001,9
190002,10
190003,10
190004,19
190005,9
190006,6
190007,28
190008,4
190009,18
190010,9
190011,11
190012,12
190101,0
190102,12
190103,10
190104,23
190105,13
190106,8
190107,51
190108,31
190205,9
190206,13
190207,14
190208,31
190209,18
190210,34
190211,6
190212,10
190301,16
190302,24
190303,10
190304,13
190305,15
190306,8
190307,12
190308,9
190309,8
190310,14
190311,9
190312,11
190401,9
190402,11
190403,6
190404,8
190405,13
190406,17
190407,33
190408,28
190409,27
190410,13
190411,17
190412,9
190501,10
190502,23
190503,19
190504,18
190505,8
190506,9
190507,13
190508,24
190509,6
190510,22
190511,16
190512,9
190601,11
190602,10
190603,11
190604,32
190605,11
190606,9
190607,17
190608,15
190609,10
190610,9
190611,9
190612,8
190701,13
190702,19
190703,46
190704,40
190705,14
190706,12
190707,18
190708,6
190709,7
190710,24
190711,13
190712,10
190801,16
190802,6
190803,21
190804,15
190805,6
190806,18
190807,40
190808,24
190809,7
190810,29
190811,17
190812,8
190901,10
190902,6
190903,20
190904,16
190905,8
190906,8
190907,29
190908,25
190909,9
190910,11
190911,9
190912,13
191001,18
191002,12
191003,16
191004,28
191005,11
191006,18
191007,12
191008,13
191009,13
191010,7
191011,7
191012,8
191101,9
191102,15
191103,41
191104,17
191105,23
191106,10
191107,19
191108,13
191109,26
191110,13
191111,10
191112,6
191201,10
191202,44
191203,40
191204,9
191205,18
191206,13
191207,9
191208,12
191209,15
191210,10
191211,17
191212,8
191301,5
191302,12
191303,17
191304,22
191305,14
191306,7
191307,20
191308,16
191309,16
191310,12
191311,24
191312,21
191401,8
191402,10
191403,15
191404,23
191405,12
191406,15
191407,34
191408,20
191409,6
191410,12
191411,11
191412,12
191501,15
191502,24
191503,14
191504,13
191505,7
191506,8
191507,20
191508,16
191509,8
191510,9
191511,6
191512,7
191601,12
191602,14
191603,8
191604,16
191605,12
191606,14
191607,7
191608,15
191609,27
191610,24
191611,17
191612,12
191701,26
191702,26
191703,20
191704,10
191705,5
191706,9
191707,23
191708,17
191709,11
191710,16
191711,22
191712,5
191801,9
191802,10
191803,17
191804,15
191805,11
191806,16
191807,9
191808,12
191809,21
191810,6
191811,10
191812,14
191901,10
191902,6
191903,22
191904,8
191905,14
191906,10
191907,24
191908,26
191909,18
191910,11
191911,8
191912,21
192001,26
192002,25
192003,15
192004,9
192005,23
192006,15
192007,19
192008,14
192009,9
192010,17
192011,14
192012,7
192101,14
192102,15
192103,21
192104,12
192105,14
192106,9
192107,46
192108,16
192109,23
192110,13
192111,7
192112,25
192201,16
192202,14
192203,10
192204,12
192205,27
192206,29
192207,21
192208,10
192209,19
192210,20
192211,17
192212,7
192301,15
192302,18
192303,14
192304,19
192305,9
192306,12
192307,10
192308,23
192309,14
192310,30
192311,20
192312,12
192401,9
192402,28
192403,27
192404,39
192405,26
192406,25
192407,13
192408,17
192409,11
192410,16
192411,10
192412,16
192501,6
192502,11
192503,24
192504,35
192505,27
192506,14
192507,46
192508,22
192509,17
192510,13
192511,11
192512,8
192601,10
192602,20
192603,15
192604,15
192605,19
192606,22
192607,29
192608,18
192609,7
192610,12
192611,6
192612,5
192701,16
192702,18
192703,19
192704,24
192705,18
192706,7
192707,24
192708,10
192709,6
192710,15
192711,6
192712,11
192801,18
192802,26
192803,10
192804,11
192805,21
192806,11
192807,39
192808,18
192809,17
192810,38
192811,22
192812,14
192901,13
192902,42
192903,15
192904,18
192905,25
192906,45
192907,33
192908,14
192909,36
192910,29
192911,21
192912,10
193001,15
193002,32
193003,23
193004,19
193005,16
193006,28
193007,24
193008,20
193009,20
193010,20
193011,20
193012,22
193101,21
193102,18
193103,12
193104,18
193105,22
193106,13
193107,23
193108,31
193109,14
193110,17
193111,22
193112,10
193201,9
193202,28
193203,18
193204,22
193205,19
193206,31
193207,12
193208,8
193209,21
193210,9
193211,12
193212,13
193301,7
193302,10
193303,13
193304,0
193305,12
193306,16
193307,31
193308,28
193309,18
193310,15
193311,34
193312,27
193401,21
193402,22
193403,30
193404,27
193405,19
193406,17
193407,13
193408,27
193409,8
193410,16
193411,14
193412,8
193501,18
193502,9
193503,23
193504,24
193505,21
193506,12
193507,9
193508,20
193509,29
193510,13
193511,41
193512,21
193601,24
193602,13
193603,28
193604,21
193605,13
193606,7
193607,35
193608,14
193609,10
193610,32
193611,15
193612,13
193701,6
193702,6
193703,8
193704,13
193705,13
193706,8
193707,23
193708,21
193709,11
193710,15
193711,5
193712,13
193801,10
193802,8
193803,24
193804,15
193805,30
193806,15
193807,30
193808,15
193809,16
193810,13
193811,19
193812,17
193901,12
193902,21
193903,50
193904,31
193905,20
193906,8
193907,35
193908,24
193909,11
193910,18
193911,15
193912,6
194001,9
194002,6
194003,10
194004,9
194005,8
194006,44
194007,19
194008,20
194009,11
194010,8
194011,10
194012,16
194101,10
194102,16
194103,13
194104,16
194105,10
194106,6
194107,13
194108,8
194109,11
194110,15
194111,15
194112,11
194201,17
194202,10
194203,28
194204,12
194205,10
194206,20
194207,11
194208,34
194209,30
194210,24
194211,7
194212,8
194301,8
194302,35
194303,12
194304,18
194305,19
194306,11
194307,22
194308,28
194309,20
194310,9
194311,25
194312,14
194401,19
194402,9
194403,15
194404,17
194405,11
194406,11
194407,12
194408,20
194409,12
194410,16
194411,11
194412,19
194501,13
194502,9
194503,22
194504,19
194505,13
194506,17
194507,15
194508,19
194509,12
194510,14
194511,10
194512,8
194601,10
194602,10
194603,9
194604,14
194605,12
194606,15
194607,14
194608,18
194609,19
194610,6
194611,8
194612,9
194701,17
194702,9
194703,38
194704,18
194705,10
194706,14
194707,12
194708,8
194709,15
194710,6
194711,6
194712,16
194801,15
194802,7
194803,19
194804,12
194805,16
194806,9
194807,8
194808,6
194809,10
194810,20
194811,10
194812,24
194901,9
194902,12
194903,6
194904,15
194905,19
194906,16
194907,14
194908,8
194909,15
194910,16
194911,9
194912,12
195001,22
195002,11
195003,11
195004,7
195005,28
195006,20
195007,8
195008,31
195009,23
195010,6
195011,7
195012,5
195101,8
195102,11
195103,28
195104,26
195105,12
195106,15
195107,47
195108,22
195109,22
195110,11
195111,14
195112,4
195201,7
195202,8
195203,38
195204,17
195205,15
195206,9
195207,14
195208,31
195209,55
195210,33
195211,15
195212,14
195301,7
195302,11
195303,15
195304,11
195305,12
195306,9
195307,23
195308,6
195309,16
195310,16
195311,7
195312,11
195401,18
195402,10
195403,18
195404,13
195405,11
195406,12
195407,13
195408,10
195409,22
195410,16
195411,8
195412,18
195501,10
195502,15
195503,19
195504,19
195505,23
195506,21
195507,48
195508,43
195509,12
195510,9
195511,6
195512,7
195601,20
195602,14
195603,11
195604,24
195605,13
195606,8
195607,16
195608,13
195609,18
195610,10
195611,17
195612,10
195701,5
195702,13
195703,9
195704,15
195705,11
195706,9
195707,10
195708,13
195709,40
195710,12
195711,10
195712,14
195801,8
195802,5
195803,15
195804,34
195805,27
195806,29
195807,30
195808,27
195809,14
195810,14
195811,9
195812,6
195901,6
195902,9
195903,25
195904,24
195905,26
195906,15
195907,18
195908,12
195909,9
195910,8
195911,7
195912,18
196001,8
196002,13
196003,22
196004,12
196005,24
196006,16
196007,29
196008,11
196009,17
196010,14
196011,22
196012,16
196101,21
196102,14
196103,11
196104,11
196105,10
196106,19
196107,19
196108,14
196109,15
196110,7
196111,9
196112,5
196201,16
196202,10
196203,25
196204,19
196205,13
196206,11
196207,18
196208,12
196209,13
196210,9
196211,5
196212,24
196301,18
196302,25
196303,22
196304,10
196305,20
196306,12
196307,6
196308,11
196309,28
196310,20
196311,8
196312,6
196401,6
196402,14
196403,27
196404,23
196405,15
196406,8
196407,14
196408,6
196409,16
196410,15
196411,10
196412,8
196501,6
196502,32
196503,31
196504,25
196505,14
196506,14
196507,17
196508,16
196509,22
196510,19
196511,9
196512,12
196601,12
196602,16
196603,26
196604,15
196605,14
196606,13
196607,13
196608,15
196609,9
196610,13
196611,4
196612,14
196701,6
196702,20
196703,12
196704,14
196705,17
196706,14
196707,15
196708,25
196709,20
196710,7
196711,7
196712,12
196801,17
196802,16
196803,20
196804,23
196805,8
196806,12
196807,25
196808,15
196809,18
