"","q90","month","day"
"1",10,1,1
"2",9.68,1,2
"3",9.52,1,3
"4",10,1,4
"5",10,1,5
"6",10,1,6
"7",10.3,1,7
"8",10.5,1,8
"9",10.6,1,9
"10",10.6,1,10
"11",10.71,1,11
"12",11.1,1,12
"13",11.11,1,13
"14",11.3,1,14
"15",11.2,1,15
"16",11.3,1,16
"17",11.21,1,17
"18",11.11,1,18
"19",11.1,1,19
"20",11.1,1,20
"21",11.1,1,21
"22",11.1,1,22
"23",11.1,1,23
"24",10.83,1,24
"25",10.62,1,25
"26",10.6,1,26
"27",10.6,1,27
"28",10.6,1,28
"29",10.6,1,29
"30",10.82,1,30
"31",11.1,1,31
"32",11.1,2,1
"33",11.41,2,2
"34",11.7,2,3
"35",11.7,2,4
"36",12,2,5
"37",12.2,2,6
"38",12.2,2,7
"39",12.11,2,8
"40",12.2,2,9
"41",12.2,2,10
"42",12.2,2,11
"43",12.41,2,12
"44",12.83,2,13
"45",13.11,2,14
"46",13.21,2,15
"47",13.3,2,16
"48",13.3,2,17
"49",13.21,2,18
"50",13.21,2,19
"51",13.3,2,20
"52",13.3,2,21
"53",13.62,2,22
"54",13.9,2,23
"55",13.9,2,24
"56",13.91,2,25
"57",13.91,2,26
"58",14,2,27
"59",14.4,2,28
"60",14.41,3,1
"61",14.82,3,2
"62",15,3,3
"63",15,3,4
"64",15,3,5
"65",15,3,6
"66",14.62,3,7
"67",14.41,3,8
"68",14.51,3,9
"69",14.91,3,10
"70",15.02,3,11
"71",15.21,3,12
"72",15.6,3,13
"73",15.62,3,14
"74",15.62,3,15
"75",15.6,3,16
"76",15.51,3,17
"77",15.51,3,18
"78",15.6,3,19
"79",15.6,3,20
"80",15.62,3,21
"81",16.13,3,22
"82",16.51,3,23
"83",16.6,3,24
"84",16.61,3,25
"85",16.52,3,26
"86",16.7,3,27
"87",16.7,3,28
"88",16.71,3,29
"89",16.91,3,30
"90",17.21,3,31
"91",17.44,4,1
"92",17.8,4,2
"93",17.82,4,3
"94",18.02,4,4
"95",18.3,4,5
"96",18.3,4,6
"97",18.32,4,7
"98",18.51,4,8
"99",18.81,4,9
"100",18.91,4,10
"101",19.01,4,11
"102",19.01,4,12
"103",19,4,13
"104",19,4,14
"105",19.01,4,15
"106",19.2,4,16
"107",19.11,4,17
"108",19.11,4,18
"109",19.3,4,19
"110",19.4,4,20
"111",19.7,4,21
"112",19.8,4,22
"113",20.1,4,23
"114",20.6,4,24
"115",20.64,4,25
"116",21.1,4,26
"117",21.3,4,27
"118",21.6,4,28
"119",21.61,4,29
"120",21.91,4,30
"121",22.21,5,1
"122",22.7,5,2
"123",22.8,5,3
"124",22.8,5,4
"125",22.52,5,5
"126",22.8,5,6
"127",22.61,5,7
"128",22.8,5,8
"129",22.8,5,9
"130",23.3,5,10
"131",23.3,5,11
"132",23.3,5,12
"133",23.3,5,13
"134",23.9,5,14
"135",23.9,5,15
"136",23.9,5,16
"137",23.31,5,17
"138",23.43,5,18
"139",23.43,5,19
"140",23.72,5,20
"141",23.9,5,21
"142",24.22,5,22
"143",24.4,5,23
"144",24.62,5,24
"145",25.6,5,25
"146",25.63,5,26
"147",25.9,5,27
"148",25.9,5,28
"149",26.1,5,29
"150",26.1,5,30
"151",26.11,5,31
"152",26.22,6,1
"153",26.22,6,2
"154",26.4,6,3
"155",26.4,6,4
"156",26.13,6,5
"157",26.41,6,6
"158",26.5,6,7
"159",26.51,6,8
"160",26.5,6,9
"161",26.7,6,10
"162",26.7,6,11
"163",26.7,6,12
"164",26.7,6,13
"165",26.7,6,14
"166",26.93,6,15
"167",27.2,6,16
"168",27.2,6,17
"169",27.42,6,18
"170",27.22,6,19
"171",27.44,6,20
"172",27.44,6,21
"173",27.31,6,22
"174",27.2,6,23
"175",27.2,6,24
"176",27.2,6,25
"177",27.2,6,26
"178",27.2,6,27
"179",27.2,6,28
"180",27.2,6,29
"181",27.2,6,30
"182",27.2,7,1
"183",27.2,7,2
"184",27.2,7,3
"185",27.21,7,4
"186",27.43,7,5
"187",27.71,7,6
"188",27.8,7,7
"189",27.81,7,8
"190",27.81,7,9
"191",28.12,7,10
"192",28.3,7,11
"193",28.3,7,12
"194",28.4,7,13
"195",28.81,7,14
"196",28.9,7,15
"197",28.9,7,16
"198",28.9,7,17
"199",29.4,7,18
"200",29.51,7,19
"201",29.61,7,20
"202",29.71,7,21
"203",30,7,22
"204",30,7,23
"205",30.2,7,24
"206",30,7,25
"207",30,7,26
"208",29.63,7,27
"209",29.62,7,28
"210",29.6,7,29
"211",29.81,7,30
"212",30,7,31
"213",30,8,1
"214",30,8,2
"215",30.41,8,3
"216",30.6,8,4
"217",31.01,8,5
"218",30.61,8,6
"219",30.6,8,7
"220",30.6,8,8
"221",30.6,8,9
"222",30.61,8,10
"223",30.7,8,11
"224",30.72,8,12
"225",30.71,8,13
"226",30.61,8,14
"227",30.13,8,15
"228",30.01,8,16
"229",30,8,17
"230",29.4,8,18
"231",28.91,8,19
"232",28.9,8,20
"233",28.9,8,21
"234",28.54,8,22
"235",28.5,8,23
"236",28.41,8,24
"237",28.5,8,25
"238",28.5,8,26
"239",28.5,8,27
"240",28.41,8,28
"241",28.41,8,29
"242",28.32,8,30
"243",27.83,8,31
"244",27.8,9,1
"245",27.8,9,2
"246",27.8,9,3
"247",27.62,9,4
"248",27.2,9,5
"249",27.21,9,6
"250",27.21,9,7
"251",27.21,9,8
"252",27.2,9,9
"253",27.11,9,10
"254",27.1,9,11
"255",26.81,9,12
"256",26.8,9,13
"257",26.71,9,14
"258",27.01,9,15
"259",26.8,9,16
"260",26.71,9,17
"261",26.6,9,18
"262",26.51,9,19
"263",26.32,9,20
"264",26.1,9,21
"265",25.6,9,22
"266",25.6,9,23
