"begin","end","starttemp","endtemp","avgexc","year","month"
1940-05-21,1940-05-23,26.7,26.1,3.727,1940,5
1940-08-18,1940-08-21,29.4,30,3.647,1940,8
1940-09-07,1940-09-12,23.3,25.6,2.585,1940,9
1940-09-21,1940-09-27,23.3,23.9,2.64,1940,9
1940-10-18,1940-10-20,16.7,21.1,5.097,1940,10
1940-12-02,1940-12-04,5,7.8,2.433,1940,12
1940-12-19,1940-12-22,6.7,9.4,2.675,1940,12
1941-01-08,1941-01-11,4.4,4.4,3.067,1941,1
1941-01-27,1941-01-29,6.7,7.8,3.993,1941,1
1941-02-01,1941-02-06,10.6,7.8,3.698,1941,2
1941-03-10,1941-03-14,11.7,12.2,3.176,1941,3
1941-03-19,1941-03-23,11.7,11.1,1.034,1941,3
1941-03-25,1941-04-03,13.9,18.3,3.816,1941,3
1941-04-05,1941-04-09,15,17.2,2.472,1941,4
1941-04-18,1941-04-29,18.3,20.6,2.78,1941,4
1941-07-13,1941-07-19,30.6,29.4,6.467,1941,7
1941-08-18,1941-08-22,29.4,28.3,2.578,1941,8
1941-11-29,1941-12-02,12.2,7.2,4.747,1941,11
1942-01-11,1942-01-13,5.6,5.6,0.99,1942,1
1942-06-03,1942-06-06,28.3,27.2,3.67,1942,6
1942-06-29,1942-07-04,27.2,33.9,5.447,1942,6
1942-07-05,1942-07-06,27.8,27.2,0.693,1942,7
1942-07-19,1942-07-21,29.4,31.1,2.16,1942,7
1942-08-07,1942-08-08,29.4,32.8,2.545,1942,8
1942-08-14,1942-08-16,30,34.4,4.04,1942,8
1942-09-03,1942-09-05,25,27.8,3.836,1942,9
1942-09-21,1942-09-28,23.9,22.2,2.291,1942,9
1942-11-12,1942-11-13,7.8,8.9,0.963,1942,11
1942-12-15,1942-12-16,6.1,6.1,1.92,1942,12
1943-01-06,1943-01-07,3.9,5.6,0.69,1943,1
1943-01-08,1943-01-09,5.6,6.1,1.467,1943,1
1943-01-12,1943-01-13,6.1,7.2,1.765,1943,1
1943-02-17,1943-02-18,11.7,11.1,4.67,1943,2
1943-02-25,1943-02-26,8.3,10,1.067,1943,2
1943-04-11,1943-04-15,19.4,16.7,4.636,1943,4
1943-04-16,1943-04-18,17.8,19.4,1.636,1943,4
1943-06-30,1943-07-01,26.7,27.2,1.093,1943,6
1943-09-10,1943-09-12,26.7,23.9,2.78,1943,9
1943-09-23,1943-09-25,22.8,26.7,3.758,1943,9
1943-10-01,1943-10-02,22.2,25,4.475,1943,10
1943-10-07,1943-10-08,18.9,24.4,3.427,1943,10
1943-11-15,1943-11-16,9.4,11.1,2.59,1943,11
1943-11-20,1943-11-23,8.9,6.1,3.434,1943,11
