"yrmon","max_consec"
194004,0
194005,0
194006,10
194007,6
194008,8
194009,12
194010,9
194011,9
194012,11
194101,10
194102,13
194103,11
194104,14
194105,9
194106,3
194107,10
194108,7
194109,3
194110,5
194111,9
194112,16
194201,11
194202,10
194203,12
194204,8
194205,10
194206,18
194207,20
194208,18
194209,23
194210,10
194211,12
194212,10
194301,24
194302,28
194303,12
194304,17
194305,16
194306,18
194307,22
194308,10
194309,30
194310,13
194311,34
194312,15
194401,17
194402,10
194403,34
194404,18
194405,18
194406,14
194407,11
194408,25
194409,24
194410,23
194411,14
194412,38
194501,20
194502,19
194503,8
194504,24
194505,20
194506,8
194507,11
194508,16
194509,6
194510,5
194511,11
194512,7
194601,3
194602,6
194603,24
194604,19
194605,12
194606,5
194607,11
194608,28
194609,12
194610,5
194611,8
194612,9
194701,8
194702,13
194703,21
194704,6
194705,9
194706,6
194707,9
194708,7
194709,10
194710,6
194711,4
194712,7
194801,7
194802,3
194803,17
194804,10
194805,9
194806,12
194807,5
194808,3
194809,7
194810,12
194811,11
194812,6
194901,6
194902,12
194903,11
194904,7
194905,13
194906,8
194907,7
194908,21
194909,13
194910,9
194911,8
194912,6
195001,8
195002,8
195003,12
195004,16
195005,11
195006,16
195007,7
195008,7
195009,16
195010,6
195011,4
195012,6
195101,6
195102,11
195103,13
195104,12
195105,8
195106,8
195107,4
195108,13
195109,13
195110,7
195111,5
195112,7
195201,7
195202,9
195203,9
195204,7
195205,9
195206,5
195207,28
195208,21
195209,6
195210,6
195211,9
195212,18
195301,5
195302,6
195303,10
195304,16
195305,11
195306,3
195307,6
195308,9
195309,8
195310,9
195311,7
195312,6
195401,6
195402,6
195403,6
195404,10
195405,8
195406,5
195407,5
195408,4
195409,4
195410,4
195411,3
195412,5
195501,4
195502,5
195503,5
195504,11
195505,8
195506,13
195507,9
195508,7
195509,11
195510,10
195511,6
195512,10
195601,6
195602,4
195603,6
195604,12
195605,18
195606,8
195607,9
195608,11
195609,9
195610,8
195611,11
195612,3
195701,20
195702,10
195703,10
195704,8
195705,13
195706,8
195707,4
195708,8
195709,11
195710,13
195711,4
195712,6
195801,8
195802,7
195803,13
195804,38
195805,27
195806,12
195807,33
195808,14
195809,7
195810,18
195811,13
195812,3
195901,4
195902,9
195903,9
195904,8
195905,7
195906,5
195907,11
195908,6
195909,4
195910,5
195911,6
195912,9
196001,7
