"","q90","month","day"
"1",3.61,4,19
"2",3.6,4,20
"3",3.61,4,21
"4",3.31,4,22
"5",3.31,4,23
"6",3.71,4,24
"7",3.81,4,25
"8",3.9,4,26
"9",3.9,4,27
"10",3.92,4,28
"11",4.31,4,29
"12",4.52,4,30
"13",5,5,1
"14",5,5,2
"15",5,5,3
"16",5,5,4
"17",5,5,5
"18",5,5,6
"19",5,5,7
"20",5,5,8
"21",5,5,9
"22",5,5,10
"23",5,5,11
"24",4.46000000000001,5,12
"25",4.42,5,13
"26",4.64000000000001,5,14
"27",4.4,5,15
"28",4.4,5,16
"29",4.82,5,17
"30",5,5,18
"31",4.91,5,19
"32",5.6,5,20
"33",5.71,5,21
"34",5.8,5,22
"35",5.8,5,23
"36",5.8,5,24
"37",5.8,5,25
"38",5.9,5,26
"39",6,5,27
"40",6.1,5,28
"41",6.01,5,29
"42",6.1,5,30
"43",6.22,5,31
"44",6.41,6,1
"45",6.7,6,2
"46",6.7,6,3
"47",6.7,6,4
"48",6.7,6,5
"49",6.71,6,6
"50",6.91,6,7
"51",7.01,6,8
"52",7.2,6,9
"53",7.2,6,10
"54",7.41,6,11
"55",7.5,6,12
"56",7.8,6,13
"57",7.8,6,14
"58",7.8,6,15
"59",7.8,6,16
"60",7.91,6,17
"61",8.1,6,18
"62",8.3,6,19
"63",8.32,6,20
"64",8.72,6,21
"65",9.11,6,22
"66",9.3,6,23
"67",9.4,6,24
"68",9.4,6,25
"69",9.6,6,26
"70",9.61,6,27
"71",9.91,6,28
"72",10,6,29
"73",10,6,30
"74",10,7,1
"75",10,7,2
"76",10,7,3
"77",10,7,4
"78",10,7,5
"79",10.01,7,6
"80",10.01,7,7
"81",10.41,7,8
"82",10.6,7,9
"83",10.92,7,10
"84",11.1,7,11
"85",11.31,7,12
"86",11.7,7,13
"87",12.01,7,14
"88",12.8,7,15
"89",13.3,7,16
"90",13.3,7,17
"91",13.32,7,18
"92",13.6,7,19
"93",13.8,7,20
"94",13.9,7,21
"95",14.22,7,22
"96",14.4,7,23
"97",14.7,7,24
"98",14.82,7,25
"99",15,7,26
"100",15,7,27
"101",15,7,28
"102",15,7,29
"103",15.12,7,30
"104",15.3,7,31
"105",15.6,8,1
"106",15.6,8,2
"107",15.9,8,3
"108",16.61,8,4
"109",17.2,8,5
"110",17.4,8,6
"111",17.8,8,7
"112",17.8,8,8
"113",18.1,8,9
"114",18.3,8,10
"115",18.71,8,11
"116",18.81,8,12
"117",19.1,8,13
"118",19.31,8,14
"119",19.4,8,15
"120",19.4,8,16
"121",19.9,8,17
"122",20.21,8,18
"123",20.5,8,19
"124",20.6,8,20
"125",21.1,8,21
"126",21.1,8,22
"127",21.1,8,23
"128",21.1,8,24
"129",21.1,8,25
"130",21.5,8,26
"131",21.73,8,27
"132",22.2,8,28
"133",22.31,8,29
"134",22.42,8,30
"135",22.8,8,31
"136",22.8,9,1
"137",22.42,9,2
"138",22.3,9,3
"139",22.3,9,4
"140",22.44,9,5
"141",22.82,9,6
"142",23.3,9,7
