"ibegin","iend","length","begin","end","avgmin","avgmax","year","month"
79,100,22,1937-05-18,1937-06-08,3.36,11.52,1937,5
116,162,47,1937-06-24,1937-08-09,7.06,16.84,1937,6
183,208,26,1937-08-30,1937-09-24,11.73,22.9,1937,8
216,227,12,1937-10-02,1937-10-13,11.81,20.97,1937,10
273,283,11,1937-11-28,1938-01-08,4.34,14.7,1937,11
388,397,10,1938-04-23,1938-05-02,-1.94,5.01,1938,4
407,440,34,1938-05-12,1938-06-14,1.48,9.54,1938,5
443,457,15,1938-06-17,1938-07-01,0.92,9.34,1938,6
467,493,27,1938-07-11,1938-08-06,4.86,14.07,1938,7
505,518,14,1938-08-18,1938-08-31,8.01,20.59,1938,8
524,535,12,1938-09-06,1938-09-17,9.32,18.98,1938,9
561,570,10,1938-10-13,1938-10-22,13.51,24.43,1938,10
617,627,11,1938-12-08,1938-12-18,10.1,21.32,1938,12
742,753,12,1939-04-12,1939-04-23,1.96,7.09,1939,4
764,783,20,1939-05-04,1939-05-23,-1.84,5.34,1939,5
840,878,39,1939-07-19,1939-08-26,7.12,16.75,1939,7
883,892,10,1939-08-31,1939-09-09,8.83,16.5,1939,8
899,915,17,1939-09-16,1939-10-02,11.21,18.43,1939,9
1137,1155,19,1940-05-11,1940-05-29,1.94,8.92,1940,5
1164,1196,33,1940-06-07,1940-07-09,4.17,12.63,1940,6
1198,1211,14,1940-07-11,1940-07-24,7.1,15.73,1940,7
1217,1226,10,1940-07-30,1940-08-08,8.99,17,1940,7
1228,1238,11,1940-08-10,1940-08-20,8.89,19.19,1940,8
1250,1259,10,1940-09-01,1940-09-10,10.72,20.34,1940,9
1277,1287,11,1940-09-28,1940-10-08,11.66,22.13,1940,9
1414,1424,11,1941-02-12,1941-02-22,-0.41,7.17,1941,2
1437,1446,10,1941-03-07,1941-03-16,-2.01,5.28,1941,3
1478,1489,12,1941-04-17,1941-04-28,2.22,9.22,1941,4
1548,1570,23,1941-06-26,1941-07-18,5.92,14.26,1941,6
1573,1584,12,1941-07-21,1941-08-01,8.06,17.18,1941,7
1595,1605,11,1941-08-12,1941-08-22,8.08,15.66,1941,8
1663,1674,12,1941-10-19,1941-10-30,12.82,21.93,1941,10
1728,1742,15,1941-12-23,1942-01-06,7.95,15.26,1941,12
1827,1838,12,1942-04-01,1942-04-12,-4.17,2.98,1942,4
1911,1925,15,1942-06-24,1942-07-08,4.19,13.75,1942,6
1935,1945,11,1942-07-18,1942-07-28,6.06,13.58,1942,7
1947,1971,25,1942-07-30,1942-08-23,8.22,16.57,1942,7
1975,2008,34,1942-08-27,1942-09-29,10.69,19.13,1942,8
2151,2172,22,1943-02-19,1943-03-12,1.77,6.41,1943,2
2215,2225,11,1943-04-24,1943-05-04,-2.11,4.35,1943,4
2255,2266,12,1943-06-03,1943-06-14,-0.52,8.52,1943,6
2294,2317,24,1943-07-12,1943-08-04,6.01,14.35,1943,7
2321,2332,12,1943-08-08,1943-08-19,6.82,16.02,1943,8
2348,2362,15,1943-09-04,1943-09-18,10.26,19.49,1943,9
2549,2560,12,1944-03-23,1944-04-03,1.03,6.78,1944,3
2587,2600,14,1944-04-30,1944-05-13,1.78,7.71,1944,4
2620,2630,11,1944-06-02,1944-06-12,0.81,8.69,1944,6
2633,2667,35,1944-06-15,1944-07-19,3.97,12.23,1944,6
2697,2721,25,1944-08-18,1944-09-11,9.26,18.11,1944,8
2745,2760,16,1944-10-05,1944-10-20,12.21,22.63,1944,10
2809,2830,22,1944-12-08,1944-12-29,10.72,19.22,1944,12
2850,2862,13,1945-01-18,1945-01-30,8.38,14.36,1945,1
2871,2882,12,1945-02-08,1945-02-19,2.16,9.11,1945,2
2970,2985,16,1945-05-18,1945-06-02,-0.24,7.99,1945,5
2988,3028,41,1945-06-05,1945-07-15,3.02,10.01,1945,6
3043,3068,26,1945-07-30,1945-08-24,8.49,17.17,1945,7
3100,3119,20,1945-09-25,1945-10-14,11.52,22.67,1945,9
3173,3185,13,1945-12-07,1945-12-19,8.98,18.22,1945,12
3316,3337,22,1946-04-29,1946-05-20,0.89,6.44,1946,4
3394,3406,13,1946-07-16,1946-07-28,5.08,13.08,1946,7
3415,3439,25,1946-08-06,1946-08-30,9.29,19.34,1946,8
3455,3468,14,1946-09-15,1946-09-28,10.64,18.42,1946,9
3478,3487,10,1946-10-08,1946-10-17,11.51,21.52,1946,10
3701,3713,13,1947-05-19,1947-05-31,1.36,9.19,1947,5
3758,3780,23,1947-07-15,1947-08-06,6.91,16.5,1947,7
3782,3803,22,1947-08-08,1947-08-29,9.25,19.36,1947,8
3821,3835,15,1947-09-16,1947-09-30,11.07,20.33,1947,9
3938,3947,10,1948-01-11,1948-01-20,5.77,12.33,1948,1
4009,4019,11,1948-03-22,1948-04-01,2.99,8.45,1948,3
4078,4088,11,1948-05-30,1948-06-09,0.99,8.07,1948,5
4100,4111,12,1948-06-21,1948-07-02,2.75,10.8,1948,6
4117,4130,14,1948-07-08,1948-07-21,5.54,13.37,1948,7
4175,4184,10,1948-09-04,1948-09-13,13.56,21.28,1948,9
4212,4223,12,1948-10-11,1948-10-22,13.01,21.86,1948,10
4347,4363,17,1949-02-23,1949-03-11,1.31,6.71,1949,2
4415,4428,14,1949-05-02,1949-05-15,-4.21,1.94,1949,5
4474,4491,18,1949-06-30,1949-07-17,4.3,13.62,1949,6
4526,4545,20,1949-08-21,1949-09-09,9.78,19.5,1949,8
4555,4568,14,1949-09-19,1949-10-02,9.56,18.46,1949,9
4581,4591,11,1949-10-15,1949-10-25,12.26,19.54,1949,10
4594,4603,10,1949-10-28,1949-11-06,13.55,21.68,1949,10
4783,4793,11,1950-05-05,1950-05-15,1.26,6.62,1950,5
4807,4821,15,1950-05-29,1950-06-12,1.52,7.41,1950,5
4833,4846,14,1950-06-24,1950-07-07,2.66,10.59,1950,6
4848,4865,18,1950-07-09,1950-07-26,4.02,11.85,1950,7
