"yrmon","max_consec"
193701,0
193702,0
193703,3
193704,6
193705,21
193706,47
193707,40
193708,26
193709,24
193710,12
193711,3
193712,0
193801,8
193802,8
193803,6
193804,10
193805,34
193806,15
193807,27
193808,14
193809,12
193810,10
193811,9
193812,10
193901,4
193902,9
193903,8
193904,12
193905,17
193906,8
193907,39
193908,26
193909,9
193910,6
193911,3
193912,6
194001,7
194002,4
194003,7
194004,5
194005,11
194006,33
194007,14
194008,11
194009,11
194010,8
194011,8
194012,9
194101,5
194102,11
194103,10
194104,12
194105,7
194106,23
194107,18
194108,11
194109,5
194110,12
194111,7
194112,15
194201,6
194202,8
194203,5
194204,10
194205,7
194206,15
194207,25
194208,33
194209,29
194210,6
194211,3
194212,4
194301,8
194302,22
194303,12
194304,11
194305,6
194306,12
194307,24
194308,12
194309,15
194310,5
194311,7
194312,9
194401,6
194402,5
194403,8
194404,14
194405,13
194406,35
194407,19
194408,16
194409,11
194410,16
194411,8
194412,22
194501,13
194502,11
194503,4
194504,9
194505,16
194506,23
194507,26
194508,24
194509,20
194510,14
194511,4
194512,10
194601,6
194602,4
194603,4
194604,22
194605,20
194606,5
194607,13
194608,25
194609,14
194610,10
194611,6
194612,4
194701,4
194702,7
194703,7
194704,8
194705,13
194706,8
194707,11
194708,22
194709,15
194710,4
194711,4
194712,3
194801,10
194802,3
194803,10
194804,7
194805,11
194806,12
194807,14
194808,8
194809,10
194810,12
194811,5
194812,6
194901,7
194902,12
194903,6
194904,6
194905,14
194906,18
194907,17
194908,20
194909,14
194910,10
194911,6
194912,2
195001,6
195002,3
195003,2
195004,7
195005,15
195006,12
195007,18
195008,30
195009,22
195010,4
195011,4
195012,2
195101,6
195102,6
195103,28
195104,26
195105,8
195106,75
195107,57
195108,26
195109,16
195110,4
195111,12
195112,4
195201,2
195202,6
195203,4
195204,9
195205,8
195206,23
195207,28
195208,20
195209,20
195210,19
195211,12
195212,5
195301,3
195302,9
195303,9
195304,6
195305,9
195306,10
195307,20
195308,15
195309,10
195310,9
195311,2
195312,3
195401,11
195402,10
195403,16
195404,15
195405,11
195406,6
195407,35
195408,14
195409,13
195410,12
195411,8
195412,6
195501,4
195502,6
195503,9
195504,14
195505,18
195506,16
195507,8
195508,24
195509,12
195510,10
195511,7
195512,6
195601,11
195602,4
195603,7
195604,27
195605,16
195606,7
195607,18
195608,12
195609,10
195610,5
195611,14
195612,7
195701,18
195702,11
195703,4
195704,7
195705,16
195706,6
195707,11
195708,13
195709,19
195710,11
195711,9
195712,4
195801,3
195802,6
195803,8
195804,26
195805,18
195806,15
195807,25
195808,21
195809,12
195810,12
195811,6
195812,3
195901,9
195902,6
195903,4
195904,12
195905,7
195906,10
195907,28
195908,9
195909,10
195910,5
195911,7
195912,5
196001,5
196002,11
196003,8
196004,9
196005,14
196006,13
196007,42
196008,12
196009,13
196010,5
196011,6
196012,7
196101,11
196102,2
196103,4
196104,6
196105,10
196106,18
196107,39
196108,14
196109,22
196110,6
196111,5
196112,4
196201,5
196202,14
196203,8
196204,7
196205,4
196206,17
196207,16
196208,14
196209,13
196210,8
196211,3
196212,5
196301,10
196302,6
196303,13
196304,4
196305,29
196306,11
196307,20
196308,11
196309,11
196310,5
196311,7
196312,5
196401,3
196402,9
196403,5
196404,6
196405,8
196406,16
196407,7
196408,6
196409,12
196410,6
196411,10
196412,5
196501,4
196502,21
196503,20
196504,6
196505,11
196506,37
196507,18
196508,18
196509,12
196510,6
196511,3
196512,7
196601,6
196602,4
196603,9
196604,8
196605,5
196606,7
196607,17
196608,12
196609,9
196610,8
196611,4
196612,3
196701,2
196702,7
196703,6
196704,9
196705,13
196706,20
196707,16
196708,13
196709,18
196710,2
196711,7
196712,10
196801,4
196802,13
196803,5
196804,5
196805,9
196806,12
196807,24
196808,12
196809,10
196810,3
