"yrmon","max_3day","max_5day"
193703,17,19.3
193704,41.9,55.4
193705,20.3,27.2
193706,55.1,69.1
193707,0.8,0.8
193708,21.8,25.7
193709,39.4,40.5
193710,47.2,55.6
193711,38.6,56.8
193801,52.3,58.9
193802,27.9,28.2
193803,22.1,28.1
193804,28.4,35.5
193805,37.1,39.9
193806,14.5,14.8
193807,8.4,8.4
193808,4.8,7.2
193809,11.4,12.7
193810,32.8,39.3
193811,26.4,37.8
193812,102.1,123.1
193901,45.7,65
193902,28.7,40.1
193903,18.3,23.1
193904,10.5,12.4
193905,22.9,37.7
193906,15,20.8
193907,20.8,23.1
193908,12.2,14.3
193909,40.4,40.4
193910,34.8,41.7
193911,51.6,56.4
193912,53.1,66.4
194001,50.3,52.3
194002,48.3,65.4
194003,34,41.6
194004,27.4,37.3
194005,34.8,34.8
194006,5.4,5.4
194007,17.8,27.5
194008,14.2,16.7
194009,22.6,22.6
194010,69.6,86.4
194011,27.2,33.3
194012,79.8,103.2
194101,51.8,55.3
194102,60.2,79.7
194103,21.2,39.8
194104,26.5,35.4
194105,52.3,56.9
194106,17.3,17.3
194107,8.3,8.3
194108,28.4,51.1
194109,42.2,42.2
194110,57.4,76.2
194111,38.4,53.9
194112,39.9,55.4
194201,22.5,28.9
194202,24.1,29.3
194203,21.6,24.1
194204,22.1,23.1
194205,20.6,22.1
194206,42.7,46.5
194207,33.6,40.2
194208,7.1,8.1
194209,5.9,9.9
194210,38.3,49.2
194211,31.3,47.8
194212,27.4,43.4
194301,40.2,41
194302,32.2,50.1
194303,38.4,43.5
194304,26.9,26.9
194305,25.9,27.2
194306,8.4,8.9
194307,14.3,16.6
194308,39.8,40.1
194309,23.8,23.8
194310,32.8,36.9
194311,36,46.4
194312,50.5,51.5
194401,39.1,63.3
194402,28.7,33.6
194403,17.6,18.1
194404,19.1,21.1
194405,11.7,18.1
194406,13,13.5
194407,4.6,7.4
194408,5.1,8.9
194409,32.6,46.8
194410,69.4,70
194411,40.4,66.4
194412,38.9,44.3
194501,54.1,59.2
194502,68.9,93.7
194503,33.3,50.6
194504,22.4,23.7
194505,13.7,17.7
194506,10.7,10.7
194507,10.4,15.2
194508,15,40.1
194509,25.9,30.5
194510,72.4,82.6
194511,68.1,79.5
194512,41.6,48.2
194601,48.7,59.2
194602,51.1,77.2
194603,48.8,62.2
194604,62.3,67.9
194605,23.9,24.7
194606,37.1,37.1
194607,15.2,18.8
194608,9.4,11.9
194609,16.2,19.5
194610,37.4,60.3
194611,43.2,65.8
194612,31.3,51.1
194701,52.8,66.5
194702,71.6,84
194703,45.9,47.4
194704,28.7,37.8
194705,19.3,20.8
194706,17.3,21.2
194707,22.1,31.9
194708,3.8,5.1
194709,42.6,42.6
194710,42.6,64
194711,26.2,29.2
194712,59.2,80.5
194801,32.5,40.1
194802,61.2,92.9
194803,22.8,26.8
194804,20.5,24.6
194805,28.1,47.4
194806,11.1,19.5
194807,19.8,26.1
194808,40.7,52.3
194809,18.4,23
194810,20.8,37.3
194811,54.8,91.4
194812,41.4,55.9
194901,10.2,18.3
194902,55.4,60.5
194903,36.3,50.6
194904,16.5,23.6
194905,16.6,16.6
194906,18.1,19.4
194907,13,19.6
194908,8.1,9.9
194909,18,38.8
194910,40.3,44.6
194911,45.7,65.7
194912,59.2,68.6
195001,39.1,59.7
195002,48.5,80
195003,62,69.7
195004,30.8,43.6
195005,8.7,11.3
