"avgexc","nexc","year","month"
0,0,1937,1
0,0,1937,2
2.654,5,1937,3
1.1,1,1937,4
0.99,2,1937,5
2.1,5,1937,6
1.357,3,1937,7
0,0,1937,8
1.83,3,1937,9
1.265,6,1937,10
0.78,5,1937,11
0.995,4,1937,12
0.6,1,1938,1
0.38,1,1938,2
1.027,3,1938,3
1.65,2,1938,4
1.63,6,1938,5
2.167,3,1938,6
1.495,2,1938,7
0.3,1,1938,8
2.8,2,1938,9
0.625,4,1938,10
0.5,1,1938,11
0.7,3,1938,12
0.445,2,1939,1
0,0,1939,2
3.73,3,1939,3
2.43,6,1939,4
2.95,4,1939,5
0,0,1939,6
0,0,1939,7
1.99,3,1939,8
0,0,1939,9
1,1,1939,10
2.424,8,1939,11
1.723,15,1939,12
1.762,6,1940,1
0.98,1,1940,2
1.378,5,1940,3
1.874,9,1940,4
0.984,8,1940,5
0.725,4,1940,6
2.98,1,1940,7
2.2,1,1940,8
1.65,2,1940,9
1.259,8,1940,10
0.845,2,1940,11
2.02,6,1940,12
2.056,8,1941,1
1.677,6,1941,2
2.486,10,1941,3
1.372,8,1941,4
0,0,1941,5
2.8,1,1941,6
3.132,5,1941,7
1.895,2,1941,8
0,0,1941,9
1.15,2,1941,10
1.267,10,1941,11
1.678,5,1941,12
0.79,3,1942,1
0.445,2,1942,2
1.845,2,1942,3
1.448,6,1942,4
2.39,1,1942,5
2.1,3,1942,6
3.528,6,1942,7
2.151,7,1942,8
0.6,1,1942,9
1.684,8,1942,10
0,0,1942,11
0.833,3,1942,12
0,0,1943,1
2.94,2,1943,2
0.99,1,1943,3
1.623,7,1943,4
0.78,1,1943,5
0,0,1943,6
0.5,1,1943,7
0,0,1943,8
0.754,5,1943,9
1.467,4,1943,10
1.24,5,1943,11
0.72,3,1943,12
0.55,2,1944,1
0,0,1944,2
2.2,1,1944,3
1.841,7,1944,4
1.985,2,1944,5
2.2,4,1944,6
1.19,4,1944,7
1.7,1,1944,8
2.46,8,1944,9
0.516,5,1944,10
0.55,2,1944,11
1.35,2,1944,12
1.89,5,1945,1
1.197,3,1945,2
0,0,1945,3
0,0,1945,4
1.35,7,1945,5
0,0,1945,6
1.167,7,1945,7
0.895,2,1945,8
0.6,1,1945,9
1.665,6,1945,10
1.39,1,1945,11
0.852,5,1945,12
0,0,1946,1
0,0,1946,2
0.29,1,1946,3
0.345,4,1946,4
2.129,8,1946,5
3.4,1,1946,6
2.345,2,1946,7
1.64,2,1946,8
1.23,3,1946,9
0,0,1946,10
2,1,1946,11
0.687,3,1946,12
0,0,1947,1
1.4,1,1947,2
1.483,6,1947,3
2.95,7,1947,4
2.831,8,1947,5
0.35,2,1947,6
0,0,1947,7
0,0,1947,8
1.738,5,1947,9
1.95,2,1947,10
0,0,1947,11
0.797,4,1947,12
0,0,1948,1
0,0,1948,2
0.9,1,1948,3
1,1,1948,4
0,0,1948,5
2.02,4,1948,6
0.38,1,1948,7
0,0,1948,8
0,0,1948,9
1.395,2,1948,10
0,0,1948,11
0,0,1948,12
0,0,1949,1
0,0,1949,2
2.4,1,1949,3
1.914,5,1949,4
1.361,9,1949,5
1.7,1,1949,6
1.95,2,1949,7
1.145,2,1949,8
1.566,7,1949,9
1.7,1,1949,10
1.595,13,1949,11
0.5,2,1949,12
0,0,1950,1
0,0,1950,2
0,0,1950,3
2.45,2,1950,4
1.09,2,1950,5
1.36,5,1950,6
0.754,5,1950,7
1.77,7,1950,8
1.963,3,1950,9
0.69,1,1950,10
1.445,4,1950,11
0.987,10,1950,12
0,0,1951,1
0,0,1951,2
0,0,1951,3
2.096,7,1951,4
0.6,1,1951,5
1.683,6,1951,6
2.636,5,1951,7
0,0,1951,8
2.467,4,1951,9
0.97,4,1951,10
0.5,1,1951,11
0,0,1951,12
0.89,1,1952,1
1.39,1,1952,2
0,0,1952,3
0.676,5,1952,4
1.033,3,1952,5
0,0,1952,6
0.756,5,1952,7
1.395,2,1952,8
2.158,5,1952,9
0.646,8,1952,10
0.19,1,1952,11
1.816,5,1952,12
1.667,7,1953,1
0,0,1953,2
2.29,1,1953,3
1.39,2,1953,4
2.225,6,1953,5
0,0,1953,6
2.693,3,1953,7
1.1,1,1953,8
0.674,5,1953,9
1.27,4,1953,10
1.015,6,1953,11
0.5,1,1953,12
0,0,1954,1
2.8,1,1954,2
0.54,2,1954,3
0,0,1954,4
1.69,3,1954,5
0,0,1954,6
0,0,1954,7
0,0,1954,8
0,0,1954,9
1.1,1,1954,10
1.264,9,1954,11
0.55,2,1954,12
0,0,1955,1
0,0,1955,2
0,0,1955,3
2.38,1,1955,4
0,0,1955,5
2.75,2,1955,6
0.6,1,1955,7
1.09,1,1955,8
2.39,1,1955,9
0,0,1955,10
0,0,1955,11
0,0,1955,12
0.29,1,1956,1
0,0,1956,2
0,0,1956,3
1.156,7,1956,4
2.356,8,1956,5
0,0,1956,6
1.878,5,1956,7
1.518,5,1956,8
1.19,1,1956,9
0,0,1956,10
0,0,1956,11
1.02,4,1956,12
0,0,1957,1
0,0,1957,2
0.427,3,1957,3
1.8,2,1957,4
1.577,12,1957,5
0.6,1,1957,6
0,0,1957,7
0,0,1957,8
1.103,9,1957,9
0.794,5,1957,10
1.395,2,1957,11
1.294,5,1957,12
1.26,3,1958,1
1.837,7,1958,2
1.222,4,1958,3
1.227,3,1958,4
2.346,14,1958,5
2.514,10,1958,6
1.949,16,1958,7
0.836,7,1958,8
0.795,2,1958,9
2.03,3,1958,10
1.367,3,1958,11
1.606,8,1958,12
0.992,6,1959,1
0.38,1,1959,2
0,0,1959,3
1.62,5,1959,4
2.663,3,1959,5
2.4,3,1959,6
1.495,4,1959,7
0,0,1959,8
0,0,1959,9
0,0,1959,10
2.3,2,1959,11
0.885,2,1959,12
0.872,4,1960,1
0.995,2,1960,2
3.997,3,1960,3
2.565,6,1960,4
2.8,1,1960,5
0,0,1960,6
1.923,9,1960,7
4.467,3,1960,8
0.7,1,1960,9
1.25,2,1960,10
0,0,1960,11
1.695,2,1960,12
1.459,8,1961,1
1.945,2,1961,2
0.936,5,1961,3
0,0,1961,4
2.723,3,1961,5
1.175,8,1961,6
2.972,5,1961,7
1.01,6,1961,8
1.1,1,1961,9
2,4,1961,10
0.5,1,1961,11
1.133,3,1961,12
0.542,4,1962,1
2.35,4,1962,2
1.7,1,1962,3
1.993,6,1962,4
0,0,1962,5
1.525,4,1962,6
0.49,1,1962,7
0,0,1962,8
0.95,2,1962,9
2.278,5,1962,10
1.536,5,1962,11
1.233,6,1962,12
0.6,2,1963,1
1.389,11,1963,2
2.8,1,1963,3
1.067,3,1963,4
3.495,6,1963,5
1.647,3,1963,6
0,0,1963,7
1.7,1,1963,8
1.27,8,1963,9
2.443,6,1963,10
0.99,2,1963,11
1.95,6,1963,12
0.39,2,1964,1
0.98,1,1964,2
2.45,2,1964,3
0,0,1964,4
0.6,1,1964,5
0,0,1964,6
0.595,2,1964,7
1.257,3,1964,8
0,0,1964,9
1.67,4,1964,10
0.5,1,1964,11
1.1,2,1964,12
0,0,1965,1
