"","q90","month","day"
"1",9.4,1,1
"2",9.4,1,2
"3",9.5,1,3
"4",9.61,1,4
"5",9.51,1,5
"6",9.5,1,6
"7",9.51,1,7
"8",9.71,1,8
"9",9.8,1,9
"10",9.82,1,10
"11",10,1,11
"12",10,1,12
"13",10.2,1,13
"14",10.6,1,14
"15",10.2,1,15
"16",10.6,1,16
"17",10.6,1,17
"18",10.31,1,18
"19",10,1,19
"20",10.02,1,20
"21",10.41,1,21
"22",10.02,1,22
"23",10,1,23
"24",10.11,1,24
"25",10.11,1,25
"26",10.11,1,26
"27",10.21,1,27
"28",10.31,1,28
"29",10.6,1,29
"30",10.6,1,30
"31",10.6,1,31
"32",10.81,2,1
"33",11.1,2,2
"34",11.1,2,3
"35",11.1,2,4
"36",11.1,2,5
"37",11.11,2,6
"38",11.1,2,7
"39",11.1,2,8
"40",11.2,2,9
"41",11.11,2,10
"42",11.2,2,11
"43",11.4,2,12
"44",11.4,2,13
"45",11.3,2,14
"46",11.5,2,15
"47",11.51,2,16
"48",11.7,2,17
"49",11.7,2,18
"50",11.7,2,19
"51",11.7,2,20
"52",11.71,2,21
"53",11.8,2,22
"54",11.8,2,23
"55",11.82,2,24
"56",12.11,2,25
"57",12.2,2,26
"58",12.01,2,27
"59",11.82,2,28
"60",12.2,3,1
"61",12.2,3,2
"62",12.21,3,3
"63",12.2,3,4
"64",12.3,3,5
"65",12.6,3,6
"66",12.51,3,7
"67",12.51,3,8
"68",12.71,3,9
"69",12.8,3,10
"70",12.8,3,11
"71",12.8,3,12
"72",13.01,3,13
"73",13.11,3,14
"74",13.3,3,15
"75",13.3,3,16
"76",13.3,3,17
"77",13.2,3,18
"78",13.3,3,19
"79",13.3,3,20
"80",13.3,3,21
"81",13.3,3,22
"82",13.31,3,23
"83",13.41,3,24
"84",13.5,3,25
"85",13.41,3,26
"86",13.5,3,27
"87",13.5,3,28
"88",13.9,3,29
"89",13.9,3,30
"90",13.91,3,31
"91",14,4,1
"92",14.4,4,2
"93",14.4,4,3
"94",14.4,4,4
"95",14.6,4,5
"96",14.82,4,6
"97",15,4,7
"98",15,4,8
"99",15,4,9
"100",15.1,4,10
"101",15.2,4,11
"102",15.4,4,12
"103",15.4,4,13
"104",15.51,4,14
"105",15.51,4,15
"106",15.6,4,16
"107",15.61,4,17
"108",16.01,4,18
"109",16.1,4,19
"110",16.2,4,20
"111",16.3,4,21
"112",16.8,4,22
"113",17.11,4,23
"114",17.2,4,24
"115",17.2,4,25
"116",17.21,4,26
"117",17.41,4,27
"118",17.8,4,28
"119",18,4,29
"120",18.3,4,30
"121",18.3,5,1
"122",18.4,5,2
"123",18.42,5,3
"124",18.71,5,4
"125",18.61,5,5
"126",18.71,5,6
"127",18.71,5,7
"128",18.81,5,8
"129",18.9,5,9
"130",18.91,5,10
"131",19.31,5,11
"132",19.4,5,12
"133",19.4,5,13
"134",19.9,5,14
"135",20,5,15
"136",20,5,16
"137",20.2,5,17
"138",20.21,5,18
"139",20.32,5,19
"140",20.5,5,20
"141",21.1,5,21
"142",21.1,5,22
"143",21.1,5,23
"144",21.1,5,24
"145",21.21,5,25
"146",21.51,5,26
"147",21.7,5,27
"148",21.7,5,28
"149",21.9,5,29
"150",22.2,5,30
"151",22.2,5,31
"152",22.2,6,1
"153",22.2,6,2
"154",22.2,6,3
"155",22.4,6,4
"156",22.2,6,5
"157",22.2,6,6
"158",22.42,6,7
"159",22.8,6,8
"160",22.8,6,9
"161",22.8,6,10
"162",22.8,6,11
"163",22.8,6,12
"164",22.8,6,13
"165",22.8,6,14
"166",22.8,6,15
"167",23.2,6,16
"168",23.36,6,17
"169",23.9,6,18
"170",23.9,6,19
"171",23.9,6,20
"172",23.9,6,21
"173",23.9,6,22
"174",23.9,6,23
"175",23.9,6,24
"176",23.9,6,25
"177",23.9,6,26
"178",23.9,6,27
"179",23.9,6,28
"180",23.9,6,29
"181",24.2,6,30
"182",24.22,7,1
"183",24.4,7,2
"184",24.21,7,3
"185",24.4,7,4
"186",24.5,7,5
"187",24.53,7,6
"188",24.81,7,7
"189",24.91,7,8
"190",25,7,9
"191",25,7,10
"192",24.91,7,11
"193",25,7,12
"194",25,7,13
"195",25,7,14
"196",25.1,7,15
"197",25.11,7,16
"198",25.22,7,17
"199",25.51,7,18
"200",25.6,7,19
"201",25.6,7,20
"202",25.6,7,21
"203",25.6,7,22
"204",25.82,7,23
"205",26.1,7,24
"206",26.1,7,25
"207",25.83,7,26
"208",25.71,7,27
"209",25.7,7,28
"210",25.61,7,29
"211",25.61,7,30
"212",25.71,7,31
"213",26.1,8,1
"214",26.1,8,2
"215",26.1,8,3
"216",26.11,8,4
"217",26.11,8,5
"218",26.11,8,6
"219",26.1,8,7
"220",26.1,8,8
"221",26.1,8,9
"222",26.23,8,10
"223",26.52,8,11
"224",26.11,8,12
"225",26.1,8,13
"226",26.1,8,14
"227",26,8,15
"228",25.63,8,16
"229",25.6,8,17
"230",25,8,18
"231",25,8,19
"232",24.51,8,20
"233",24.5,8,21
"234",24.4,8,22
"235",24.4,8,23
"236",24.2,8,24
"237",24.1,8,25
"238",24.1,8,26
"239",24.1,8,27
"240",24.01,8,28
"241",23.91,8,29
"242",23.9,8,30
"243",24,8,31
"244",23.9,9,1
"245",23.9,9,2
"246",23.7,9,3
"247",23.31,9,4
"248",23.3,9,5
"249",23.21,9,6
"250",23.11,9,7
"251",23.2,9,8
"252",23.01,9,9
"253",22.8,9,10
"254",22.6,9,11
"255",22.2,9,12
"256",22.2,9,13
"257",22.1,9,14
"258",22.01,9,15
"259",21.72,9,16
"260",21.7,9,17
"261",21.7,9,18
"262",21.7,9,19
"263",21.7,9,20
"264",21.7,9,21
"265",21.31,9,22
"266",21.1,9,23
"267",21.1,9,24
"268",21.1,9,25
"269",21.1,9,26
"270",20.65,9,27
"271",20.4,9,28
"272",20.11,9,29
"273",20,9,30
"274",19.52,10,1
"275",19.4,10,2
"276",19.4,10,3
"277",18.9,10,4
"278",18.31,10,5
"279",18.3,10,6
"280",18.21,10,7
"281",18,10,8
"282",17.8,10,9
"283",17.61,10,10
"284",17.31,10,11
"285",17.2,10,12
"286",17.2,10,13
"287",17,10,14
"288",16.7,10,15
"289",16.7,10,16
"290",16.31,10,17
"291",16.1,10,18
"292",15.7,10,19
"293",15.6,10,20
"294",15.51,10,21
"295",15.3,10,22
"296",15,10,23
"297",15,10,24
"298",15,10,25
"299",15,10,26
"300",15,10,27
"301",15,10,28
"302",14.91,10,29
"303",14.8,10,30
"304",14.4,10,31
"305",14.4,11,1
"306",14.21,11,2
"307",14.21,11,3
"308",13.9,11,4
"309",13.7,11,5
"310",13.6,11,6
"311",13.5,11,7
"312",13.3,11,8
"313",12.81,11,9
"314",12.8,11,10
"315",12.8,11,11
"316",12.8,11,12
"317",12.8,11,13
"318",12.3,11,14
"319",12.2,11,15
"320",12.2,11,16
"321",12.2,11,17
"322",11.72,11,18
"323",11.7,11,19
"324",11.4,11,20
"325",11.2,11,21
"326",11.1,11,22
"327",11.1,11,23
"328",11,11,24
"329",11.01,11,25
"330",10.91,11,26
"331",10.8,11,27
"332",10.6,11,28
"333",10.6,11,29
"334",10.6,11,30
"335",10.6,12,1
"336",10.51,12,2
"337",10.23,12,3
"338",10.6,12,4
"339",10.6,12,5
"340",10.6,12,6
"341",10.6,12,7
"342",10.6,12,8
"343",10.6,12,9
"344",10.6,12,10
"345",10.6,12,11
"346",10.51,12,12
"347",10.51,12,13
"348",10.5,12,14
"349",10.5,12,15
"350",10.5,12,16
"351",10.5,12,17
"352",10.41,12,18
"353",10.12,12,19
"354",10.01,12,20
"355",10,12,21
"356",10,12,22
"357",10,12,23
"358",10,12,24
"359",10,12,25
"360",10,12,26
"361",9.71,12,27
"362",9.5,12,28
"363",9.4,12,29
"364",9.4,12,30
"365",9.4,12,31
