"yrmon","max_consec","Station","year","month"
193701,5,"Abbotsford",1937,1
193702,3,"Abbotsford",1937,2
193703,4,"Abbotsford",1937,3
193704,4,"Abbotsford",1937,4
193705,11,"Abbotsford",1937,5
193706,8,"Abbotsford",1937,6
193707,28,"Abbotsford",1937,7
193708,7,"Abbotsford",1937,8
193709,11,"Abbotsford",1937,9
193710,13,"Abbotsford",1937,10
193711,4,"Abbotsford",1937,11
193712,9,"Abbotsford",1937,12
193801,7,"Abbotsford",1938,1
193802,8,"Abbotsford",1938,2
193803,8,"Abbotsford",1938,3
193804,7,"Abbotsford",1938,4
193805,18,"Abbotsford",1938,5
193806,15,"Abbotsford",1938,6
193807,21,"Abbotsford",1938,7
193808,14,"Abbotsford",1938,8
193809,8,"Abbotsford",1938,9
193810,10,"Abbotsford",1938,10
193811,9,"Abbotsford",1938,11
193812,10,"Abbotsford",1938,12
193901,3,"Abbotsford",1939,1
193902,6,"Abbotsford",1939,2
193903,5,"Abbotsford",1939,3
193904,10,"Abbotsford",1939,4
193905,13,"Abbotsford",1939,5
193906,7,"Abbotsford",1939,6
193907,36,"Abbotsford",1939,7
193908,24,"Abbotsford",1939,8
193909,17,"Abbotsford",1939,9
193910,6,"Abbotsford",1939,10
193911,6,"Abbotsford",1939,11
193912,6,"Abbotsford",1939,12
194001,8,"Abbotsford",1940,1
194002,2,"Abbotsford",1940,2
194003,7,"Abbotsford",1940,3
194004,7,"Abbotsford",1940,4
194005,5,"Abbotsford",1940,5
194006,27,"Abbotsford",1940,6
194007,14,"Abbotsford",1940,7
194008,11,"Abbotsford",1940,8
194009,8,"Abbotsford",1940,9
194010,8,"Abbotsford",1940,10
194011,8,"Abbotsford",1940,11
194012,9,"Abbotsford",1940,12
194101,5,"Abbotsford",1941,1
194102,11,"Abbotsford",1941,2
194103,9,"Abbotsford",1941,3
194104,13,"Abbotsford",1941,4
194105,7,"Abbotsford",1941,5
194106,24,"Abbotsford",1941,6
194107,19,"Abbotsford",1941,7
194108,10,"Abbotsford",1941,8
194109,5,"Abbotsford",1941,9
194110,8,"Abbotsford",1941,10
194111,6,"Abbotsford",1941,11
194112,15,"Abbotsford",1941,12
194201,6,"Abbotsford",1942,1
194202,15,"Abbotsford",1942,2
194203,6,"Abbotsford",1942,3
194204,10,"Abbotsford",1942,4
194205,8,"Abbotsford",1942,5
194206,19,"Abbotsford",1942,6
194207,38,"Abbotsford",1942,7
194208,24,"Abbotsford",1942,8
194209,13,"Abbotsford",1942,9
194210,11,"Abbotsford",1942,10
194211,5,"Abbotsford",1942,11
194212,3,"Abbotsford",1942,12
194301,6,"Abbotsford",1943,1
194302,21,"Abbotsford",1943,2
194303,11,"Abbotsford",1943,3
194304,8,"Abbotsford",1943,4
