"begin","end","starttemp","endtemp","avgexc","year","month","station"
"1940-01-27","1940-01-29",10.6,13.3,1.493,1940,1,"YVR"
"1940-04-09","1940-04-13",15.6,17.8,2.36,1940,4,"YVR"
"1940-05-21","1940-05-23",21.7,21.7,0.967,1940,5,"YVR"
"1940-10-17","1940-10-21",16.7,15.6,1.716,1940,10,"YVR"
"1940-12-18","1940-12-21",11.7,13.9,1.965,1940,12,"YVR"
"1941-01-26","1941-01-28",11.1,13.9,2.023,1941,1,"YVR"
"1941-02-03","1941-02-06",14.4,12.2,1.647,1941,2,"YVR"
"1941-03-26","1941-03-31",16.7,16.1,2.897,1941,3,"YVR"
"1941-04-25","1941-04-27",18.3,18.9,2.36,1941,4,"YVR"
"1941-07-14","1941-07-18",26.7,27.2,3.132,1941,7,"YVR"
"1941-11-08","1941-11-11",13.9,13.9,0.672,1941,11,"YVR"
"1942-06-29","1942-07-04",24.4,25.6,3.378,1942,6,"YVR"
"1942-08-14","1942-08-16",27.8,27.2,2.623,1942,8,"YVR"
"1942-12-14","1942-12-16",10.6,12.8,0.833,1942,12,"YVR"
"1943-04-11","1943-04-15",16.1,16.7,1.836,1943,4,"YVR"
"1944-04-02","1944-04-05",20,15,2.375,1944,4,"YVR"
"1944-09-08","1944-09-11",23.9,28.9,2.797,1944,9,"YVR"
"1944-10-28","1944-10-30",15.6,15,0.497,1944,10,"YVR"
"1945-01-07","1945-01-10",13.3,12.8,2.24,1945,1,"YVR"
"1945-07-07","1945-07-13",25.6,26.1,1.167,1945,7,"YVR"
"1945-12-02","1945-12-04",11.1,11.1,1.02,1945,12,"YVR"
"1947-04-13","1947-04-16",15.6,22.8,3.12,1947,4,"YVR"
"1947-05-23","1947-05-27",23.3,24.4,3.976,1947,5,"YVR"
"1947-12-25","1947-12-27",10.6,10.6,0.863,1947,12,"YVR"
"1949-05-07","1949-05-11",18.9,22.2,1.512,1949,5,"YVR"
"1949-09-04","1949-09-09",25.6,23.9,1.727,1949,9,"YVR"
"1949-11-02","1949-11-04",16.7,16.1,2.393,1949,11,"YVR"
"1949-11-24","1949-11-27",13.3,12.8,1.97,1949,11,"YVR"
"1950-07-03","1950-07-05",24.4,25,0.43,1950,7,"YVR"
"1950-08-18","1950-08-21",25.6,25,1.098,1950,8,"YVR"
"1950-11-24","1950-11-27",11.7,11.1,1.445,1950,11,"YVR"
"1950-12-19","1950-12-24",10.6,12.2,1.295,1950,12,"YVR"
"1951-06-28","1951-06-30",25.6,25,2.3,1951,6,"YVR"
"1951-07-10","1951-07-12",26.7,30,3.73,1951,7,"YVR"
"1951-09-14","1951-09-16",23.9,23.9,2.523,1951,9,"YVR"
"1951-10-07","1951-10-10",18.3,17.8,0.97,1951,10,"YVR"
"1952-04-16","1952-04-18",16.1,17.8,0.927,1952,4,"YVR"
"1952-07-09","1952-07-11",25.6,26.1,0.797,1952,7,"YVR"
"1952-09-21","1952-09-24",23.3,22.2,2.572,1952,9,"YVR"
"1952-10-05","1952-10-07",18.9,18.9,0.627,1952,10,"YVR"
"1952-10-19","1952-10-21",16.7,15.6,0.53,1952,10,"YVR"
"1952-12-12","1952-12-14",12.8,10.6,2.093,1952,12,"YVR"
"1953-05-03","1953-05-06",18.9,21.1,2.212,1953,5,"YVR"
"1953-10-06","1953-10-08",20.6,19.4,1.463,1953,10,"YVR"
"1953-11-10","1953-11-12",13.9,14.4,1.433,1953,11,"YVR"
"1956-04-19","1956-04-21",16.7,20,1.967,1956,4,"YVR"
"1956-04-24","1956-04-26",17.8,17.8,0.597,1956,4,"YVR"
"1956-05-15","1956-05-19",21.1,23.3,2.514,1956,5,"YVR"
"1956-07-18","1956-07-20",26.7,29.4,2.563,1956,7,"YVR"
"1956-08-20","1956-08-22",25.6,29.4,2.197,1956,8,"YVR"
"1957-05-03","1957-05-08",18.9,20,1.538,1957,5,"YVR"
"1957-05-29","1957-05-31",22.8,22.8,1.233,1957,5,"YVR"
"1957-09-13","1957-09-15",22.8,22.8,0.497,1957,9,"YVR"
"1958-02-18","1958-02-21",14.4,12.8,1.623,1958,2,"YVR"
"1958-05-17","1958-05-27",21.1,23.9,2.414,1958,5,"YVR"
"1958-06-16","1958-06-23",25,26.1,2.517,1958,6,"YVR"
"1958-07-02","1958-07-07",25,27.2,2.092,1958,7,"YVR"
"1958-07-14","1958-07-17",26.1,27.2,2.367,1958,7,"YVR"
"1958-07-27","1958-07-29",28.3,26.1,2.46,1958,7,"YVR"
"1958-08-20","1958-08-22",25,25,0.53,1958,8,"YVR"
"1958-11-29","1958-12-03",11.7,11.7,1.732,1958,11,"YVR"
"1959-01-08","1959-01-11",11.7,10.6,1.167,1959,1,"YVR"
"1959-04-08","1959-04-10",15.6,18.9,2.4,1959,4,"YVR"
"1960-01-28","1960-02-01",10.6,11.7,0.876,1960,1,"YVR"
"1960-07-15","1960-07-18",27.2,25.6,1.44,1960,7,"YVR"
"1960-08-07","1960-08-09",26.7,33.3,4.467,1960,8,"YVR"
"1961-01-09","1961-01-11",10,12.2,1.593,1961,1,"YVR"
"1961-05-17","1961-05-19",21.1,25.6,2.723,1961,5,"YVR"
"1961-06-01","1961-06-03",23.3,23.9,1.667,1961,6,"YVR"
"1961-07-11","1961-07-13",26.1,31.7,4.497,1961,7,"YVR"
"1961-10-13","1961-10-15",21.7,18.9,2.5,1961,10,"YVR"
"1962-04-17","1962-04-19",17.8,17.2,3.16,1962,4,"YVR"
"1962-06-23","1962-06-25",25.6,25,1.867,1962,6,"YVR"
"1962-12-14","1962-12-16",13.3,10.6,1.9,1962,12,"YVR"
"1962-12-30","1963-01-02",10,10,0.6,1962,12,"YVR"
"1963-02-03","1963-02-08",13.3,14.4,1.765,1963,2,"YVR"
"1963-05-18","1963-05-21",23.9,28.9,4.617,1963,5,"YVR"
"1963-12-22","1963-12-24",10.6,13.3,1.867,1963,12,"YVR"
"1963-12-30","1964-01-01",11.1,10,2.067,1963,12,"YVR"
"1965-07-29","1965-08-01",27.8,27.8,2.842,1965,7,"YVR"
"1966-03-28","1966-03-30",16.1,16.1,2.167,1966,3,"YVR"
"1966-04-04","1966-04-07",15.6,17.2,1.695,1966,4,"YVR"
"1966-12-16","1966-12-19",10.6,11.7,0.767,1966,12,"YVR"
"1967-06-16","1967-06-19",23.9,27.8,1.71,1967,6,"YVR"
"1967-08-09","1967-08-11",27.2,26.7,0.95,1967,8,"YVR"
"1967-08-15","1967-08-17",27.2,27.8,2.59,1967,8,"YVR"
"1967-08-26","1967-08-30",25.6,24.4,2.656,1967,8,"YVR"
"1967-09-03","1967-09-05",25.6,23.9,1.197,1967,9,"YVR"
"1968-01-13","1968-01-15",11.1,10.6,1.333,1968,1,"YVR"
"1968-01-20","1968-01-24",14.4,10.6,1.788,1968,1,"YVR"
"1968-02-27","1968-03-01",13.3,13.3,1.337,1968,2,"YVR"
"1968-03-20","1968-03-22",13.9,15,0.967,1968,3,"YVR"
"1968-05-17","1968-05-19",21.7,22.2,1.423,1968,5,"YVR"
"1968-07-01","1968-07-03",25,25.6,1.657,1968,7,"YVR"
"1968-10-27","1968-10-29",17.8,16.7,1.897,1968,10,"YVR"
"1968-11-19","1968-11-21",15.6,12.2,2.633,1968,11,"YVR"
"1969-06-14","1969-06-18",25,28.9,4.008,1969,6,"YVR"
"1970-06-01","1970-06-03",28.3,26.7,6.333,1970,6,"YVR"
"1971-08-08","1971-08-10",27.8,28.3,1.623,1971,8,"YVR"
"1972-03-16","1972-03-18",16.7,13.9,1.567,1972,3,"YVR"
"1972-07-03","1972-07-05",26.7,26.7,2.497,1972,7,"YVR"
"1972-12-18","1972-12-20",11.1,10.6,0.753,1972,12,"YVR"
"1973-05-12","1973-05-17",20.6,22.2,2.317,1973,5,"YVR"
"1974-01-14","1974-01-16",11.1,11.1,1.2,1974,1,"YVR"
"1974-08-28","1974-08-30",25.6,26.7,2.56,1974,8,"YVR"
"1974-09-01","1974-09-03",25,25.6,2.1,1974,9,"YVR"
"1974-09-20","1974-09-24",23.9,23.9,1.738,1974,9,"YVR"
"1974-10-15","1974-10-19",19.4,16.7,1.578,1974,10,"YVR"
"1975-07-04","1975-07-08",25,25.6,1.27,1975,7,"YVR"
"1975-11-03","1975-11-05",15,13.9,1.43,1975,11,"YVR"
"1976-04-28","1976-05-01",21.7,18.9,4,1976,4,"YVR"
"1976-12-14","1976-12-17",11.7,11.1,1.725,1976,12,"YVR"
"1977-01-17","1977-01-19",11.8,10.4,0.83,1977,1,"YVR"
"1977-02-06","1977-02-08",12,12.5,0.83,1977,2,"YVR"
"1977-02-18","1977-02-20",11.8,13.4,1.467,1977,2,"YVR"
"1977-04-05","1977-04-07",16.4,22.7,4.593,1977,4,"YVR"
"1977-04-22","1977-04-25",18,19.5,2.022,1977,4,"YVR"
"1977-08-04","1977-08-06",27.6,26.7,1.657,1977,8,"YVR"
"1978-06-02","1978-06-06",23,26.3,1.96,1978,6,"YVR"
"1978-07-13","1978-07-15",26.6,25.2,1.167,1978,7,"YVR"
"1978-07-20","1978-07-23",26.5,28.1,1.845,1978,7,"YVR"
"1978-08-06","1978-08-09",26.7,27,1.847,1978,8,"YVR"
"1979-04-26","1979-04-29",17.3,18.3,1.12,1979,4,"YVR"
"1979-06-01","1979-06-03",22.4,23,1.167,1979,6,"YVR"
"1979-07-16","1979-07-18",27,26,1.953,1979,7,"YVR"
"1979-12-17","1979-12-20",11.1,10.5,0.84,1979,12,"YVR"
"1980-02-26","1980-02-29",12.3,12,0.537,1980,2,"YVR"
