"ibegin","iend","length","begin","end","avgmin","avgmax","year","month"
79,100,22,1937-05-18,1937-06-08,7.67,18.71,1937,5
116,162,47,1937-06-24,1937-08-09,11.52,22.24,1937,6
183,208,26,1937-08-30,1937-09-24,9.46,20.02,1937,8
216,227,12,1937-10-02,1937-10-13,4.02,15.42,1937,10
273,314,42,1937-11-28,1938-01-08,0.17,7.24,1937,11
419,428,10,1938-04-23,1938-05-02,4.71,15.61,1938,4
438,471,34,1938-05-12,1938-06-14,7.97,19.61,1938,5
474,488,15,1938-06-17,1938-07-01,10.85,21.3,1938,6
498,524,27,1938-07-11,1938-08-06,12.17,23.49,1938,7
536,549,14,1938-08-18,1938-08-31,10.31,21.26,1938,8
555,566,12,1938-09-06,1938-09-17,9.35,20.69,1938,9
592,601,10,1938-10-13,1938-10-22,1.17,13.73,1938,10
648,658,11,1938-12-08,1938-12-18,-3.25,5.96,1938,12
773,784,12,1939-04-12,1939-04-23,3.95,14.48,1939,4
795,814,20,1939-05-04,1939-05-23,7.42,17.33,1939,5
871,909,39,1939-07-19,1939-08-26,12.7,22.78,1939,7
914,923,10,1939-08-31,1939-09-09,11.33,19.11,1939,8
930,946,17,1939-09-16,1939-10-02,8.72,17.52,1939,9
1168,1186,19,1940-05-11,1940-05-29,8.39,18.92,1940,5
1195,1227,33,1940-06-07,1940-07-09,10.77,21.85,1940,6
1229,1242,14,1940-07-11,1940-07-24,12.89,22.51,1940,7
1248,1257,10,1940-07-30,1940-08-08,12.66,22.89,1940,7
1259,1269,11,1940-08-10,1940-08-20,11.93,22.73,1940,8
1281,1290,10,1940-09-01,1940-09-10,12.22,20.77,1940,9
1308,1318,11,1940-09-28,1940-10-08,9.65,17.01,1940,9
1445,1455,11,1941-02-12,1941-02-22,-1.58,8.92,1941,2
1468,1477,10,1941-03-07,1941-03-16,1.74,11.97,1941,3
1509,1520,12,1941-04-17,1941-04-28,5.19,16.96,1941,4
1579,1601,23,1941-06-26,1941-07-18,13.8,23.62,1941,6
1604,1615,12,1941-07-21,1941-08-01,12.82,21.93,1941,7
1626,1636,11,1941-08-12,1941-08-22,12.83,22.93,1941,8
1694,1705,12,1941-10-19,1941-10-30,6.1,13.11,1941,10
1759,1773,15,1941-12-23,1942-01-06,-5.67,3.19,1941,12
1858,1869,12,1942-04-01,1942-04-12,5.14,14.22,1942,4
1942,1956,15,1942-06-24,1942-07-08,13.28,24.07,1942,6
1966,1976,11,1942-07-18,1942-07-28,14.15,23.98,1942,7
1978,2002,25,1942-07-30,1942-08-23,14.16,24.55,1942,7
2006,2039,34,1942-08-27,1942-09-29,9.67,18.96,1942,8
2182,2203,22,1943-02-19,1943-03-12,-0.61,9.98,1943,2
2246,2256,11,1943-04-24,1943-05-04,5.04,14.45,1943,4
2286,2297,12,1943-06-03,1943-06-14,9.82,19.17,1943,6
2325,2348,24,1943-07-12,1943-08-04,12.53,22.84,1943,7
2352,2363,12,1943-08-08,1943-08-19,12.4,22.36,1943,8
2379,2393,15,1943-09-04,1943-09-18,10.37,20.51,1943,9
2580,2591,12,1944-03-23,1944-04-03,3.05,12.18,1944,3
2618,2631,14,1944-04-30,1944-05-13,6.78,16.08,1944,4
2651,2661,11,1944-06-02,1944-06-12,9.95,20.15,1944,6
2664,2698,35,1944-06-15,1944-07-19,11.66,21.73,1944,6
2728,2752,25,1944-08-18,1944-09-11,11.93,22.76,1944,8
2776,2791,16,1944-10-05,1944-10-20,5.48,14.93,1944,10
2840,2861,22,1944-12-08,1944-12-29,-1.83,4.97,1944,12
2881,2893,13,1945-01-18,1945-01-30,-2.7,6.17,1945,1
2902,2913,12,1945-02-08,1945-02-19,1.73,7.23,1945,2
3001,3016,16,1945-05-18,1945-06-02,9.82,18.67,1945,5
3019,3059,41,1945-06-05,1945-07-15,10.91,21.12,1945,6
3074,3099,26,1945-07-30,1945-08-24,11.76,22.63,1945,7
3131,3150,20,1945-09-25,1945-10-14,6.58,17.26,1945,9
3204,3216,13,1945-12-07,1945-12-19,-4.06,4.65,1945,12
3347,3368,22,1946-04-29,1946-05-20,7.22,17.98,1946,4
3425,3437,13,1946-07-16,1946-07-28,12.37,23.42,1946,7
3446,3470,25,1946-08-06,1946-08-30,11.67,21.8,1946,8
3486,3499,14,1946-09-15,1946-09-28,8.97,17.26,1946,9
3509,3518,10,1946-10-08,1946-10-17,4.34,13.45,1946,10
3732,3744,13,1947-05-19,1947-05-31,10.6,21.75,1947,5
3789,3811,23,1947-07-15,1947-08-06,12.61,23.11,1947,7
