"","year","month","yyyymmdd","mintemp","meantemp","maxtemp","totprec","consec","yrmon"
"1",1899,3,1899-03-01,-2.8,-1.1,0.6,0,11,189903
"2",1899,3,1899-03-02,-5,2.5,10,0,10,189903
"3",1899,3,1899-03-03,-4.4,1.2,6.7,0,9,189903
"4",1899,3,1899-03-04,-3.9,1.1,6.1,0,8,189903
"5",1899,3,1899-03-05,-0.6,5,10.6,0,7,189903
"6",1899,3,1899-03-06,0.6,5,9.4,0,6,189903
"7",1899,3,1899-03-07,1.1,4.7,8.3,0,5,189903
"8",1899,3,1899-03-08,0,4.2,8.3,0,4,189903
"9",1899,3,1899-03-09,-1.1,4.8,10.6,0,3,189903
"10",1899,3,1899-03-10,-0.6,3.9,8.3,0,2,189903
"11",1899,3,1899-03-11,0,4.5,8.9,0,1,189903
"12",1899,3,1899-03-12,-2.8,2,6.7,1.3,0,189903
"13",1899,3,1899-03-13,-2.2,2.5,7.2,0,22,189903
"14",1899,3,1899-03-14,-3.9,2.8,9.4,0,21,189903
"15",1899,3,1899-03-15,-4.4,1.7,7.8,0,20,189903
"16",1899,3,1899-03-16,-6.1,0,6.1,0.3,19,189903
"17",1899,3,1899-03-17,-4.4,2,8.3,0,18,189903
"18",1899,3,1899-03-18,-4.4,2,8.3,0,17,189903
"19",1899,3,1899-03-19,1.7,6.2,10.6,0,16,189903
"20",1899,3,1899-03-20,-1.7,5.3,12.2,0,15,189903
"21",1899,3,1899-03-21,-3.9,0,3.9,0,14,189903
"22",1899,3,1899-03-22,-7.8,-2,3.9,0,13,189903
"23",1899,3,1899-03-23,-5.6,-2,1.7,0,12,189903
"24",1899,3,1899-03-24,-2.2,4.2,10.6,0,11,189903
"25",1899,3,1899-03-25,-3.9,1.4,6.7,0,10,189903
"26",1899,3,1899-03-26,-3.3,3.1,9.4,0,9,189903
"27",1899,3,1899-03-27,1.1,5.6,10,0,8,189903
"28",1899,3,1899-03-28,1.1,6.7,12.2,0,7,189903
"29",1899,3,1899-03-29,-3.3,2.8,8.9,0,6,189903
"30",1899,3,1899-03-30,-5.6,2.2,10,0,5,189903
"31",1899,3,1899-03-31,-2.2,2.8,7.8,0,4,189903
"32",1899,4,1899-04-01,-2.2,4.2,10.6,0,3,189904
"33",1899,4,1899-04-02,-1.1,4.8,10.6,0,2,189904
"34",1899,4,1899-04-03,-3.3,3.7,10.6,0,1,189904
"35",1899,4,1899-04-04,0.6,6.7,12.8,1,0,189904
"36",1899,4,1899-04-05,-4.4,3.9,12.2,0,7,189904
"37",1899,4,1899-04-06,1.7,7.5,13.3,0,6,189904
"38",1899,4,1899-04-07,-1.1,7.5,16.1,0,5,189904
"39",1899,4,1899-04-08,-1.1,7.8,16.7,0,4,189904
"40",1899,4,1899-04-09,0.6,9.2,17.8,0,3,189904
"41",1899,4,1899-04-10,-1.7,7,15.6,0,2,189904
"42",1899,4,1899-04-11,0.6,6.7,12.8,0,1,189904
"43",1899,4,1899-04-12,2.2,5.8,9.4,1,0,189904
"44",1899,4,1899-04-13,-4.4,3.4,11.1,0,4,189904
"45",1899,4,1899-04-14,-1.7,4.2,10,0,3,189904
"46",1899,4,1899-04-15,-1.1,7.5,16.1,0,2,189904
"47",1899,4,1899-04-16,7.2,13.1,18.9,0,1,189904
"48",1899,4,1899-04-17,-0.6,5.3,11.1,1,0,189904
"49",1899,4,1899-04-18,2.2,7,11.7,0.8,9,189904
"50",1899,4,1899-04-19,-1.7,7.5,16.7,0,8,189904
"51",1899,4,1899-04-20,3.3,9.7,16.1,0,7,189904
"52",1899,4,1899-04-21,-1.7,8.9,19.4,0,6,189904
"53",1899,4,1899-04-22,-2.2,5.3,12.8,0,5,189904
"54",1899,4,1899-04-23,-4.4,5.6,15.6,0,4,189904
"55",1899,4,1899-04-24,-3.3,7,17.2,0,3,189904
"56",1899,4,1899-04-25,-2.2,8.9,20,0,2,189904
"57",1899,4,1899-04-26,2.8,10.3,17.8,0,1,189904
"58",1899,4,1899-04-27,3.9,8.4,12.8,2.3,0,189904
"59",1899,4,1899-04-28,-3.3,3.9,11.1,0,2,189904
"60",1899,4,1899-04-29,4.4,10.3,16.1,0,1,189904
"61",1899,4,1899-04-30,1.1,7.2,13.3,5.1,0,189904
"62",1899,5,1899-05-01,-1.7,2,5.6,0,8,189905
"63",1899,5,1899-05-02,-2.2,4.2,10.6,0,7,189905
"64",1899,5,1899-05-03,1.1,7.8,14.4,0,6,189905
"65",1899,5,1899-05-04,0,10,20,0,5,189905
"66",1899,5,1899-05-05,1.7,9.5,17.2,0,4,189905
"67",1899,5,1899-05-06,2.2,12,21.7,0,3,189905
"68",1899,5,1899-05-07,0.6,11.4,22.2,0,2,189905
"69",1899,5,1899-05-08,10,17.8,25.6,0.8,1,189905
"70",1899,5,1899-05-09,1.7,8.9,16.1,1,0,189905
"71",1899,5,1899-05-10,3.9,11.1,18.3,0,7,189905
"72",1899,5,1899-05-11,3.3,9.5,15.6,0.3,6,189905
"73",1899,5,1899-05-12,-1.1,7,15,0,5,189905
"74",1899,5,1899-05-13,-0.6,6.9,14.4,0,4,189905
"75",1899,5,1899-05-14,-3.9,5.3,14.4,0,3,189905
"76",1899,5,1899-05-15,-2.2,8.9,20,0,2,189905
"77",1899,5,1899-05-16,6.1,13.6,21.1,0.3,1,189905
"78",1899,5,1899-05-17,6.1,16.7,27.2,3,0,189905
"79",1899,5,1899-05-18,5.6,10.6,15.6,9.9,0,189905
"80",1899,5,1899-05-19,1.1,9.5,17.8,0,6,189905
"81",1899,5,1899-05-20,6.1,13.1,20,0.5,5,189905
"82",1899,5,1899-05-21,5,12.8,20.6,0,4,189905
"83",1899,5,1899-05-22,5,13.4,21.7,0,3,189905
"84",1899,5,1899-05-23,6.1,16.1,26.1,0,2,189905
"85",1899,5,1899-05-24,8.9,17.5,26.1,0,1,189905
"86",1899,5,1899-05-25,11.7,18.7,25.6,2.8,0,189905
"87",1899,5,1899-05-26,8.9,NA,23.9,0,4,189905
"88",1899,5,1899-05-27,6.1,14.2,22.2,0.3,3,189905
"89",1899,5,1899-05-28,1.7,12,22.2,0,2,189905
"90",1899,5,1899-05-29,4.4,11.7,18.9,0,1,189905
"91",1899,5,1899-05-30,6.7,12,17.2,4.8,0,189905
"92",1899,5,1899-05-31,0.6,9.2,17.8,0,2,189905
"93",1899,6,1899-06-01,8.3,14.2,20,0,1,189906
"94",1899,6,1899-06-02,6.1,13.4,20.6,3.6,0,189906
"95",1899,6,1899-06-03,12.2,20.6,28.9,0,2,189906
"96",1899,6,1899-06-04,5,15,25,0,1,189906
"97",1899,6,1899-06-05,1.1,9.5,17.8,1.3,0,189906
"98",1899,6,1899-06-06,8.3,12.5,16.7,0,8,189906
"99",1899,6,1899-06-07,7.8,14.5,21.1,0.3,7,189906
"100",1899,6,1899-06-08,6.1,14.2,22.2,0,6,189906
"101",1899,6,1899-06-09,7.8,16.1,24.4,0,5,189906
"102",1899,6,1899-06-10,12.2,18.1,23.9,0,4,189906
"103",1899,6,1899-06-11,11.7,18.4,25,0.5,3,189906
"104",1899,6,1899-06-12,7.8,12.8,17.8,0,2,189906
"105",1899,6,1899-06-13,8.9,12.8,16.7,0.8,1,189906
"106",1899,6,1899-06-14,10,16.4,22.8,6.1,0,189906
"107",1899,6,1899-06-15,6.7,16.2,25.6,0,5,189906
"108",1899,6,1899-06-16,10.6,19.8,28.9,0,4,189906
"109",1899,6,1899-06-17,8.3,18.6,28.9,0,3,189906
"110",1899,6,1899-06-18,5,15.6,26.1,0,2,189906
"111",1899,6,1899-06-19,2.8,13.4,23.9,0,1,189906
"112",1899,6,1899-06-20,9.4,16.1,22.8,1.5,0,189906
"113",1899,6,1899-06-21,8.9,13.4,17.8,1.8,0,189906
"114",1899,6,1899-06-22,4.4,14.4,24.4,0,3,189906
"115",1899,6,1899-06-23,7.2,18.1,28.9,0,2,189906
"116",1899,6,1899-06-24,10.6,20.3,30,0,1,189906
"117",1899,6,1899-06-25,12.8,19.8,26.7,2,0,189906
"118",1899,6,1899-06-26,9.4,12.8,16.1,2.5,0,189906
