"","year","month","yyyymmdd","mintemp","meantemp","maxtemp","totprec"
"1",1899,3,1899-03-01,-2.8,-1.1,0.6,0
"2",1899,3,1899-03-02,-5,2.5,10,0
"3",1899,3,1899-03-03,-4.4,1.2,6.7,0
"4",1899,3,1899-03-04,-3.9,1.1,6.1,0
"5",1899,3,1899-03-05,-0.6,5,10.6,0
"6",1899,3,1899-03-06,0.6,5,9.4,0
"7",1899,3,1899-03-07,1.1,4.7,8.3,0
"8",1899,3,1899-03-08,0,4.2,8.3,0
"9",1899,3,1899-03-09,-1.1,4.8,10.6,0
"10",1899,3,1899-03-10,-0.6,3.9,8.3,0
"11",1899,3,1899-03-11,0,4.5,8.9,0
"12",1899,3,1899-03-12,-2.8,2,6.7,1.3
"13",1899,3,1899-03-13,-2.2,2.5,7.2,0
"14",1899,3,1899-03-14,-3.9,2.8,9.4,0
"15",1899,3,1899-03-15,-4.4,1.7,7.8,0
"16",1899,3,1899-03-16,-6.1,0,6.1,0.3
"17",1899,3,1899-03-17,-4.4,2,8.3,0
"18",1899,3,1899-03-18,-4.4,2,8.3,0
"19",1899,3,1899-03-19,1.7,6.2,10.6,0
"20",1899,3,1899-03-20,-1.7,5.3,12.2,0
"21",1899,3,1899-03-21,-3.9,0,3.9,0
"22",1899,3,1899-03-22,-7.8,-2,3.9,0
"23",1899,3,1899-03-23,-5.6,-2,1.7,0
"24",1899,3,1899-03-24,-2.2,4.2,10.6,0
"25",1899,3,1899-03-25,-3.9,1.4,6.7,0
"26",1899,3,1899-03-26,-3.3,3.1,9.4,0
"27",1899,3,1899-03-27,1.1,5.6,10,0
"28",1899,3,1899-03-28,1.1,6.7,12.2,0
"29",1899,3,1899-03-29,-3.3,2.8,8.9,0
"30",1899,3,1899-03-30,-5.6,2.2,10,0
"31",1899,3,1899-03-31,-2.2,2.8,7.8,0
"32",1899,4,1899-04-01,-2.2,4.2,10.6,0
"33",1899,4,1899-04-02,-1.1,4.8,10.6,0
"34",1899,4,1899-04-03,-3.3,3.7,10.6,0
"35",1899,4,1899-04-04,0.6,6.7,12.8,1
"36",1899,4,1899-04-05,-4.4,3.9,12.2,0
"37",1899,4,1899-04-06,1.7,7.5,13.3,0
"38",1899,4,1899-04-07,-1.1,7.5,16.1,0
"39",1899,4,1899-04-08,-1.1,7.8,16.7,0
"40",1899,4,1899-04-09,0.6,9.2,17.8,0
"41",1899,4,1899-04-10,-1.7,7,15.6,0
"42",1899,4,1899-04-11,0.6,6.7,12.8,0
"43",1899,4,1899-04-12,2.2,5.8,9.4,1
"44",1899,4,1899-04-13,-4.4,3.4,11.1,0
"45",1899,4,1899-04-14,-1.7,4.2,10,0
"46",1899,4,1899-04-15,-1.1,7.5,16.1,0
"47",1899,4,1899-04-16,7.2,13.1,18.9,0
"48",1899,4,1899-04-17,-0.6,5.3,11.1,1
"49",1899,4,1899-04-18,2.2,7,11.7,0.8
"50",1899,4,1899-04-19,-1.7,7.5,16.7,0
"51",1899,4,1899-04-20,3.3,9.7,16.1,0
"52",1899,4,1899-04-21,-1.7,8.9,19.4,0
"53",1899,4,1899-04-22,-2.2,5.3,12.8,0
"54",1899,4,1899-04-23,-4.4,5.6,15.6,0
"55",1899,4,1899-04-24,-3.3,7,17.2,0
"56",1899,4,1899-04-25,-2.2,8.9,20,0
"57",1899,4,1899-04-26,2.8,10.3,17.8,0
"58",1899,4,1899-04-27,3.9,8.4,12.8,2.3
"59",1899,4,1899-04-28,-3.3,3.9,11.1,0
"60",1899,4,1899-04-29,4.4,10.3,16.1,0
"61",1899,4,1899-04-30,1.1,7.2,13.3,5.1
"62",1899,5,1899-05-01,-1.7,2,5.6,0
"63",1899,5,1899-05-02,-2.2,4.2,10.6,0
"64",1899,5,1899-05-03,1.1,7.8,14.4,0
"65",1899,5,1899-05-04,0,10,20,0
"66",1899,5,1899-05-05,1.7,9.5,17.2,0
"67",1899,5,1899-05-06,2.2,12,21.7,0
"68",1899,5,1899-05-07,0.6,11.4,22.2,0
"69",1899,5,1899-05-08,10,17.8,25.6,0.8
"70",1899,5,1899-05-09,1.7,8.9,16.1,1
"71",1899,5,1899-05-10,3.9,11.1,18.3,0
"72",1899,5,1899-05-11,3.3,9.5,15.6,0.3
"73",1899,5,1899-05-12,-1.1,7,15,0
"74",1899,5,1899-05-13,-0.6,6.9,14.4,0
"75",1899,5,1899-05-14,-3.9,5.3,14.4,0
"76",1899,5,1899-05-15,-2.2,8.9,20,0
"77",1899,5,1899-05-16,6.1,13.6,21.1,0.3
"78",1899,5,1899-05-17,6.1,16.7,27.2,3
"79",1899,5,1899-05-18,5.6,10.6,15.6,9.9
"80",1899,5,1899-05-19,1.1,9.5,17.8,0
