"Year","DayOfYear","variable","value","Percentile_90","Temp_Higher","streak","Heatwave","daily_max_temp","station","Temp_Diff"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,"10-27","Max_Temp_Year",15.6,15,"Higher",3,"Heatwave",15.6,"YVR",NA
1937,"10-28","Max_Temp_Year",17.2,14.9,"Higher",3,"Heatwave",17.2,"YVR",NA
1937,"10-29","Max_Temp_Year",17.2,14.7,"Higher",3,"Heatwave",17.2,"YVR",NA
1938,"05-20","Max_Temp_Year",22.2,21.4,"Higher",5,"Heatwave",22.2,"YVR",NA
1938,"05-21","Max_Temp_Year",23.9,21.5,"Higher",5,"Heatwave",23.9,"YVR",NA
1938,"05-22","Max_Temp_Year",22.2,21.7,"Higher",5,"Heatwave",22.2,"YVR",NA
1938,"05-23","Max_Temp_Year",22.8,21.7,"Higher",5,"Heatwave",22.8,"YVR",NA
1938,"05-24","Max_Temp_Year",23.3,21.7,"Higher",5,"Heatwave",23.3,"YVR",NA
1939,"05-12","Max_Temp_Year",21.7,20.4,"Higher",3,"Heatwave",21.7,"YVR",NA
1939,"05-13","Max_Temp_Year",23.9,20.4,"Higher",3,"Heatwave",23.9,"YVR",NA
1939,"05-14","Max_Temp_Year",24.4,20.6,"Higher",3,"Heatwave",24.4,"YVR",NA
1940,"04-11","Max_Temp_Year",16.1,15.6,"Higher",3,"Heatwave",16.1,"YVR",NA
1940,"04-12","Max_Temp_Year",22.8,15.6,"Higher",3,"Heatwave",22.8,"YVR",NA
1940,"04-13","Max_Temp_Year",17.8,15.93,"Higher",3,"Heatwave",17.8,"YVR",NA
1940,"06-09","Max_Temp_Year",22.8,22.48,"Higher",3,"Heatwave",22.8,"YVR",NA
1940,"06-10","Max_Temp_Year",23.9,22.7,"Higher",3,"Heatwave",23.9,"YVR",NA
1940,"06-11","Max_Temp_Year",23.9,22.8,"Higher",3,"Heatwave",23.9,"YVR",NA
1940,"10-17","Max_Temp_Year",16.7,16.4,"Higher",4,"Heatwave",16.7,"YVR",NA
1940,"10-18","Max_Temp_Year",18.3,16.1,"Higher",4,"Heatwave",18.3,"YVR",NA
1940,"10-19","Max_Temp_Year",18.9,16.1,"Higher",4,"Heatwave",18.9,"YVR",NA
1940,"10-20","Max_Temp_Year",18.3,15.87,"Higher",4,"Heatwave",18.3,"YVR",NA
1941,"04-25","Max_Temp_Year",18.3,17.8,"Higher",3,"Heatwave",18.3,"YVR",NA
1941,"04-26","Max_Temp_Year",21.7,17.8,"Higher",3,"Heatwave",21.7,"YVR",NA
